,authorID,doi,url,year,title,journal,numberOfAuthors,authorPosition,authorFullName,firstName,lastName,affiliation,gscholarLink,googleSearch,genderize,genderize_prob,genderize_basedon,genderAccuracy,authorFullName.1,firstName.1,lastName.1,affiliation.1,gscholarLink.1,googleSearch.1,race,racePredAccuracy,api,black,hispanic,white,raceHighest,raceSecondHighest,raceDiff,affProcessed,affiliation.2,ROR_AFFNAME,matchMethod,ROR_ID,type
1887,10.1111/j.1460-2466.2006.00318.x+1.0,10.1111/j.1460-2466.2006.00318.x,https://academic.oup.com/joc/article/56/4/754/4102572,2006,"Can Robots Manifest Personality?: An Empirical Test of Personality Recognition, Social Responses, and Social Presence in Human–Robot Interaction",Journal of Communication,4.0,1.0,Kwan Min Lee,Kwan,Lee,"1 Annenberg School for Communication, University of Southern California, Los Angeles, CA 90089",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Kwan+Lee,https://www.google.com/search?q=Kwan+Min+Lee+annenberg+school+for+communication+university+of+southern+california+los+angeles+ca,male,0.5,1111.0,Low,Kwan Min Lee,Kwan,Lee,"1 Annenberg School for Communication, University of Southern California, Los Angeles, CA 90089",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Kwan+Lee,https://www.google.com/search?q=Kwan+Min+Lee+annenberg+school+for+communication+university+of+southern+california+los+angeles+ca,api,Low,0.42889667,0.19091979,0.019336395,0.36084712,0.42889667,0.36084712,0.06804955,annenberg school for communication university of southern california los angeles ca,"1 Annenberg School for Communication, University of Southern California, Los Angeles, CA 90089",University of Southern California,Exact,https://ror.org/03taz7m60,R
4382,10.1111/j.1460-2466.1974.tb00415.x+1.0,10.1111/j.1460-2466.1974.tb00415.x,https://academic.oup.com/joc/article/24/4/101/4553633,1974,Environments for the Elderly,Journal of Communication,1.0,1.0,Alton J. De Long,Alton,Long,"1 Alton J. De Long is on the faculty of the School of Architecture at the University of Tennessee, Knoxville",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Alton+Long,https://www.google.com/search?q=Alton+J.+De+Long+alton+j+de+long+is+on+the+faculty+of+the+school+of+architecture+at+the+university+of+tennessee+knoxville,male,0.98,240.0,Low,Alton J. De Long,Alton,Long,"1 Alton J. De Long is on the faculty of the School of Architecture at the University of Tennessee, Knoxville",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Alton+Long,https://www.google.com/search?q=Alton+J.+De+Long+alton+j+de+long+is+on+the+faculty+of+the+school+of+architecture+at+the+university+of+tennessee+knoxville,white,High,0.020227086,0.12737153,0.012954124,0.8394473,0.8394473,0.12737153,0.71207577,alton j de long is on the faculty of the school of architecture at the university of tennessee knoxville,"1 Alton J. De Long is on the faculty of the School of Architecture at the University of Tennessee, Knoxville",University of Tennessee at Knoxville,API_QUERY,https://ror.org/020f3ap87,R
4303,10.1111/j.1460-2466.1975.tb00610.x+3.0,10.1111/j.1460-2466.1975.tb00610.x,https://academic.oup.com/joc/article/25/3/92/4553728,1975,The Meanings of Touch: Sex Differences,Journal of Communication,3.0,3.0,Michele L. Nguyen,Michele,Nguyen,"3 Michele Nguyen, a graduate student at Purdue University, is involved in research on sex differences in nonverbal communication and in learning styles",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Michele+Nguyen,https://www.google.com/search?q=Michele+L.+Nguyen+michele+nguyen+a+graduate+student+at+purdue+university+is+involved+in+research+on+sex+differences+in+nonverbal+communication+and+in+learning+styles,male,0.86,88388.0,High,Michele L. Nguyen,Michele,Nguyen,"3 Michele Nguyen, a graduate student at Purdue University, is involved in research on sex differences in nonverbal communication and in learning styles",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Michele+Nguyen,https://www.google.com/search?q=Michele+L.+Nguyen+michele+nguyen+a+graduate+student+at+purdue+university+is+involved+in+research+on+sex+differences+in+nonverbal+communication+and+in+learning+styles,api,High,0.99131304,0.0007815557,0.0021646349,0.0057408176,0.99131304,0.0057408176,0.9855722,michele nguyen a graduate student at purdue university is involved in research on sex differences in nonverbal communication and in learning styles,"3 Michele Nguyen, a graduate student at Purdue University, is involved in research on sex differences in nonverbal communication and in learning styles",Community Involved in Sustaining Agriculture,API_QUERY,https://ror.org/01gxqm489,R
8823,10.1093/jcmc/zmz016+3.0,10.1093/jcmc/zmz016,https://academic.oup.com/jcmc/article/24/6/335/5626014,2019,Switching Schemas: Do Effects of Mindless Interactions With Agents Carry Over to Humans and Vice Versa?,Journal of Computer-Mediated Communication,6.0,3.0,Casey A Smith,Casey,Smith,"College of Media &amp; Communication , Texas Tech University, Lubbock, TX,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Casey+Smith,https://www.google.com/search?q=Casey+A+Smith+college+of+media+amp+communication+texas+tech+university+lubbock+tx+usa,male,0.74,3423.0,Low,Casey A Smith,Casey,Smith,"College of Media &amp; Communication , Texas Tech University, Lubbock, TX,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Casey+Smith,https://www.google.com/search?q=Casey+A+Smith+college+of+media+amp+communication+texas+tech+university+lubbock+tx+usa,white,Low,0.008322416,0.2150594,0.02918335,0.7474348,0.7474348,0.2150594,0.5323754,college of media amp communication texas tech university lubbock tx usa,"College of Media &amp; Communication , Texas Tech University, Lubbock, TX,  USA",Texas Tech University,Exact,https://ror.org/0405mnx93,R
1752,10.1111/j.1460-2466.2008.00383.x+3.0,10.1111/j.1460-2466.2008.00383.x,https://academic.oup.com/joc/article/58/2/238/4098355,2008,Internet-Based Interactive Support for Cancer Patients: Are Integrated Systems Better?,Journal of Communication,9.0,3.0,Fiona McTavish,Fiona,Mctavish,"3 Center for Health Enhancement System Studies, University of Wisconsin–Madison, WI 53706-1572",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Fiona+Mctavish,https://www.google.com/search?q=Fiona+McTavish+center+for+health+enhancement+system+studies+university+of+wisconsin+madison+wi,female,0.97,11154.0,High,Fiona McTavish,Fiona,Mctavish,"3 Center for Health Enhancement System Studies, University of Wisconsin–Madison, WI 53706-1572",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Fiona+Mctavish,https://www.google.com/search?q=Fiona+McTavish+center+for+health+enhancement+system+studies+university+of+wisconsin+madison+wi,white,High,0.015671013,0.11769373,0.025582448,0.84105283,0.84105283,0.11769373,0.7233591,center for health enhancement system studies university of wisconsin madison wi,"3 Center for Health Enhancement System Studies, University of Wisconsin–Madison, WI 53706-1572",University of Wisconsin–Madison,API_QUERY,https://ror.org/01y2jtd41,R
6451,10.1111/j.1468-2958.1997.tb00413.x+7.0,10.1111/j.1468-2958.1997.tb00413.x,https://academic.oup.com/hcr/article/24/2/187/4554705,1997,Enriching the Inoculation Construct: The Role of Critical Components in the Process of Resistance,Human Communication Research,8.0,7.0,Violet Shu-Huei Yang,Violet,Yang,"2 Linda J. Penaloza, Waipeng Lee, Violet Shu-huei Yang, and Yah-huei Hong are graduate students in journalism and mass communication; and Kyle James Tusing, Ascan F. Koerner, and Linda C. Godbold are graduate students in communication arts, all at the University of Wisconsin-Madison",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Violet+Yang,https://www.google.com/search?q=Violet+Shu-Huei+Yang+linda+j+penaloza+waipeng+lee+violet+shu+huei+yang+and+yah+huei+hong+are+graduate+students+in+journalism+and+mass+communication+and+kyle+james+tusing+ascan+f+koerner+and+linda+c+godbold+are+graduate+students+in+communication+arts+all+at+the+university+of+wisconsin+madison,female,0.96,2133.0,High,Violet Shu-Huei Yang,Violet,Yang,"2 Linda J. Penaloza, Waipeng Lee, Violet Shu-huei Yang, and Yah-huei Hong are graduate students in journalism and mass communication; and Kyle James Tusing, Ascan F. Koerner, and Linda C. Godbold are graduate students in communication arts, all at the University of Wisconsin-Madison",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Violet+Yang,https://www.google.com/search?q=Violet+Shu-Huei+Yang+linda+j+penaloza+waipeng+lee+violet+shu+huei+yang+and+yah+huei+hong+are+graduate+students+in+journalism+and+mass+communication+and+kyle+james+tusing+ascan+f+koerner+and+linda+c+godbold+are+graduate+students+in+communication+arts+all+at+the+university+of+wisconsin+madison,api,High,0.9888481,0.0011417709,0.0049591605,0.005050975,0.9888481,0.005050975,0.98379713,linda j penaloza waipeng lee violet shu huei yang and yah huei hong are graduate students in journalism and mass communication and kyle james tusing ascan f koerner and linda c godbold are graduate students in communication arts all at the university of wisconsin madison,"2 Linda J. Penaloza, Waipeng Lee, Violet Shu-huei Yang, and Yah-huei Hong are graduate students in journalism and mass communication; and Kyle James Tusing, Ascan F. Koerner, and Linda C. Godbold are graduate students in communication arts, all at the University of Wisconsin-Madison",Brazilian National Association of Graduate Programs in Communication,API_QUERY,https://ror.org/03nn1bn76,R
9141,10.1111/jcc4.12113+1.0,10.1111/jcc4.12113,https://academic.oup.com/jcmc/article/20/3/312/4067587,2015,The Double-Edged Sword: The Effects of Journalists' Social Media Activities on Audience Perceptions of Journalists and Their News Products,Journal of Computer-Mediated Communication,1.0,1.0,Jayeon Lee,Jayeon,Lee,"1 The Weinstock Center for Journalism, Lehigh University, 33 Coppee Dr, Bethlehem, PA 18015",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Jayeon+Lee,https://www.google.com/search?q=Jayeon+Lee+the+weinstock+center+for+journalism+lehigh+university+coppee+dr+bethlehem+pa,female,0.71,21.0,Low,Jayeon Lee,Jayeon,Lee,"1 The Weinstock Center for Journalism, Lehigh University, 33 Coppee Dr, Bethlehem, PA 18015",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Jayeon+Lee,https://www.google.com/search?q=Jayeon+Lee+the+weinstock+center+for+journalism+lehigh+university+coppee+dr+bethlehem+pa,api,Low,0.42889667,0.19091979,0.019336395,0.36084712,0.42889667,0.36084712,0.06804955,the weinstock center for journalism lehigh university coppee dr bethlehem pa,"1 The Weinstock Center for Journalism, Lehigh University, 33 Coppee Dr, Bethlehem, PA 18015",Lehigh University,Exact,https://ror.org/012afjb06,R
3307,10.1111/j.1460-2466.1984.tb02167.x+1.0,10.1111/j.1460-2466.1984.tb02167.x,https://academic.oup.com/joc/article/34/2/157/4282795,1984,Teenage Drinking: Does Advertising Make a Difference?,Journal of Communication,3.0,1.0,Charles Atkin,Charles,Atkin,"1 Charles Atkin is Professor in the Department of Communication, Michigan State University",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Charles+Atkin,https://www.google.com/search?q=Charles+Atkin+charles+atkin+is+professor+in+the+department+of+communication+michigan+state+university,male,0.99,49331.0,High,Charles Atkin,Charles,Atkin,"1 Charles Atkin is Professor in the Department of Communication, Michigan State University",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Charles+Atkin,https://www.google.com/search?q=Charles+Atkin+charles+atkin+is+professor+in+the+department+of+communication+michigan+state+university,white,High,0.018352153,0.031135779,0.03402016,0.916492,0.916492,0.03402016,0.8824718,charles atkin is professor in the department of communication michigan state university,"1 Charles Atkin is Professor in the Department of Communication, Michigan State University",Michigan State University,Exact,https://ror.org/05hs6h993,R
2352,10.1111/j.1460-2466.2002.tb02534.x+1.0,10.1111/j.1460-2466.2002.tb02534.x,https://academic.oup.com/joc/article/52/1/84/4110160,2002,Prime-Time Television: Assessing Violence During the Most Popular Viewing Hours,Journal of Communication,3.0,1.0,Stacy L. Smith,Stacy,Smith,"1 Stacy L. Smith (PhD, University California, Santa Barbara) is an assistant professor of communication at Michigan State University",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Stacy+Smith,https://www.google.com/search?q=Stacy+L.+Smith+stacy+l+smith+is+an+assistant+professor+of+communication+at+michigan+state+university,female,0.9,4493.0,High,Stacy L. Smith,Stacy,Smith,"1 Stacy L. Smith (PhD, University California, Santa Barbara) is an assistant professor of communication at Michigan State University",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Stacy+Smith,https://www.google.com/search?q=Stacy+L.+Smith+stacy+l+smith+is+an+assistant+professor+of+communication+at+michigan+state+university,white,Low,0.008322416,0.2150594,0.02918335,0.7474348,0.7474348,0.2150594,0.5323754,stacy l smith is an assistant professor of communication at michigan state university,"1 Stacy L. Smith (PhD, University California, Santa Barbara) is an assistant professor of communication at Michigan State University",Michigan State University,Exact,https://ror.org/05hs6h993,R
7883,10.1093/ct/qty002+2.0,10.1093/ct/qty002,https://academic.oup.com/ct/article/28/1/22/4944963,2018,Options for the Construction of Attentional Social Presence in a Digitally Enhanced Multicommunicative Environment,Communication Theory,2.0,2.0,Sonja K Foss,Sonja,Foss,"Department of Communication ,  University of Colorado Denver, Denver, CO, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Sonja+Foss,https://www.google.com/search?q=Sonja+K+Foss+department+of+communication+university+of+colorado+denver+denver+co+usa,female,0.98,21258.0,High,Sonja K Foss,Sonja,Foss,"Department of Communication ,  University of Colorado Denver, Denver, CO, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Sonja+Foss,https://www.google.com/search?q=Sonja+K+Foss+department+of+communication+university+of+colorado+denver+denver+co+usa,white,High,0.008030815,0.16553608,0.026050616,0.8003825,0.8003825,0.16553608,0.63484645,department of communication university of colorado denver denver co usa,"Department of Communication ,  University of Colorado Denver, Denver, CO, USA",University of Colorado Denver,Exact,https://ror.org/02hh7en24,R
