journal,issueURL,volumn,issue,issueText,month,year,category,title,url,doi,pages,abstract,abstract_para_num,sci_hub,type
Journal of Communication,https://academic.oup.com/joc/issue/50/1?browseBy=volume,Volume 50,Issue 1,"Issue 1, March 2000, Pages 5–168",March,2000,Article,Third-Person Perception of Television-Viewing Behavior,https://academic.oup.com/joc/article/50/1/25/4109991,10.1111/j.1460-2466.2000.tb02832.x,25–45,"Both conceptually and empirically, the third-person effect has been confined to the effects of mass communication (people tend to believe others are more susceptible to media influences than they are themselves, and people tend to act accordingly). This study investigated whether this phenomenon extends to the perception of other people's media use, and whether it can be explained by a general tendency to underrate the education of others. We interviewed a sample of 200 adults in south-western Germany, focusing on television-viewing behavior. As hypothesized, people tend to perceive others as more inclined toward undesirable viewing behaviors. We also hypothesized and found that third-person perception tends to be stronger if the others are perceived to be less well educated.",1.0,https://sci-hub.se/10.1111/j.1460-2466.2000.tb02832.x,
Journal of Communication,https://academic.oup.com/joc/issue/23/1?browseBy=volume,Volume 23,Issue 1,"Issue 1, March 1973, Pages 4–133",March,1973,Articles,Communicative Silences: Forms and Functions,https://academic.oup.com/joc/article/23/1/17/4553555,10.1111/j.1460-2466.1973.tb00929.x,17–46,"The nature of silence is discussed as an imposition of mind, as an interdependent signification ground for speech signs, as a relationship to mental time (as opposed to artificial time), and as it relates to sensation, perception and metaphorical movement. Three major forms of silence are defined: Psycholinguistic Silence, of which there are two subtypes, designated Fast-time silence and Slow-time silence; Interactive Silence; and Sociocultural Silence. The three major forms are then briefly described as they relate to some important human communication functions. In the absence of empirical evidence, a number of hypotheses are offered.",1.0,https://sci-hub.se/10.1111/j.1460-2466.1973.tb00929.x,
"Communication, Culture and Critique",https://academic.oup.com/ccc/issue/11/3?browseBy=volume,Volume 11,Issue 3,"Issue 3, September 2018, Pages 341–512",September,2018,Original Articles,Legitimating Media: Shakespeare’s Awkward Travels Through Video Games and Twitter,https://academic.oup.com/ccc/article/11/3/418/5060327,10.1093/ccc/tcy015,418–435,"Since the 19th century, Shakespeare references have recurred with surprising consistency in experimental forms of media. This article considers the role of references to and adaptations of Shakespeare texts when a media form takes on a new valence for a set of users in a particular time and place. We consider two different moments at length: a commercial interactive game from 1984 that made novel use of cassettes and sound, and the production and reception of early Twitter adaptations of Shakespeare in 2010. By standing in for the aesthetic possibilities and limits of a changing media space, Shakespearean references and deviations from them serve a key role for artists and critics in debates over the legitimacy and significance of creative work in emergent media. Thus, cultural producers, critics and audiences thus use these sometimes-awkward appearances of Shakespeare as a means of describing their aesthetic potentials and limits.",1.0,https://sci-hub.se/10.1093/ccc/tcy015,
Human Communication Research,https://academic.oup.com/hcr/issue/17/3?browseBy=volume,Volume 17,Issue 3,"Issue 3, March 1991, Pages 355–504",March,1991,Articles,Expectations About Initial Interaction: An Examination of the Effects of Global Uncertainty,https://academic.oup.com/hcr/article/17/3/355/4575844,10.1111/j.1468-2958.1991.tb00237.x,355–384,"This inquiry extended uncertainty reduction theory to include actors’ uncertainty about acquaintanceship in general (global uncertainty). Study 1 involved examination of the self-reports of 139 female and 85 male participants. Results of the analysis showed that participants high in global uncertainty define initial interaction in comparatively negative ways, more frequently attempt to avoid conversations with unfamiliar targets, perform less effectively when meeting others for the first time, and develop less satisfactory long-term relationships than persons low in global uncertainty. Global uncertainty also combined with participants’ sense of the self-assuredness-awkwardness of first encounters to predict initial interaction performance. Study 2 examined the conversational performance of 48 females and 28 males who had participated in the first investigation. This analysis revealed that, during the first minute of interaction, persons high in global uncertainty engaged in comparatively low levels of question asking but relatively high levels of disclosure. High globally uncertain participants were also rated less competent by their partners than were persons low in global uncertainty. Study 3 explored the relationship between global uncertainty, communication competence, and communication apprehension. Examination of the self-reports of 63 females and 49 males showed that persons high in global uncertainty are apprehensive when meeting strangers and enact acquaintanceship episodes relatively inexpertly, although the magnitude of correlations between the constructs provide strong evidence that global uncertainty is distinguishable from both competence and apprehension. The implications of these findings are discussed.",1.0,https://sci-hub.se/10.1111/j.1468-2958.1991.tb00237.x,
Journal of Communication,https://academic.oup.com/joc/issue/25/4?browseBy=volume,Volume 25,Issue 4,"Issue 4, December 1975, Pages 5–216",December,1975,Articles,A Gender Profile of Children's Educational Tv,https://academic.oup.com/joc/article/25/4/56/4553794,10.1111/j.1460-2466.1975.tb00639.x,56–65,,,https://sci-hub.se/10.1111/j.1460-2466.1975.tb00639.x,
Journal of Communication,https://academic.oup.com/joc/issue/29/2?browseBy=volume,Volume 29,Issue 2,"Issue 2, June 1979, Pages 3–240",June,1979,The Politics of Language,Language Choice in Transnational Radio Broadcasting,https://academic.oup.com/joc/article/29/2/112/4371816,10.1111/j.1460-2466.1979.tb02953.x,112–123,,,https://sci-hub.se/10.1111/j.1460-2466.1979.tb02953.x,
Human Communication Research,https://academic.oup.com/hcr/issue/38/1?browseBy=volume,Volume 38,Issue 1,"Issue 1, 1 January 2012, Pages 1–119",January,2012,Original Article,Core Discussion Networks in Japan and America,https://academic.oup.com/hcr/article/38/1/95/4093694,10.1111/j.1468-2958.2011.01416.x,95–119,"Arguments regarding the high prevalence of interpersonal collectivism in Japan typically hinge on the assumption that Japanese communication networks are more enduring, frequently contacted, and dominated by kin and work ties than networks in Western countries. However, this assumption has not been examined using nationally representative data. Our analysis is based on core discussion network data collected from the 2003 Japanese General Social Survey and the 2004 American General Social Survey. Our results do not support this assumption in regards to frequency of contact nor dominance of kin and work ties. Nevertheless, there is some indication of high interpersonal collectivism in Japan insofar as Japanese core networks are somewhat more enduring than American core networks.",1.0,https://sci-hub.se/10.1111/j.1468-2958.2011.01416.x,
Journal of Communication,https://academic.oup.com/joc/issue/42/3?browseBy=volume,Volume 42,Issue 3,"Issue 3, September 1992, Pages 3–208",September,1992,Review Essays,Political Campaigns and the Media,https://academic.oup.com/joc/article/42/3/185/4210122,10.1111/j.1460-2466.1992.tb00806.x,185–191,,,https://sci-hub.se/10.1111/j.1460-2466.1992.tb00806.x,
Human Communication Research,https://academic.oup.com/hcr/issue/34/1?browseBy=volume,Volume 34,Issue 1,"Issue 1, 1 January 2008, Pages 1–169",January,2008,Original Article,From Group Member to Democratic Citizen: How Deliberating with Fellow Jurors Reshapes Civic Attitudes,https://academic.oup.com/hcr/article/34/1/137/4210815,10.1111/j.1468-2958.2007.00316.x,137–169,"This investigation assesses the attitudinal impact of one of America’s most distinctive and famous group activities—jury deliberation. Tocqueville and the U.S. Supreme Court have both reasoned that jury service can promote civic engagement and recent research supports this view. The present study examines whether the attitudinal impact of jury deliberation depends on the quality of one’s jury experience. Two panel surveys of 2,410 total jurors tested the reciprocal relationship between the subjective experience of deliberation and the changes in civic attitudes toward oneself, fellow citizens, and public institutions. Principal results of structural equation models showed multiple effects of jury deliberation on attitudes, but there were no effects on one’s civic identity and political self-efficacy. Reciprocally, every civic attitude except faith in fellow citizens was predictive of deliberative experience in at least one of the two studies. Overall, the study bolsters the claim of deliberative democratic theorists that the experience of consequential face-to-face talk can make private individuals into public citizens by reinforcing their confidence in fellow citizens and public institutions.",1.0,https://sci-hub.se/10.1111/j.1468-2958.2007.00316.x,
Communication Theory,https://academic.oup.com/ct/issue/17/2?browseBy=volume,Volume 17,Issue 2,"Issue 2, May 2007, Pages 93–204",May,2007,Original Articles,Considering “The Professional” in Communication Studies: Implications for Theory and Research Within and Beyond the Boundaries of Organizational Communication,https://academic.oup.com/ct/article/17/2/146/4098677,10.1111/j.1468-2885.2007.00290.x,146–175,"This essay positions contemporary “professionalism” as a contested term and a nexus of important theoretical and practical concerns for communication scholars, including, for example, those engaged in the empirical, interpretive, and critical examinations of culture and the self. We advance communication-based understandings of the meanings and practices of professionalism as a complement to the predominantly sociological conceptions of the rise and place of the professional in modern industrialized societies. We are deliberately playful with the term professionalism in demonstrating the power of its ambiguity for reflecting, shaping, and indexing particular kinds of social relations and expectations for them. Part of our argument concerns the complex interplay of symbolism and materiality in the domains of interaction and artifacts surrounding “the professional,” and especially its embodiment in work and other settings. This brings us directly to an examination of the “intersectionality” of aspects of difference in the world of the professional (and by implication, the nonprofessional), including race, gender, and class, and to observe a broad-based cultural dialectic of the civilized and the primitive. Finally, we briefly consider extensions as relevant to domains of communication studies beyond the accustomed domain of organizational communication.",1.0,https://sci-hub.se/10.1111/j.1468-2885.2007.00290.x,
"Communication, Culture and Critique",https://academic.oup.com/ccc/issue/9/1?browseBy=volume,Volume 9,Issue 1,"Issue 1, 1 March 2016, Pages 1–174",March,2016,Original Article,Agency Beyond Agents: Aid Campaigns in Sub-Saharan Africa and Collective Representations of Agency,https://academic.oup.com/ccc/article/9/1/11/3979283,10.1111/cccr.12130,11–29,"Drawing from postcolonial theory and subaltern studies, this essay contributes to research in communication on humanitarian aid to Africa by using methods of rhetorical criticism to analyze how 3 popular viral video campaigns represent African agency. I argue that although representations of agency in the campaigns differ, they all reinforce Western assumptions about Africa to varying degrees, and entrench imperialistic power relations by portraying African agency in Western-centric ways. I examine absences and silences in the aid rhetoric with a focus on alternatives to current representations of agency, and propose that placing an emphasis on representations of collective agency could provoke a shift away from Western-centrism in aid campaigns and reinvigorate theoretical discussions of representation.",1.0,https://sci-hub.se/10.1111/cccr.12130,
Journal of Computer-Mediated Communication,https://academic.oup.com/jcmc/issue/17/1?browseBy=volume,Volume 17,Issue 1,"Issue 1, 1 October 2011, Pages 1–115",October,2011,Original Article,New Media and the ‘Anchor Baby’ Boom,https://academic.oup.com/jcmc/article/17/1/60/4067665,10.1111/j.1083-6101.2011.01557.x,,"The term ‘anchor baby’ refers to children born in the U.S. to undocumented migrant parents who are thought to have been conceived in order to improve their parents' chances of attaining citizenship. Though the term is considered racist and dehumanizing by many, it has recently entered into common usage. This study investigates the process by which this has occurred. We test hypotheses derived from theories of mass and new media using multiple data sources and methods of analysis, and find that the main sources of the anchor baby boom are partisan news websites. The findings suggest that new media may be influencing mass media by creating unique and unprecedented opportunities for medium-sized partisan news organizations.",1.0,https://sci-hub.se/10.1111/j.1083-6101.2011.01557.x,
Human Communication Research,https://academic.oup.com/hcr/issue/15/3?browseBy=volume,Volume 15,Issue 3,"Issue 3, March 1989, Pages 323–481",March,1989,Articles,"The Effect of Time-Compressed Speech on Comprehensive, Interpretive, and Short-Term Listening",https://academic.oup.com/hcr/article/15/3/428/4584134,10.1111/j.1468-2958.1989.tb00192.x,428–443,"Although contemporary theorists view listening as a multidimensional process, the preponderance of published empirical research on human comprehension of speeded speech is based on an outdated, unitary construct. In the present study, the impact of varying levels of time compression on three different types of listening is investigated. The results indicate that comprehensive listening performance deteriorates significantly as speech compression levels are increased while interpretive and short-term listening performance remains stable until a high degree of time compression (60%) is reached. Explanations for these findings are advanced based upon established differences between short and long-term memory processes.",1.0,https://sci-hub.se/10.1111/j.1468-2958.1989.tb00192.x,
Human Communication Research,https://academic.oup.com/hcr/issue/37/2?browseBy=volume,Volume 37,Issue 2,"Issue 2, 1 April 2011, Pages 147–293",April,2011,Original Article,Underlying Circuits of Social Support for Bullied Victims: An Appraisal-Based Perspective on Supportive Communication and Postbullying Adjustment,https://academic.oup.com/hcr/article/37/2/174/4107501,10.1111/j.1468-2958.2010.01398.x,174–206,"This study examined the working mechanisms of social support for victims of bullying. Structural equation modeling analyses based on retrospective survey data (N = 448) revealed that the effects of supportive messages varied distinctively, depending on the content of the messages; emotional and esteem support enhanced, but network support impeded, positive reappraisal (the effects of informational support were not significant). Except for that which was related to network support, discrepancy between desired and received support was associated with less positive appraisal. Finally, positive appraisal was found to enhance victims' postbullying adjustment both behaviorally and psychologically. These findings are discussed in terms of their theoretical and practical implications with reference to the literature on social support and coping of bullied victims.",1.0,https://sci-hub.se/10.1111/j.1468-2958.2010.01398.x,
Journal of Computer-Mediated Communication,https://academic.oup.com/jcmc/issue/14/4?browseBy=volume,Volume 14,Issue 4,"Issue 4, 1 July 2009, Pages 771–1282",July,2009,Special Section,"Home, School, Borrowed, Public or Mobile: Variations in Young Singaporeans' Internet Access and Their Implications",https://academic.oup.com/jcmc/article/14/4/1228/4583586,10.1111/j.1083-6101.2009.01488.x,,"This paper studied uneven Internet access amongst young people in Singapore. The study finds that young Singaporeans access the Internet mainly through home, school, borrowed, public, and mobile sources, with different implications for each type of Internet access. For those with home or mobile access, Internet use was routinised and often intense, even burdensome and distracting on occasions. For those who relied on borrowed, school, or public access, intermittent use appeared adequate but hampered their ability to hone online skills to the levels of their peers. The study also finds that although systematic incorporation of IT into the national curriculum can encourage parity in basic exposure to online skills, developing greater Internet proficiency is more likely with home Internet access.",1.0,https://sci-hub.se/10.1111/j.1083-6101.2009.01488.x,
Communication Theory,https://academic.oup.com/ct/issue/16/1?browseBy=volume,Volume 16,Issue 1,"Issue 1, February 2006, Pages 1–153",February,2006,Original Articles,The Role of Positive and Negative Signaling Communication by Strong and Weak Ties in the Shaping of Safe Sex Subjective Norms of Adolescents in South Africa,https://academic.oup.com/ct/article/16/1/75/4098690,10.1111/j.1468-2885.2006.00006.x,75–90,"We propose the theory that subjective (injunctive) social norms are shaped through two intertwined processes: positive and negative signaling communication by the personal social network and construal of the communicated social norm. Construal is evoked by the strength of the relation between a tie and the individual. With strong ties, individuals conform to the communicated injunctive norm, while with weak ties individuals do not conform to the communicated injunctive norm. We assessed the validity of the theoretical framework in a study on condom-use norms among 98 adolescents from different cultural backgrounds in South Africa. Parent injunctive norms were significantly related to positive and negative signaling about condoms of strong ties but not to positive and negative signaling of weak ties.",1.0,https://sci-hub.se/10.1111/j.1468-2885.2006.00006.x,
Journal of Computer-Mediated Communication,https://academic.oup.com/jcmc/issue/10/4?browseBy=volume,Volume 10,Issue 4,"Issue 4, 1 July 2005",July,2005,Original Article,Knowledge Transfer and Collaboration in Distributed U.S.-Thai Teams,https://academic.oup.com/jcmc/article/10/4/JCMC1043/4614484,10.1111/j.1083-6101.2005.tb00278.x,,"This article reports on a study that investigates factors influencing knowledge transfer in the context of cross-cultural distributed teams engaged in information systems development. The goal was to examine the validity of a four-factor framework of knowledge transfer (the “4 C Framework”), which proposes that capability, credibility, communication, and culture of the source significantly affects knowledge transfer. The framework is examined in the context of US-Thai distributed teams, as well as within the local subgroups. Results support the role of credibility and communication on knowledge transfer in the cross-cultural distributed teams, and within the local subgroups. Capability was not found to be related to knowledge transfer either in the distributed teams or within the local subgroups. Finally, culture of the source did affect knowledge transfer in the distributed teams, although in a direction opposite to that hypothesized.",1.0,https://sci-hub.se/10.1111/j.1083-6101.2005.tb00278.x,
Journal of Communication,https://academic.oup.com/joc/issue/51/2?browseBy=volume,Volume 51,Issue 2,"Issue 2, June 2001, Pages 231–449",June,2001,Research Articles,Developing an Optimal Match Within Online Communities: An Exploration of CMC Support Communities and Traditional Support,https://academic.oup.com/joc/article/51/2/231/4110117,10.1111/j.1460-2466.2001.tb02879.x,231–251,"This study investigates the complementary nature of face-to-face and computer-mediated social support and the development of a context through which hyperpersonal communication can develop within online communities. Optimal matching theory is used as a framework for explaining how hyperpersonal communication develops within online cancer support communities. We compared online participants' perceptions of illness support from the list with the support they received from a nonmediated relationship. Respondents participated more within the online community only when they perceived that the depth and support that they received from the online community was high, and when the depth and support they received from the specific person in their life was low.",1.0,https://sci-hub.se/10.1111/j.1460-2466.2001.tb02879.x,
Human Communication Research,https://academic.oup.com/hcr/issue/26/4?browseBy=volume,Volume 26,Issue 4,"Issue 4, October 2000, Pages 527–651",October,2000,Article,Social Pressures on Organizational Website Adoption,https://academic.oup.com/hcr/article/26/4/618/4554760,10.1111/j.1468-2958.2000.tb00771.x,618–646,"Innovation adoption research has demonstrated that organizational features and perceived benefits of innovations play significant roles in explaining organizational-level decisions to adopt new technologies. Beyond such motivations, however, social pressures operating at the interorganizational level have been proposed to influence the decision to adopt innovations, even without regard to any proven or anticipated benefit from the innovation itself. To empirically determine the influence of organizational features, perceived benefits, and social pressures on organizations' innovation adoption decisions, this study examined the decisions of 288 organizations to adopt Internet websites. Organizational social pressures were found to be the most significant discriminators of adopters and non adopters, although they were not particularly important in predicting the likelihood of future adoption for those organizations currently without websites. This finding suggests that social pressures are significant in innovation adoption, but that they may have their strongest effect during the early phases of innovation diffusion. Organizational features and perceived benefits were also reasonable discriminators of adopters and nonadopters as well as effective predictors of the likelihood of adoption for nonadopters. To a lesser degree, these factors were also predictive of the stage of adoption for those organizations that have already adopted websites.",1.0,https://sci-hub.se/10.1111/j.1468-2958.2000.tb00771.x,
Journal of Communication,https://academic.oup.com/joc/issue/67/4?browseBy=volume,Volume 67,Issue 4,"Issue 4, August 2017",August,2017,Original Articles,Networks and Innovation in the Production of Communication: Explaining Innovations in U.S. Electoral Campaigning From 2004 to 2012,https://academic.oup.com/joc/article/67/4/521/4642157,10.1111/jcom.12302,521–544,"We outline a network analytic framework for analyzing the production of communication. In our framework, individuals—in part the products of the history of their social and professional ties—merge from various fields and a medley of prior production experiences within organizations to produce communicative innovations. Organizations with individuals who have diverse backgrounds and significant overlap in work experiences will be more innovative. We demonstrate this through a network analysis of the professional biographies of 629 staffers on U.S. presidential campaigns from 2004 to 2012. Democratic staffers came from more diverse organizations and shared significant overlap in prior experiences than their Republican counterparts. Through interview data, we argue that this in part explains Democratic innovativeness in technology during this period.",1.0,https://sci-hub.se/10.1111/jcom.12302,
Journal of Computer-Mediated Communication,https://academic.oup.com/jcmc/issue/9/1?browseBy=volume,Volume 9,Issue 1,"Issue 1, 1 November 2003",November,2003,Original Article,Breaking Conversational Norms on a Portuguese Users Network: Men as Adjudicators of Politeness?,https://academic.oup.com/jcmc/article/9/1/JCMC916/4614500,10.1111/j.1083-6101.2003.tb00361.x,,"This article examines messages exchanged via asynchronous CMC at a Portuguese university that would be considered impolite in face-to-face interaction (cf. Brown & Levinson, 1987; Culpeper, 1996; Oliveira, 1985, 2003; Oliveira Medeiros, 1994). A comparison by gender was conducted of the degree and nature of participation in the university Users' network, focusing on transgressions and chastisement involving inappropriate message content, message form and address form selection. Although women participate less often in discussions on the network, messages posted by women are more often treated as transgressions, while men more often initiate responses demonstrating concern with established norms of politeness and the importance of adhering to them. These results confirm traditional gender roles of men as interactionally dominant and representative of “authority,” but do not support findings for English-language CMC that women are more concerned with politeness than men (Herring, 1994; Smith, McLaughlin & Osborn,1997); rather, Portuguese men on the university network assume the role of “politeness adjudicators.”",1.0,https://sci-hub.se/10.1111/j.1083-6101.2003.tb00361.x,
Journal of Computer-Mediated Communication,https://academic.oup.com/jcmc/issue/27/3?browseBy=volume,Volume 27,Issue 3,"Issue 3, May 2022",May,2022,Full-length Research Articles,Vicarious Interactions in Online Support Communities: The Roles of Visual Anonymity and Social Identification,https://academic.oup.com/jcmc/article/27/3/zmac006/6567658,10.1093/jcmc/zmac006,,"Online information seekers often do not actively post or engage in interactions with others, inviting research on how passive users of online communities benefit from the information they see. Based on the social identity model of deindividuation effects model (SIDE) and social identity theory, we proposed and tested the idea that observers of a supportive interaction online could relate to the observed support seeker based on their shared gender and, in turn, become vicariously influenced by the support provider’s message to the support seeker. An experiment using a sample of young adults (N = 326) in the United States provided support to the proposition. Furthermore, the outcomes of the vicarious interaction were qualified by the genders of the observed interactants and enhanced by the lack of profile photos. The findings advance the understandings of vicarious interaction in online context and guide the design of online communities to promote mental well-being.

Lay Summary

Ample evidence shows that people benefit tremendously from participating in online health support communities, but less is understood about how people who do not actively participate in interactions benefit from these communities. We conducted an online experiment using a sample of young adults in the United States. The results showed that females, compared with males, are more likely to be persuaded to seek professional counseling for mental health issues from observing a supportive conversation online. The persuasive effect of reading supportive interactions was enhanced when female participants shared the same gender with the observed support seeker and when the observed interactants had no profile photos.",3.0,https://sci-hub.se/10.1093/jcmc/zmac006,
Human Communication Research,https://academic.oup.com/hcr/issue/6/2?browseBy=volume,Volume 6,Issue 2,"Issue 2, December 1980, Pages 99–189",December,1980,Articles,Basic Premises of Multidimensional Attitude Change Theory: An Experimental Analysis,https://academic.oup.com/hcr/article/6/2/153/4626855,10.1111/j.1468-2958.1980.tb00135.x,153–167,"Multidimensional attitude change models propose that (1) stimuli defining the domain of attitudes may consist of a multidimensional rather than unidimensional pattern; (2) stimuli associated with each other in the persuasion process will converge with each other in the multidimensional attitude domain. These two propositions receive clear support from three of the hypotheses tested in four-panel cohort data, which analyses show to be multidimensional. The sources of a persuasive message converge on the position they advocate. Multiple sources converge on each other. The findings provided partial support for two other hypotheses on the convergence of self-concept with advocated position and with sources of a persuasive message. A final, somewhat tangential hypothesis also receives clear support: existential associations of concepts are more effective than hortatory associations. These results support further development of multidimensional attitude change models.",1.0,https://sci-hub.se/10.1111/j.1468-2958.1980.tb00135.x,
