journal,issueURL,volumn,issue,issueText,month,year,category,title,url,doi,pages,abstract,abstract_para_num,sci_hub,type
Journal of Computer-Mediated Communication,https://academic.oup.com/jcmc/issue/19/3?browseBy=volume,Volume 19,Issue 3,"Issue 3, 1 April 2014, Pages 309–726",April,2014,Original Article,More Than Friends: Popularity on Facebook and its Role in Impression Formation,https://academic.oup.com/jcmc/article/19/3/358/4067518,10.1111/jcc4.12067,,"Social networking sites such as Facebook are becoming increasingly popular and important but it remains unclear which aspects of profiles convey information used to form impressions. This study expands on research investigating the role of popularity online and its impact on perceptions of targets' personality and appearance. Facebook profile owners' popularity was manipulated via number of friends and photos, and type of wall activity. Participants were 102 undergraduates who viewed 4 Facebook profiles (a popular and unpopular male and female) and judged the individuals represented by each. Popular targets were perceived to be more socially and physically attractive, extroverted and approachable than unpopular targets. Findings mirror offline effects and provide clues as to how profiles are examined and information extracted.",1.0,https://sci-hub.se/10.1111/jcc4.12067,
Communication Theory,https://academic.oup.com/ct/issue/18/2?browseBy=volume,Volume 18,Issue 2,"Issue 2, May 2008, Pages 187–333",May,2008,Original Articles,Understanding and Efficiency: Habermas’s Concept of Communication Relief,https://academic.oup.com/ct/article/18/2/240/4098706,10.1111/j.1468-2885.2008.00321.x,240–254,"This commentary calls attention to a topic neglected in the scholarly reception of Habermas’s work—the concept of communication relief. In his recent public sphere theory, he classifies different media forms that are necessary for coordinating different types of social action. He identifies three such media forms: linguistic agreement, steering media, and generalized communication. Although communication scholars acknowledge his ideas on linguistic agreement, they have overlooked those on steering media and generalized communication. Accordingly, this analysis focuses more on the latter two media forms, which fall under the broader concept of relief mechanisms. Extending the media theories of Talcott Parsons, Habermas identifies four types of relief mechanisms: money, power, influence, and value commitment. Money and power perform steering media functions that promote efficiency. Influence and value commitment perform generalized communication functions that promote not only efficiency but also understanding. Implications for normative theories of mass-mediated democratic communication are discussed.",1.0,https://sci-hub.se/10.1111/j.1468-2885.2008.00321.x,
Journal of Communication,https://academic.oup.com/joc/issue/57/1?browseBy=volume,Volume 57,Issue 1,"Issue 1, March 2007, Pages 1–181",March,2007,Original Articles,The Framing Project: A Bridging Model for Media Research Revisited,https://academic.oup.com/joc/article/57/1/148/4102653,10.1111/j.1460-2466.2006.00334.x,148–154,,,https://sci-hub.se/10.1111/j.1460-2466.2006.00334.x,
Journal of Communication,https://academic.oup.com/joc/issue/51/2?browseBy=volume,Volume 51,Issue 2,"Issue 2, June 2001, Pages 231–449",June,2001,Research Articles,"The Press, Race Relations, and Social Change",https://academic.oup.com/joc/article/51/2/317/4110121,10.1111/j.1460-2466.2001.tb02883.x,317–344,"Scholars from varying perspectives have suggested that discourse in media content may play an important role in shaping and reinforcing perceptions of race relations, particularly among White Americans. However, there has been relatively little systematic consideration of whether and, if so, how discourse in the press has contributed over time to relations between Whites and Blacks. With this in mind, this research examined the racial ideologies present in coverage by 14 mainstream newspapers of U.S. Supreme Court decisions in 1883 and 1896 that allowed and then institutionalized “separate but equal” race relations. Findings suggest that discourse in the mainstream press encouraged racial values and attitudes that were simultaneously being institutionalized in several cultural arenas by social Darwinism, Booker T. Washington's accommodationism, and legalized segregation.",1.0,https://sci-hub.se/10.1111/j.1460-2466.2001.tb02883.x,
Journal of Communication,https://academic.oup.com/joc/issue/34/3?browseBy=volume,Volume 34,Issue 3,"Issue 3, September 1984, Pages 3–240",September,1984,Article,Sex and Violence Revisited,https://academic.oup.com/joc/article/34/3/100/4282773,10.1111/j.1460-2466.1984.tb02177.x,100,,,https://sci-hub.se/10.1111/j.1460-2466.1984.tb02177.x,
Journal of Communication,https://academic.oup.com/joc/issue/47/4?browseBy=volume,Volume 47,Issue 4,"Issue 4, December 1997, Pages 4–211",December,1997,Articles,Response to Kepplinger,https://academic.oup.com/joc/article/47/4/139/4859719,10.1093/jcom/47.4.139,139–141,,,https://sci-hub.se/10.1093/jcom/47.4.139,
Journal of Communication,https://academic.oup.com/joc/issue/2/2?browseBy=volume,Volume 2,Issue 2,"Issue 2, November 1952, Pages 1–89",November,1952,Articles,Speech Invades the Military,https://academic.oup.com/joc/article/2/2/10/4609529,10.1111/j.1460-2466.1952.tb00191.x,10–14,,,https://sci-hub.se/10.1111/j.1460-2466.1952.tb00191.x,
"Communication, Culture and Critique",https://academic.oup.com/ccc/issue/6/2?browseBy=volume,Volume 6,Issue 2,"Issue 2, June 2013, Pages 201–352",June,2013,Original Articles,Resurrecting Camp: Rethinking the Queer Sensibility,https://academic.oup.com/ccc/article/6/2/284/4054479,10.1111/cccr.12007,284–297,"Camp is a queer sense-making practice that subverts dominant gender norms and heteronormative practices and institutions. Scholars have posited that camp is an artifact of oppression-era queer history and that an age of relative queer conspicuousness neither allows for nor necessitates its existence, thereby resulting in its death. This study challenges that supposition by offering a camp reading of Karen Walker (Megan Mullally) from Nbc's Will & Grace (1998–2006). Though the show has been criticized for its relatively safe queer representations, this study demonstrates the ways in which it relied on camp humor to deconstruct normative gender and sexuality practices. Future research should use empirical measures to address the role that camp plays in the lives of contemporary queer spectators.",1.0,https://sci-hub.se/10.1111/cccr.12007,
Journal of Communication,https://academic.oup.com/joc/issue/37/1?browseBy=volume,Volume 37,Issue 1,"Issue 1, March 1987, Pages 2–192",March,1987,The New Telecommunications Marketplace,Consumer Electronic Publishing in the Competitive Environment,https://academic.oup.com/joc/article/37/1/49/4282953,10.1111/j.1460-2466.1987.tb00967.x,49–63,,,https://sci-hub.se/10.1111/j.1460-2466.1987.tb00967.x,
Journal of Computer-Mediated Communication,https://academic.oup.com/jcmc/issue/17/1?browseBy=volume,Volume 17,Issue 1,"Issue 1, 1 October 2011, Pages 1–115",October,2011,Original Article,Seeing and Being Seen: The Effects on Gesture Production,https://academic.oup.com/jcmc/article/17/1/77/4067669,10.1111/j.1083-6101.2011.01558.x,,"Speakers are argued to adapt their language production to their addressee's needs. For instance, speakers produce fewer and smaller hand gestures when interlocutors cannot see each other. Yet is this because speakers know their addressee cannot see them, or because they themselves do not see their addressee? By means of computer-mediated communication we manipulated these factors independently. We found that speakers took into account what their addressee saw. They produced more and larger gestures when they knew the addressee could see them. Seeing the addressee increased gesture production only if speakers could readily interpret the addressee's eye gaze, which is not usually the case in mediated interaction. Adding this affordance resulted in gesturing being similar in mediated and unmediated communication.",1.0,https://sci-hub.se/10.1111/j.1083-6101.2011.01558.x,
Journal of Communication,https://academic.oup.com/joc/issue/8/4?browseBy=volume,Volume 8,Issue 4,"Issue 4, December 1958, Pages 151–204",December,1958,Articles,The Nervous System of Your Enterprise,https://academic.oup.com/joc/article/8/4/156/4587443,10.1111/j.1460-2466.1958.tb01149.x,156–164,,,https://sci-hub.se/10.1111/j.1460-2466.1958.tb01149.x,
Journal of Communication,https://academic.oup.com/joc/issue/47/4?browseBy=volume,Volume 47,Issue 4,"Issue 4, December 1997, Pages 4–211",December,1997,Articles,Effect of Three Communication Technologies on Mass Media Spending in Belgium,https://academic.oup.com/joc/article/47/4/54/4160330,10.1111/j.1460-2466.1997.tb02725.x,54–68,"This study assessed the impact of color television, cable television, and the videocassette recorder on consumer mass media spending in Belgium. Using the concept of functional equivalence for theoretical guidance, it hypothesized that the introduction of these three communication technologies would not affect the overall level of mass media expenditures over time, as consumers are expected to compensate for these new expenditures by curtailing spending on traditional media. This hypothesis was not supported, though. Trend analyses revealed that these three technologies collectively played a major role in expanding the share of disposable personal income devoted to mass media in Belgium between 1970 and 1991.",1.0,https://sci-hub.se/10.1111/j.1460-2466.1997.tb02725.x,
Journal of Communication,https://academic.oup.com/joc/issue/47/2?browseBy=volume,Volume 47,Issue 2,"Issue 2, June 1997, Pages 3–171",June,1997,Review Essay,On Recorded Sound,https://academic.oup.com/joc/article/47/2/134/4160342,10.1111/j.1460-2466.1997.tb02710.x,134–139,,,https://sci-hub.se/10.1111/j.1460-2466.1997.tb02710.x,
Journal of Communication,https://academic.oup.com/joc/issue/71/4?browseBy=volume,Volume 71,Issue 4,"Issue 4, August 2021, Pages 515–676",August,2021,Articles,A Latent Profile Analysis of Undocumented College Students’ Protection-Oriented Family Communication and Strengths-Based Psychological Coping,https://academic.oup.com/joc/article/71/4/646/6356127,10.1093/joc/jqab018,646–675,"Drawing from resilience theory, this study explored subgroups of undocumented college students (UCS) based on their patterns of protection-oriented family communication and strengths-based psychological coping. Using survey data from 237 UCS, latent profile analyses revealed three subgroups. Safe optimistic copers reported occasional documentation-seeking and know-your-rights communication, but higher means in prevention and right path communication, as well as optimistic coping. Comprehensive copers scored moderately high in all types of protection-oriented communication and psychological coping. Strengths-based psychological copers infrequently engaged in protection-oriented communication, yet they scored moderately to moderately high in positive psychological coping. Compared to the other two profiles, safe optimistic copers reported the worst wellbeing (highest mean anxiety, depressive symptoms, and sleep disturbances; lowest mean perceived health and wellbeing). Comprehensive copers fared worse in anxiety, depressive symptoms, and sleep disturbances compared to strengths-based psychological copers; however, comprehensive copers reported greater wellbeing, perceived health, and academic motivation.",1.0,https://sci-hub.se/10.1093/joc/jqab018,
Communication Theory,https://academic.oup.com/ct/issue/12/2?browseBy=volume,Volume 12,Issue 2,"Issue 2, 1 May 2002, Pages 117–244",May,2002,Article,A Theoretical Agenda for Entertainment-Education,https://academic.oup.com/ct/article/12/2/117/4110721,10.1111/j.1468-2885.2002.tb00262.x,117–135,"With the growing number of entertainment-education (E-E) interventions worldwide, and the extensive evaluation research on their impacts, the time is ripe to explore in-depth the theoretical underpinnings of entertainment-education. This introductory article provides a historical background to this special issue of Communication Theory on entertainment-education, and charts a 5-pronged theoretical agenda for future research on entertainment-education. Theoretical investigations of entertainment-education should pay greater attention to the tremendous variability among entertainment-education interventions (Agenda #1)and to the various resistances to entertainment-education interventions(Agenda #2). E-E theorizing will also benefit from close investigations of the rhetorical, play, and affective aspects of E-E(Agenda #3). Further, E-E “effects” research should consider employing a broader understanding of individual, group, and social-level changes (Agenda #4) and be more receptive to methodological pluralism and measurement ingenuity (Agenda #5).",1.0,https://sci-hub.se/10.1111/j.1468-2885.2002.tb00262.x,
"Communication, Culture and Critique",https://academic.oup.com/ccc/issue/13/1?browseBy=volume,Volume 13,Issue 1,"Issue 1, March 2020, Pages 1–141",March,2020,Articles,From “Mine” to “Ours”: Gendered Hierarchies of Authorship and the Limits of Taylor Swift’s Paratextual Feminism,https://academic.oup.com/ccc/article/13/1/72/5775342,10.1093/ccc/tcz042,72–91,"This article analyzes paratextual strategies deployed by Taylor Swift in her transition from country to pop in the context of her articulation of her authorship as a female songwriter. This was a transition complicated by the gendered hierarchies of pop music, wherein male producers carry significant discursive weight. The article frames the “Voice Memos” included with her 2014 album 1989 as a form of paratextual feminism, reiterating the authenticity she developed as a country star and pushing back against claims her collaboration with male producers like Max Martin and Ryan Tedder threaten her autonomy as a female voice in the music industry. However, the article goes on to consider how these and other paratextual feminisms are inherently tied to neoliberal values of post-feminism, demonstrating that their potential as a gendered critique of the media industries is limited by the lack of actualization within Swift’s broader star text and industry practice.",1.0,https://sci-hub.se/10.1093/ccc/tcz042,
Journal of Communication,https://academic.oup.com/joc/issue/63/4?browseBy=volume,Volume 63,Issue 4,"Issue 4, August 2013, Pages 617–806",August,2013,Original Articles,"Identification Matters: A Moderated Mediation Model of Media Interactivity, Character Identification, and Video Game Violence on Aggression",https://academic.oup.com/joc/article/63/4/682/4086091,10.1111/jcom.12044,682–702,"This study examined the effects of interactivity in violent video games on aggression and tested identification as the moderated mediating mechanism. A total of 169 male undergraduate students participated in a 2 media interactivity (enactive mediation vs. observational mediation) × 2 violence (violent vs. nonviolent) experiment. Results supported a moderated mediation model in which the effect of media interactivity on aggressive affect through identification was moderated by violence. When violence was present, interactive play resulted in higher short-term aggressive affect through higher character identification than when violence was not present. Additionally, an interaction effect between media interactivity and violence was found for automatic self-concept in which players associated themselves more with the game character's traits than video viewers.",1.0,https://sci-hub.se/10.1111/jcom.12044,
Journal of Communication,https://academic.oup.com/joc/issue/67/1?browseBy=volume,Volume 67,Issue 1,"Issue 1, February 2017, Pages 1–158",February,2017,Original Articles,Maximizing Opportunities and Minimizing Risks for Children Online: The Role of Digital Skills in Emerging Strategies of Parental Mediation,https://academic.oup.com/joc/article/67/1/82/4082453,10.1111/jcom.12277,82–105,"As Internet use becomes widespread at home, parents are trying to maximize their children's online opportunities while also minimizing online risks. We surveyed parents of 6- to 14-year-olds in 8 European countries (N = 6,400). A factor analysis revealed 2 parental mediation strategies. Enabling mediation is associated with increased online opportunities but also risks. This strategy incorporates safety efforts, responds to child agency, and is employed when the parent or child is relatively digitally skilled, so may not support harm. Restrictive mediation is associated with fewer online risks but at the cost of opportunities, reflecting policy advice that regards media use as primarily problematic. It is favored when parent or child digital skills are lower, potentially keeping vulnerable children safe yet undermining their digital inclusion.",1.0,https://sci-hub.se/10.1111/jcom.12277,
Journal of Communication,https://academic.oup.com/joc/issue/27/2?browseBy=volume,Volume 27,Issue 2,"Issue 2, June 1977, Pages 3–224",June,1977,When Cultures Clash,Radio as the People's Medium,https://academic.oup.com/joc/article/27/2/154/4553946,10.1111/j.1460-2466.1977.tb01841.x,154–157,,,https://sci-hub.se/10.1111/j.1460-2466.1977.tb01841.x,
Human Communication Research,https://academic.oup.com/hcr/issue/47/4?browseBy=volume,Volume 47,Issue 4,"Issue 4, October 2021, Pages 335–486",October,2021,Empirical Note,Assessing the Russian Troll Efforts to Sow Discord on Twitter during the 2016 U.S. Election,https://academic.oup.com/hcr/article/47/4/477/6333547,10.1093/hcr/hqab009,477–486,"Although experts agree that the Russian Internet Research Agency deployed trolls on Twitter to disrupt the 2016 U.S. presidential election, questions remain about the nuances of their efforts. We examined almost 350,000 original tweets made during the two-year electoral cycle to investigate the emphasis, timing, content, and partisanship of the trolls’ efforts targeting leading candidates. Despite only dedicating a fraction of their tweets to candidates, troll behavior generally tracked the relevance of Donald Trump, Hillary Clinton, Bernie Sanders, and Ted Cruz during the election cycle. Trolls were significantly more likely to engage in name-calling in tweets about Trump, Clinton, and Cruz than in tweets about other topics. Name-calling peaked in tweets addressing Clinton during the general election. Right trolls were more likely to focus their attention on Trump, Clinton, and Cruz than were other partisan trolls.",1.0,https://sci-hub.se/10.1093/hcr/hqab009,
Journal of Communication,https://academic.oup.com/joc/issue/45/3?browseBy=volume,Volume 45,Issue 3,"Issue 3, September 1995, Pages 3–191",September,1995,Research Articles,News Icons and the Mainstreaming of Social Change,https://academic.oup.com/joc/article/45/3/20/4160207,10.1111/j.1460-2466.1995.tb00742.x,20–39,"Two theoretical paradigms have traditionally guided understandings of the news. The liberal-pluralist paradigm posits the mass media as a vital conduit of accountability and bottom-up change, whereas the critical paradigm views the news as a crucial site and mechanism of ideological domination. This analysis furthers an evolving ecological approach, which bridges the two dominant paradigms, contending that the same market imperatives and journalistic routines which so often produce news that reinforces the status quo can at times produce news which challenges it. Analysis of news about the environment and waste recycling from 1980–1990 reveals a dramatic shift in coverage patterns following the ill-fated voyage of the Mobro, the garbage barge that sailed the high seas for three months in an unsuccessful search for a port that would accept its cargo. The barge became what we call a news icon: an image that lived on beyond its originating event by being introduced into a variety of subsequent news contexts. The icon provided an occasion for both journalists and their sources to refigure cultural scripts about garbage and recycling. In this process news routines and source communication strategies interacted to produce news as cultural forum, creating opportunities for cultural transformation.",1.0,https://sci-hub.se/10.1111/j.1460-2466.1995.tb00742.x,
Journal of Communication,https://academic.oup.com/joc/issue/27/3?browseBy=volume,Volume 27,Issue 3,"Issue 3, September 1977, Pages 3–240",September,1977,Effects of Television,Predispositions Revisited,https://academic.oup.com/joc/article/27/3/217/4554000,10.1111/j.1460-2466.1977.tb02150.x,217–221,,,https://sci-hub.se/10.1111/j.1460-2466.1977.tb02150.x,
Communication Theory,https://academic.oup.com/ct/issue/4/1?browseBy=volume,Volume 4,Issue 1,"Issue 1, February 1994, Pages 1–92",February,1994,Compliance Gaining,Paths II: The Garden Variety,https://academic.oup.com/ct/article/4/1/81/4259829,10.1111/j.1468-2885.1994.tb00084.x,81–92,,,https://sci-hub.se/10.1111/j.1468-2885.1994.tb00084.x,
Journal of Communication,https://academic.oup.com/joc/issue/34/4?browseBy=volume,Volume 34,Issue 4,"Issue 4, December 1984, Pages 3–220",December,1984,Article,Responses to the decision by,https://academic.oup.com/joc/article/34/4/100/4282763,10.1111/j.1460-2466.1984.tb02197.x,100–102,,,https://sci-hub.se/10.1111/j.1460-2466.1984.tb02197.x,
Journal of Communication,https://academic.oup.com/joc/issue/65/3?browseBy=volume,Volume 65,Issue 3,"Issue 3, June 2015, Pages 423–583",June,2015,Original Articles,Network Effects in the Academic Market: Mechanisms for Hiring and Placing PhDs in Communication (2007–2014),https://academic.oup.com/joc/article/65/3/558/4082345,10.1111/jcom.12158,558–583,"We analyze hiring and placement dynamics across communication PhD programs using data collected in 2014. We assess changes compared to data collected in 2007, and identify factors that underlie the formation of recruitment ties. Our findings challenge prior conclusions that faculty-hiring patterns offer a proxy to the quality of doctoral education. Instead, we find evidence that the recruitment network results from interorganizational dynamics likely to emerge from faculty mobility; these dynamics, endogenous to the network, manifest in the form of reciprocity, transitivity, and cumulative advantage. Once we control for these characteristics, exogenous factors such as institutional prestige, faculty seniority, and reputational rankings modestly drive the creation of recruitment ties—appearing as secondary forces in the formation of faculty-hiring networks.",1.0,https://sci-hub.se/10.1111/jcom.12158,
Journal of Communication,https://academic.oup.com/joc/issue/35/1?browseBy=volume,Volume 35,Issue 1,"Issue 1, March 1985, Pages 3–240",March,1985,The Mediated Ministry,When Watching Religious TV is Like Attending Church,https://academic.oup.com/joc/article/35/1/123/4282862,10.1111/j.1460-2466.1985.tb01889.x,123–131,,,https://sci-hub.se/10.1111/j.1460-2466.1985.tb01889.x,
"Communication, Culture and Critique",https://academic.oup.com/ccc/issue/11/3?browseBy=volume,Volume 11,Issue 3,"Issue 3, September 2018, Pages 341–512",September,2018,Original Articles,Grounding Peer Production in Practice: Editorial Routines and Everyday Engagement in the “Free Encyclopedia Anyone Can Edit”,https://academic.oup.com/ccc/article/11/3/455/5035432,10.1093/ccc/tcy010,455–474,"The article asks how voluntary engagement in peer production is grounded in the day-to-day lives of highly engaged contributors. To study their routines, I turn to the English and German language editions of Wikipedia, the quintessential example of decentralized and nonproprietary cooperation. Taking issue with idealistic accounts of free and open digital labor, the ethnographic inquiry starts by distinguishing the modes of constructive contribution from which the authors crafted their repertoire of editorial occupations. Based on participant observation, interviews, and the analysis of documents and communications, the study then explains how practical involvement is accommodated within the editors’ everyday affairs. The article concludes by arguing that the project rests on arranging rationalities of autonomy as it opens up a limited range of agreed-upon activities. The available tasks thus allow for different levels of mutuality and interdependency and they help to mitigate tensions between autonomous choice and shared commitment.",1.0,https://sci-hub.se/10.1093/ccc/tcy010,
Journal of Computer-Mediated Communication,https://academic.oup.com/jcmc/issue/12/4?browseBy=volume,Volume 12,Issue 4,"Issue 4, 1 July 2007, Pages 1143–1492",July,2007,Original Article,Mapping Diversities and Tracing Trends of Cultural Homogeneity/Heterogeneity in Cyberspace,https://academic.oup.com/jcmc/article/12/4/1269/4582996,10.1111/j.1083-6101.2007.00373.x,,"Many Internet global commercial services were originally initiated in the United States and later exported to other countries, continents, and cultures. By analyzing content and form characteristics of two leading portal sites—MSN and Yahoo!—on 33 and 23 (respectively) of their local country homepages in a comparative and longitudinal study over a period of six months, this study addresses two research questions: What differences, if any, are found among homepages of the same parent site located in different cultures (or targeted at audiences in different cultures)? What trends, if any, do those differences show over time? Although MSN is a U.S. brand, the analysis of its homepages reveals increasing cultural heterogeneity and localization of content and form. In contrast, Yahoo!’s homepages are found to be more similar to each other and to the “parent” American portal. A metric was developed to measure the distance between various websites in terms of form and content, along with a structured procedure to analyze and cluster groups of websites. The results suggest that the diversity of local homepages in MSN and Yahoo! follows the geographic and ethnographic scatter of their countries.",1.0,https://sci-hub.se/10.1111/j.1083-6101.2007.00373.x,
Communication Theory,https://academic.oup.com/ct/issue/6/4?browseBy=volume,Volume 6,Issue 4,"Issue 4, November 1996, Pages 329–429",November,1996,Article,How Science is Subverted: Penology and Prison Inmates' Resistance,https://academic.oup.com/ct/article/6/4/335/4259842,10.1111/j.1468-2885.1996.tb00135.x,335–360,"The problem of violence within America's prison system is not only misunderstood in key respects by the penological science that seeks to know it; it is in significant respects an effect of penological science and the practices it generates in the course of having aligned itself with legal discourses of the political state. Our thesis, informed by concepts that are central to Michel Foucault's antiscience project, is that violence within America's prison system is best understood as an oppositional response to a penological science, which, organized as a set of discursive practices and deployed in an alliance with legal discourses of the political state, succeeds in knowing inmates only in restricted and ultimately self-defeating ways. Our thesis is neutral as to the truth or falsity of the specific knowledge claims of penology. Rather our focus is on the ways in which retrictedness and self-defeat are inherent in the very doing of penology and how, further, the purported successes of penology's discursively grounded knowledge claims, as well as the practices they engender, contribute to the (violent) undoing of those very same claims. We offer illustrative empirical support for our thesis by showing some discursive practices of penological science, how they are deployed specifically in the course of inscribing inmates as scientifically knowable objects, and how such tactics incite inmates to develop new identity resources, steeped in violence, which effectively subvert penology's claims to knowledge.",1.0,https://sci-hub.se/10.1111/j.1468-2885.1996.tb00135.x,
