,authorID,doi,url,year,title,journal,numberOfAuthors,authorPosition,authorFullName,firstName,lastName,affiliation,gscholarLink,googleSearch,genderize,genderize_prob,genderize_basedon,genderAccuracy,authorFullName.1,firstName.1,lastName.1,affiliation.1,gscholarLink.1,googleSearch.1,race,racePredAccuracy,api,black,hispanic,white,raceHighest,raceSecondHighest,raceDiff,affProcessed,affiliation.2,ROR_AFFNAME,matchMethod,ROR_ID,type,gender_prediction,race_prediction
13,10.1093/joc/jqac012+3.0,10.1093/joc/jqac012,https://academic.oup.com/joc/article/72/3/429/6573231,2022,"To Misspecify Is Common, to Probe Misspecification Scientific: Common “Confounds” in Pornography Research May Actually Be Predictors",Journal of Communication,4.0,3.0,Debby Herbenick,Debby,Herbenick,"The Center for Sexual Health Promotion, The School of Public Health, Indiana University , Bloomington, IN,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Debby+Herbenick,https://www.google.com/search?q=Debby+Herbenick+the+center+for+sexual+health+promotion+the+school+of+public+health+indiana+university+bloomington+in+usa,female,0.98,6247.0,High,Debby Herbenick,Debby,Herbenick,"The Center for Sexual Health Promotion, The School of Public Health, Indiana University , Bloomington, IN,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Debby+Herbenick,https://www.google.com/search?q=Debby+Herbenick+the+center+for+sexual+health+promotion+the+school+of+public+health+indiana+university+bloomington+in+usa,white,High,0.0042855735,0.03711351,0.025268758,0.93333215,0.93333215,0.03711351,0.89621866,the center for sexual health promotion the school of public health indiana university bloomington in usa,"The Center for Sexual Health Promotion, The School of Public Health, Indiana University , Bloomington, IN,  USA",Indiana University Bloomington,Exact,https://ror.org/02k40bc56,R,,
4983,10.1093/hcr/hqac008+3.0,10.1093/hcr/hqac008,https://academic.oup.com/hcr/article/48/3/404/6572120,2022,My AI Friend: How Users of a Social Chatbot Understand Their Human–AI Friendship,Human Communication Research,3.0,3.0,Asbjørn Følstad,Asbjørn,Følstad,"SINTEF , Oslo,  Norway",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Asbjørn+Følstad,https://www.google.com/search?q=Asbj%C3%B8rn+F%C3%B8lstad+sintef+oslo+norway,male,1.0,46.0,Low,Asbjørn Følstad,Asbjørn,Følstad,"SINTEF , Oslo,  Norway",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Asbjørn+Følstad,https://www.google.com/search?q=Asbj%C3%B8rn+F%C3%B8lstad+sintef+oslo+norway,white,High,0.008673181,0.07680466,0.032641325,0.8818808,0.8818808,0.07680466,0.8050762,sintef oslo norway,"SINTEF , Oslo,  Norway",SINTEF,API_QUERY,https://ror.org/01f677e56,R,,
10685,10.1093/ccc/tcab032+2.0,10.1093/ccc/tcab032,https://academic.oup.com/ccc/article/15/1/69/6309719,2022,Prison Tech: Imagining the Prison as Lagging Behind and as a Test Bed for Technology Advancement,"Communication, Culture and Critique",2.0,2.0,Fredrik Stiernstedt,Fredrik,Stiernstedt,"Media and Communication Studies, Södertörn University , Stockholm 14189,  Sweden",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Fredrik+Stiernstedt,https://www.google.com/search?q=Fredrik+Stiernstedt+media+and+communication+studies+s+dert+rn+university+stockholm+sweden,male,0.99,9106.0,High,Fredrik Stiernstedt,Fredrik,Stiernstedt,"Media and Communication Studies, Södertörn University , Stockholm 14189,  Sweden",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Fredrik+Stiernstedt,https://www.google.com/search?q=Fredrik+Stiernstedt+media+and+communication+studies+s+dert+rn+university+stockholm+sweden,white,High,0.0008013646,0.0003085568,0.017474866,0.9814153,0.9814153,0.017474866,0.9639404,media and communication studies s dert rn university stockholm sweden,"Media and Communication Studies, Södertörn University , Stockholm 14189,  Sweden",Institute for Comparative Media and Communication Studies,API_QUERY,https://ror.org/02yf6ha74,R,,
1,10.1093/joc/jqac004+2.0,10.1093/joc/jqac004,https://academic.oup.com/joc/article/72/3/297/6529454,2022,The Gender Divide in Wikipedia: Quantifying and Assessing the Impact of Two Feminist Interventions,Journal of Communication,2.0,2.0,Sandra González-Bailón,Sandra,González-Bailón,"Annenberg School for Communication, University of Pennsylvania , Philadelphia, PA 19104,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Sandra+González-Bailón,https://www.google.com/search?q=Sandra+Gonz%C3%A1lez-Bail%C3%B3n+annenberg+school+for+communication+university+of+pennsylvania+philadelphia+pa+usa,female,0.98,266121.0,High,Sandra González-Bailón,Sandra,González-Bailón,"Annenberg School for Communication, University of Pennsylvania , Philadelphia, PA 19104,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Sandra+González-Bailón,https://www.google.com/search?q=Sandra+Gonz%C3%A1lez-Bail%C3%B3n+annenberg+school+for+communication+university+of+pennsylvania+philadelphia+pa+usa,hispanic,High,0.010405678,0.00029994355,0.9791829,0.010111499,0.9791829,0.010405678,0.96877724,annenberg school for communication university of pennsylvania philadelphia pa usa,"Annenberg School for Communication, University of Pennsylvania , Philadelphia, PA 19104,  USA",University of Pennsylvania,Exact,https://ror.org/00b30xv10,R,,
4979,10.1093/hcr/hqac006+1.0,10.1093/hcr/hqac006,https://academic.oup.com/hcr/article/48/3/386/6564679,2022,Persuasion in the Age of Artificial Intelligence (AI): Theories and Complications of AI-Based Persuasion,Human Communication Research,2.0,1.0,Marco Dehnert,Marco,Dehnert,"The Hugh Downs School of Human Communication, Arizona State University , Tempe, AZ,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Marco+Dehnert,https://www.google.com/search?q=Marco+Dehnert+the+hugh+downs+school+of+human+communication+arizona+state+university+tempe+az+usa,male,0.99,357670.0,High,Marco Dehnert,Marco,Dehnert,"The Hugh Downs School of Human Communication, Arizona State University , Tempe, AZ,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Marco+Dehnert,https://www.google.com/search?q=Marco+Dehnert+the+hugh+downs+school+of+human+communication+arizona+state+university+tempe+az+usa,white,High,0.0036162324,0.03174934,0.022705926,0.9419285,0.9419285,0.03174934,0.91017914,the hugh downs school of human communication arizona state university tempe az usa,"The Hugh Downs School of Human Communication, Arizona State University , Tempe, AZ,  USA",Arizona State University,Exact,https://ror.org/03efmqc40,R,,
64,10.1093/joc/jqab042+2.0,10.1093/joc/jqab042,https://academic.oup.com/joc/article/72/1/111/6439209,2022,Creating and Disrupting Othering During Policymaking in a Polarized Context,Journal of Communication,2.0,2.0,Debbie S Dougherty,Debbie,Dougherty,"Department of Communication, University of Missouri",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Debbie+Dougherty,https://www.google.com/search?q=Debbie+S+Dougherty+department+of+communication+university+of+missouri,female,0.98,11493.0,High,Debbie S Dougherty,Debbie,Dougherty,"Department of Communication, University of Missouri",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Debbie+Dougherty,https://www.google.com/search?q=Debbie+S+Dougherty+department+of+communication+university+of+missouri,white,High,0.0052356073,0.043857098,0.02005464,0.9308527,0.9308527,0.043857098,0.8869956,department of communication university of missouri,"Department of Communication, University of Missouri",University of Missouri,Exact,https://ror.org/02ymw8z06,R,,
10684,10.1093/ccc/tcab032+1.0,10.1093/ccc/tcab032,https://academic.oup.com/ccc/article/15/1/69/6309719,2022,Prison Tech: Imagining the Prison as Lagging Behind and as a Test Bed for Technology Advancement,"Communication, Culture and Critique",2.0,1.0,Anne Kaun,Anne,Kaun,"Media and Communication Studies, Södertörn University , Stockholm 14189,  Sweden",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Anne+Kaun,https://www.google.com/search?q=Anne+Kaun+media+and+communication+studies+s+dert+rn+university+stockholm+sweden,female,0.97,78727.0,High,Anne Kaun,Anne,Kaun,"Media and Communication Studies, Södertörn University , Stockholm 14189,  Sweden",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Anne+Kaun,https://www.google.com/search?q=Anne+Kaun+media+and+communication+studies+s+dert+rn+university+stockholm+sweden,api,Low,0.6984042,0.05245087,0.0068453564,0.24229962,0.6984042,0.24229962,0.45610458,media and communication studies s dert rn university stockholm sweden,"Media and Communication Studies, Södertörn University , Stockholm 14189,  Sweden",Institute for Comparative Media and Communication Studies,API_QUERY,https://ror.org/02yf6ha74,R,,
7698,10.1093/ct/qtab014+1.0,10.1093/ct/qtab014,https://academic.oup.com/ct/article/32/1/116/6358569,2022,On the Construction of Indigenous Chinese Communication Theories: An Analysis of the Cultural Roots,Communication Theory,2.0,1.0,Dexin Tian,Dexin,Tian,"College of International Studies, Yangzhou University , Yangzhou, 225127,  P.R. China",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Dexin+Tian,https://www.google.com/search?q=Dexin+Tian+college+of+international+studies+yangzhou+university+yangzhou+p+r+china,male,0.89,19.0,Low,Dexin Tian,Dexin,Tian,"College of International Studies, Yangzhou University , Yangzhou, 225127,  P.R. China",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Dexin+Tian,https://www.google.com/search?q=Dexin+Tian+college+of+international+studies+yangzhou+university+yangzhou+p+r+china,api,High,0.95361805,0.006723322,0.006006197,0.033652432,0.95361805,0.033652432,0.9199656,college of international studies yangzhou university yangzhou p r china,"College of International Studies, Yangzhou University , Yangzhou, 225127,  P.R. China",Yangzhou University,Exact,https://ror.org/03tqb8s11,R,,
4989,10.1093/hcr/hqac010+6.0,10.1093/hcr/hqac010,https://academic.oup.com/hcr/article/48/3/430/6575847,2022,When Machine and Bandwagon Heuristics Compete: Understanding Users’ Response to Conflicting AI and Crowdsourced Fact-Checking,Human Communication Research,6.0,6.0,Stephen A Rains,Stephen,Rains,"Department of Communication, University of Arizona, Tucson, AZ ,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Stephen+Rains,https://www.google.com/search?q=Stephen+A+Rains+department+of+communication+university+of+arizona+tucson+az+usa,male,0.99,36980.0,High,Stephen A Rains,Stephen,Rains,"Department of Communication, University of Arizona, Tucson, AZ ,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Stephen+Rains,https://www.google.com/search?q=Stephen+A+Rains+department+of+communication+university+of+arizona+tucson+az+usa,white,High,0.007414101,0.087548934,0.044992283,0.86004466,0.86004466,0.087548934,0.77249575,department of communication university of arizona tucson az usa,"Department of Communication, University of Arizona, Tucson, AZ ,  USA",University of Arizona,Exact,https://ror.org/03m2x1q45,R,,
5003,10.1093/hcr/hqab022+2.0,10.1093/hcr/hqab022,https://academic.oup.com/hcr/article/48/2/203/6459595,2022,The Effects of Political Incivility on Political Trust and Political Participation: A Meta-Analysis of Experimental Research,Human Communication Research,2.0,2.0,Aart Van Stekelenburg,Aart,Stekelenburg,"Behavioural Science Institute, Radboud University ,  The Netherlands",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Aart+Stekelenburg,https://www.google.com/search?q=Aart+Van+Stekelenburg+behavioural+science+institute+radboud+university+the+netherlands,male,0.97,371.0,Low,Aart Van Stekelenburg,Aart,Stekelenburg,"Behavioural Science Institute, Radboud University ,  The Netherlands",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Aart+Stekelenburg,https://www.google.com/search?q=Aart+Van+Stekelenburg+behavioural+science+institute+radboud+university+the+netherlands,white,High,0.0037553697,0.052017312,0.030064855,0.91416246,0.91416246,0.052017312,0.8621451,behavioural science institute radboud university the netherlands,"Behavioural Science Institute, Radboud University ,  The Netherlands",The Behavioural Insights Team,API_QUERY,https://ror.org/03mk5b468,R,,
