Original Title,Title on Google Scholar,DOI,Year,Citation Link,Citation Counts on Google Scholar
Enhancing Comprehension of Web Information for Users with Special Linguistic Needs,Enhancing comprehension of web information for users with special linguistic needs,10.1111/j.1460-2466.1998.tb02749.x,1998,"https://scholar.google.com/scholar?cites=3921308075664542258&as_sdt=5,50&sciodt=0,50&hl=en",26
The Information Highway in Contemporary Magazine Narrative,The information highway in contemporary magazine narrative,10.1111/j.1460-2466.1998.tb02750.x,1998,"https://scholar.google.com/scholar?cites=3920391588045492386&as_sdt=5,50&sciodt=0,50&hl=en",72
Grounding the Displaced: Local Media Reception in a Transnational Context,Grounding the displaced: Local media reception in a transnational context,10.1111/j.1460-2466.1998.tb02751.x,1998,"https://scholar.google.com/scholar?cites=13229686015939006807&as_sdt=5,50&sciodt=0,50&hl=en",48
The Seven Great Debates in the Media Literacy Movement,The seven great debates in the media literacy movement.,10.1111/j.1460-2466.1998.tb02734.x,1998,"https://scholar.google.com/scholar?cites=16977728602880177378&as_sdt=5,50&sciodt=0,50&hl=en",996
Media Education in the Uk: Moving Beyond Protectionism,Media education in the UK: Moving beyond protectionism,10.1111/j.1460-2466.1998.tb02735.x,1998,"https://scholar.google.com/scholar?cites=16898913743597725263&as_sdt=5,50&sciodt=0,50&hl=en",359
Media Literacy Perspectives,Media literacy perspectives,10.1111/j.1460-2466.1998.tb02736.x,1998,"https://scholar.google.com/scholar?cites=5854897595307658053&as_sdt=5,50&sciodt=0,50&hl=en",332
Obstacles to the Development of Media Education in the United States,Obstacles to the development of media education in the United States,10.1111/j.1460-2466.1998.tb02737.x,1998,"https://scholar.google.com/scholar?cites=15646572542410454113&as_sdt=5,50&sciodt=0,50&hl=en",290
Visual Aspects of Media Literacy,Visual aspects of media literacy,10.1111/j.1460-2466.1998.tb02738.x,1998,"https://scholar.google.com/scholar?cites=16912469578456043726&as_sdt=5,50&sciodt=0,50&hl=en",277
Contextual Media Aesthetics as the Basis for Media Literacy,Contextual media aesthetics as the basis for media literacy,10.1111/j.1460-2466.1998.tb02739.x,1998,"https://scholar.google.com/scholar?cites=17631722735889196915&as_sdt=5,50&sciodt=0,50&hl=en",131
Multiple Media Literacies,Multiple media literacies,10.1111/j.1460-2466.1998.tb02740.x,1998,"https://scholar.google.com/scholar?cites=13647691887882559391&as_sdt=5,50&sciodt=0,50&hl=en",388
The Struggle Over Media Literacy,The struggle over media literacy,10.1111/j.1460-2466.1998.tb02741.x,1998,"https://scholar.google.com/scholar?cites=17130399937872678302&as_sdt=5,50&sciodt=0,50&hl=en",455
Influence of Communication During the Distant Phase of the 1996 Republican Presidential Primary Campaign,Influence of communication during the distant phase of the 1996 Republican presidential primary campaign,10.1111/j.1460-2466.1997.tb02723.x,1997,"https://scholar.google.com/scholar?cites=219303465484268060&as_sdt=5,50&sciodt=0,50&hl=en",50
American Journalism and the Decline in Event-Centered Reporting,American journalism and the decline in event-centered reporting,10.1111/j.1460-2466.1997.tb02724.x,1997,"https://scholar.google.com/scholar?cites=12912090053414978172&as_sdt=5,50&sciodt=0,50&hl=en",431
Effect of Three Communication Technologies on Mass Media Spending in Belgium,Effect of three communication technologies on mass media spending in Belgium,10.1111/j.1460-2466.1997.tb02725.x,1997,"https://scholar.google.com/scholar?cites=8222263375571061175&as_sdt=5,50&sciodt=0,50&hl=en",16
Editing Strategies in Television News Documentaries,Editing strategies in television news documentaries,10.1111/j.1460-2466.1997.tb02726.x,1997,"https://scholar.google.com/scholar?cites=14382577690081740150&as_sdt=5,50&sciodt=0,50&hl=en",25
"The Changing Generic Location of Crime in Film: A Content Analysis of Film Synopses, 1945–1991","The changing generic location of crime in film: A content analysis of film synopses, 1945–1991",10.1111/j.1460-2466.1997.tb02727.x,1997,"https://scholar.google.com/scholar?cites=2678154679439826468&as_sdt=5,50&sciodt=0,50&hl=en",41
Political Correctness and Academic Principles: A Reply to Simpson,Political correctness and academic principles: A reply to Simpson,10.1111/j.1460-2466.1997.tb02728.x,1997,"https://scholar.google.com/scholar?cites=15995206747579060966&as_sdt=5,50&sciodt=0,50&hl=en",16
United Colors and Untied Meanings: Benetton and the Commodification of Social Issues,United colors and untied meanings: Benetton and the commodification of social issues,10.1111/j.1460-2466.1997.tb02714.x,1997,"https://scholar.google.com/scholar?cites=14135662417054447162&as_sdt=5,50&sciodt=0,50&hl=en",163
Strategy and Issue Frames in Election Campaign Coverage: A Social Cognitive Account of Framing Effects,Strategy and issue frames in election campaign coverage: A social cognitive account of framing effects,10.1111/j.1460-2466.1997.tb02715.x,1997,"https://scholar.google.com/scholar?cites=189626926353268315&as_sdt=5,50&sciodt=0,50&hl=en",538
Patterns of Deviance in Crime News,Patterns of deviance in crime news,10.1111/j.1460-2466.1997.tb02716.x,1997,"https://scholar.google.com/scholar?cites=4234120768531257821&as_sdt=5,50&sciodt=0,50&hl=en",275
Manufacturing Visions of Society and History in Textbooks,Manufacturing visions of society and history in textbooks,10.1111/j.1460-2466.1997.tb02717.x,1997,"https://scholar.google.com/scholar?cites=8023793208343295922&as_sdt=5,50&sciodt=0,50&hl=en",48
Television News and International Earthquake Relief,Television news and international earthquake relief,10.1111/j.1460-2466.1997.tb02718.x,1997,"https://scholar.google.com/scholar?cites=18048944301279898477&as_sdt=5,50&sciodt=0,50&hl=en",145
"20 Years of Television in Israel: Are There Long-run Effects on Values, Social Connectedness, and Cultural Practices?","20 years of television in Israel: Are there long‐run effects on values, social connectedness, and cultural practices?",10.1111/j.1460-2466.1997.tb02703.x,1997,"https://scholar.google.com/scholar?cites=16157826965410843677&as_sdt=5,50&sciodt=0,50&hl=en",98
Children's Creative Imagination in Response to Radio and Television Stories,Children's creative imagination in response to radio and television stories,10.1111/j.1460-2466.1997.tb02704.x,1997,"https://scholar.google.com/scholar?cites=3282477815591135218&as_sdt=5,50&sciodt=0,50&hl=en",61
"American Occupation Control over Broadcasting in Japan, 1945–1952","American occupation control over broadcasting in Japan, 1945–1952",10.1111/j.1460-2466.1997.tb02705.x,1997,"https://scholar.google.com/scholar?cites=10044508544772002043&as_sdt=5,50&sciodt=0,50&hl=en",21
Consequences of Third-Person Perception in Support of Press Restrictions in the O. J. Simpson Trial,Consequences of third-person perception in support of press restrictions in the OJ Simpson trial,10.1111/j.1460-2466.1997.tb02706.x,1997,"https://scholar.google.com/scholar?cites=7819555942600065754&as_sdt=5,50&sciodt=0,50&hl=en",184
New Reporting and the Ideological Presumption,New reporting and the ideological presumption,10.1111/j.1460-2466.1997.tb02707.x,1997,"https://scholar.google.com/scholar?cites=519179828956073308&as_sdt=5,50&sciodt=0,50&hl=en",37
Determinants of National Media Attention,Determinants of national media attention,10.1111/j.1460-2466.1997.tb02708.x,1997,"https://scholar.google.com/scholar?cites=14940830622399472891&as_sdt=5,50&sciodt=0,50&hl=en",18
Contrasting Attributes of Preventive Health Innovations,Contrasting attributes of preventive health innovations,10.1111/j.1460-2466.1997.tb02709.x,1997,"https://scholar.google.com/scholar?cites=13677617590044837511&as_sdt=5,50&sciodt=0,50&hl=en",118
Hate Speech and Its Harms: A Communication Theory Perspective,Hate speech and its harms: A communication theory perspective,10.1111/j.1460-2466.1997.tb02690.x,1997,"https://scholar.google.com/scholar?cites=9023622037407011973&as_sdt=5,50&sciodt=0,50&hl=en",139
Using Humorous Programs as a Vehicle for Humorous Commercials,Using humorous programs as a vehicle for humorous commercials,10.1111/j.1460-2466.1997.tb02691.x,1997,"https://scholar.google.com/scholar?cites=18331481215245285853&as_sdt=5,50&sciodt=0,50&hl=en",106
The Relationship Between Media Consumption and Eating Disorders,The relationship between media consumption and eating disorders,10.1111/j.1460-2466.1997.tb02692.x,1997,"https://scholar.google.com/scholar?cites=7694586431692581167&as_sdt=5,50&sciodt=0,50&hl=en",1241
Does Hollywood Hate Business or Money?,Does Hollywood hate business or money?,10.1111/j.1460-2466.1997.tb02693.x,1997,"https://scholar.google.com/scholar?cites=8822137113023836706&as_sdt=5,50&sciodt=0,50&hl=en",23
"Patriarchy, Mediated Desire, and Chinese Magazine Fiction","Patriarchy, mediated desire, and Chinese magazine fiction",10.1111/j.1460-2466.1997.tb02694.x,1997,"https://scholar.google.com/scholar?cites=1247189680586460952&as_sdt=5,50&sciodt=0,50&hl=en",31
Dynamic Social Impact: The Creation of Culture by Communication,[PDF] Dynamic social impact: The creation of culture by communication,10.1111/j.1460-2466.1996.tb01501.x,1996,"https://scholar.google.com/scholar?cites=4440543275382196071&as_sdt=5,50&sciodt=0,50&hl=en",653
The Intersubjective Geometry of Social Space,The intersubjective geometry of social space.,10.1111/j.1460-2466.1996.tb01502.x,1996,"https://scholar.google.com/scholar?cites=6171543741772493208&as_sdt=5,50&sciodt=0,50&hl=en",92
Experimental Evidence for Dynamic Social Impact: The Emergence of Subcultures in Electronic Groups,Experimental evidence for dynamic social impact: The emergence of subcultures in electronic groups.,10.1111/j.1460-2466.1996.tb01503.x,1996,"https://scholar.google.com/scholar?cites=7017807318806757561&as_sdt=5,50&sciodt=0,50&hl=en",149
A Cognitive-Social Theory of Public Opinion: Dynamic Social Impact and Cognitive Structure,A cognitive-social theory of public opinion: Dynamic social impact and cognitive structure.,10.1111/j.1460-2466.1996.tb01504.x,1996,"https://scholar.google.com/scholar?cites=2890678168055483502&as_sdt=5,50&sciodt=0,50&hl=en",44
Social Representations as Dynamic Social Impact,Social Representations as Dynamic Social Impact.,10.1111/j.1460-2466.1996.tb01505.x,1996,"https://scholar.google.com/scholar?cites=3178781797345216422&as_sdt=5,50&sciodt=0,50&hl=en",44
Dynamic Social Impact and the Evolution of Social Representations: A Natural History of Stereotypes,[PDF] Dynamic social impact and the evolution of social representations: A natural history of stereotypes,10.1111/j.1460-2466.1996.tb01506.x,1996,"https://scholar.google.com/scholar?cites=6472677363181220542&as_sdt=5,50&sciodt=0,50&hl=en",100
Winners of the First 1960 Televised Presidential Debate Between Kennedy and Nixon,Winners of the first 1960 televised presidential debate between Kennedy and Nixon,10.1111/j.1460-2466.1996.tb01507.x,1996,"https://scholar.google.com/scholar?cites=12732895818542921290&as_sdt=5,50&sciodt=0,50&hl=en",89
Media Coverage of Political Issues and the Framing of Personal Concerns,Media coverage of political issues and the framing of personal concerns,10.1111/j.1460-2466.1996.tb01508.x,1996,"https://scholar.google.com/scholar?cites=1592456223450233848&as_sdt=5,50&sciodt=0,50&hl=en",57
Considering Policies to Protect Children from TV Violence,Considering policies to protect children from TV violence,10.1111/j.1460-2466.1996.tb01509.x,1996,"https://scholar.google.com/scholar?cites=8621900399915525301&as_sdt=5,50&sciodt=0,50&hl=en",42
Children's Fright Reactions to Television News,Children's fright reactions to television news,10.1111/j.1460-2466.1996.tb01510.x,1996,"https://scholar.google.com/scholar?cites=15508822364677206943&as_sdt=5,50&sciodt=0,50&hl=en",240
Soap Operas and Sexual Activity: A Decade Later,Soap operas and sexual activity: A decade later.,10.1111/j.1460-2466.1996.tb01511.x,1996,"https://scholar.google.com/scholar?cites=17421494605669873237&as_sdt=5,50&sciodt=0,50&hl=en",119
"Sexually Explicit Media, Gender Differences, and Evolutionary Theory","[PDF] Sexually explicit media, gender differences and evolutionary theory",10.1111/j.1460-2466.1996.tb01486.x,1996,"https://scholar.google.com/scholar?cites=11052910140319134182&as_sdt=5,50&sciodt=0,50&hl=en",282
Hardwired for News: Using Biological and Cultural Evolution to Explain the Surveillance Function,Hardwired for news: Using biological and cultural evolution to explain the surveillance function.,10.1111/j.1460-2466.1996.tb01487.x,1996,"https://scholar.google.com/scholar?cites=9584260636362392735&as_sdt=5,50&sciodt=0,50&hl=en",603
Emotion and Cognition in Political Information-Processing,Emotion and cognition in political information-processing.,10.1111/j.1460-2466.1996.tb01488.x,1996,"https://scholar.google.com/scholar?cites=9312502016895122192&as_sdt=5,50&sciodt=0,50&hl=en",64
A Bio-Informational Theory of Emotion: Motion and Image Size Effects on Viewers,A bio-informational theory of emotion: Motion and image size effects on viewers.,10.1111/j.1460-2466.1996.tb01489.x,1996,"https://scholar.google.com/scholar?cites=9226228390881464364&as_sdt=5,50&sciodt=0,50&hl=en",339
"On Cynicism, Evil, and the Discovery of Communication in the 1940s","On Cynicism, Evil, and the Discovery of Communication in the 1940s.",10.1111/j.1460-2466.1996.tb01491.x,1996,"https://scholar.google.com/scholar?cites=13934083865056977109&as_sdt=5,50&sciodt=0,50&hl=en",52
The Uncanniness of Mass Communication in Interwar Social Thought,The uncanniness of mass communication in interwar social thought.,10.1111/j.1460-2466.1996.tb01492.x,1996,"https://scholar.google.com/scholar?cites=1816504001353835691&as_sdt=5,50&sciodt=0,50&hl=en",39
"Communication Research, the Rockefeller Foundation, and Mobilization for the War on Words, 1938–1944","Communication Research, the Rockefeller Foundation, and Mobilization for the War on Words, 1938-1944.",10.1111/j.1460-2466.1996.tb01493.x,1996,"https://scholar.google.com/scholar?cites=9583614979526687218&as_sdt=5,50&sciodt=0,50&hl=en",87
Elisabeth Noelle-Neumann's “Spiral of Silence” and the Historical Context of Communication Theory,Elisabeth Noelle‐Neumann's “spiral of silence” and the historical context of communication theory,10.1111/j.1460-2466.1996.tb01494.x,1996,"https://scholar.google.com/scholar?cites=6389016547240974071&as_sdt=5,50&sciodt=0,50&hl=en",82
The CD-ROM Novel Myst and McLuhan's Fourth Law of Media: Myst and Its “Retrievals”,The CD‐ROM Novel Myst and McLuhan's Fourth Law of Media Myst and Its “Retrievals”,10.1111/j.1460-2466.1996.tb01471.x,1996,"https://scholar.google.com/scholar?cites=2771080049719160597&as_sdt=5,50&sciodt=0,50&hl=en",36
Playing Violent Video and Computer Games and Adolescent Self-Concept,Playing violent video and computer games and adolescent self-concept,10.1111/j.1460-2466.1996.tb01472.x,1996,"https://scholar.google.com/scholar?cites=6481929036692156292&as_sdt=5,50&sciodt=0,50&hl=en",425
Populistic Deliberation and Talk Radio,Populistic deliberation and talk radio,10.1111/j.1460-2466.1996.tb01473.x,1996,"https://scholar.google.com/scholar?cites=8844464249094959311&as_sdt=5,50&sciodt=0,50&hl=en",92
Modeling Patterns of News Recognition and Recall,Modeling patterns of news recognition and recall,10.1111/j.1460-2466.1996.tb01474.x,1996,"https://scholar.google.com/scholar?cites=9114487899526054924&as_sdt=5,50&sciodt=0,50&hl=en",139
Rethinking the Focus Group in Media and Communications Research,Rethinking the focus group in media and communications research,10.1111/j.1460-2466.1996.tb01475.x,1996,"https://scholar.google.com/scholar?cites=9335853967227585527&as_sdt=5,50&sciodt=0,50&hl=en",1021
Experience Sampling Method Applications to Communication Research Questions,Experience sampling method applications to communication research questions,10.1111/j.1460-2466.1996.tb01476.x,1996,"https://scholar.google.com/scholar?cites=8497586326976491296&as_sdt=5,50&sciodt=0,50&hl=en",220
Technology and Roles: A Tale of Two TVs,Technology and Roles: A Tale of Two TVs.,10.1111/j.1460-2466.1996.tb01477.x,1996,"https://scholar.google.com/scholar?cites=13958846806767193913&as_sdt=5,50&sciodt=0,50&hl=en",111
News Media Use and the Informed Public: A 1990s Update,News media use and the informed public: A 1990s update.,10.1111/j.1460-2466.1996.tb01478.x,1996,"https://scholar.google.com/scholar?cites=9486835094252089547&as_sdt=5,50&sciodt=0,50&hl=en",198
Units of Analysis for Internet Communication,Units of analysis for Internet communication,10.1111/j.1460-2466.1996.tb01459.x,1996,"https://scholar.google.com/scholar?cites=1411837962931642161&as_sdt=5,50&sciodt=0,50&hl=en",605
The Internet as Mass Medium,The Internet as mass medium,10.1111/j.1460-2466.1996.tb01460.x,1996,"https://scholar.google.com/scholar?cites=12247624361052857008&as_sdt=5,50&sciodt=0,50&hl=en",2095
The Art Site on the World Wide Web,The art site on the World Wide Web,10.1111/j.1460-2466.1996.tb01461.x,1996,"https://scholar.google.com/scholar?cites=12563152934352213245&as_sdt=5,50&sciodt=0,50&hl=en",61
Making Friends in Cyberspace,Making friends in cyberspace,10.1111/j.1460-2466.1996.tb01462.x,1996,"https://scholar.google.com/scholar?cites=12039346837692403063&as_sdt=5,50&sciodt=0,50&hl=en",2825
The Internet and U. S. Communication Policy-Making in Historical and Critical Perspective,The internet and US communication policy-making in historical and critical perspective.,10.1111/j.1460-2466.1996.tb01463.x,1996,"https://scholar.google.com/scholar?cites=9968802015027396555&as_sdt=5,50&sciodt=0,50&hl=en",318
Commercial Radio as Communication,Commercial radio as communication,10.1111/j.1460-2466.1996.tb01464.x,1996,"https://scholar.google.com/scholar?cites=10183504701108884728&as_sdt=5,50&sciodt=0,50&hl=en",68
Television Use in a Retirement Community,Television use in a retirement community,10.1111/j.1460-2466.1996.tb01465.x,1996,"https://scholar.google.com/scholar?cites=16331441101268018802&as_sdt=5,50&sciodt=0,50&hl=en",26
Horizons of the State: Information Policy and Power,Horizons of the State: Information Policy and Power.,10.1111/j.1460-2466.1995.tb00752.x,1995,"https://scholar.google.com/scholar?cites=9081441781634095860&as_sdt=5,50&sciodt=0,50&hl=en",83
The Decline of the License Raj: Indian Software Export Policies,The decline of the License Raj: Indian software export policies,10.1111/j.1460-2466.1995.tb00753.x,1995,"https://scholar.google.com/scholar?cites=5147202998930015155&as_sdt=5,50&sciodt=0,50&hl=en",32
State Intervention and Telecommunications in Mexico,State Intervention and Telecommunications in Mexico.,10.1111/j.1460-2466.1995.tb00754.x,1995,"https://scholar.google.com/scholar?cites=16796726898320244920&as_sdt=5,50&sciodt=0,50&hl=en",14
"Communications, Corporatism, and Dependent Development in Ireland","Communications, Corporatism, and Dependent Development in Ireland.",10.1111/j.1460-2466.1995.tb00755.x,1995,"https://scholar.google.com/scholar?cites=6551650811583532852&as_sdt=5,50&sciodt=0,50&hl=en",28
Transnational Communications and the Dependent-Integrated State,Transnational Communications and the Dependent-Integrated State.,10.1111/j.1460-2466.1995.tb00756.x,1995,"https://scholar.google.com/scholar?cites=8315094265046822602&as_sdt=5,50&sciodt=0,50&hl=en",18
State Consolidation through Liberalization of Telecommunications Services in India,State Consolidation through Liberalization of Telecommunications Services in India.,10.1111/j.1460-2466.1995.tb00757.x,1995,"https://scholar.google.com/scholar?cites=3820378411874352889&as_sdt=5,50&sciodt=0,50&hl=en",48
Media Within and Without the State: Press Freedom in Eastern Europe,Media within and without the state: Press freedom in Eastern Europe,10.1111/j.1460-2466.1995.tb00758.x,1995,"https://scholar.google.com/scholar?cites=509180315393317334&as_sdt=5,50&sciodt=0,50&hl=en",80
The Survival of the State in British Broadcasting,The Survival of the State in British Broadcasting.,10.1111/j.1460-2466.1995.tb00759.x,1995,"https://scholar.google.com/scholar?cites=8532670756630251996&as_sdt=5,50&sciodt=0,50&hl=en",23
For a Phenomenology of Radio and Television,For a phenomenology of radio and television,10.1111/j.1460-2466.1995.tb00741.x,1995,"https://scholar.google.com/scholar?cites=1460990498131941334&as_sdt=5,50&sciodt=0,50&hl=en",110
News Icons and the Mainstreaming of Social Change,News icons and the mainstreaming of social change,10.1111/j.1460-2466.1995.tb00742.x,1995,"https://scholar.google.com/scholar?cites=16294954951723915262&as_sdt=5,50&sciodt=0,50&hl=en",203
The Social Construction of the Personal Computer User,The social construction of the personal computer user,10.1111/j.1460-2466.1995.tb00743.x,1995,"https://scholar.google.com/scholar?cites=14269285576983941646&as_sdt=5,50&sciodt=0,50&hl=en",171
"Reading the Newspaper: Strategies and Politics of Reader Response, Chicago, 1912–1917","Reading the newspaper: Strategies and politics of reader response, Chicago, 1912–1917",10.1111/j.1460-2466.1995.tb00744.x,1995,"https://scholar.google.com/scholar?cites=11465367585271726955&as_sdt=5,50&sciodt=0,50&hl=en",65
Measuring the Extent of Prejudicial Pretrial Publicity in Major American Newspapers: A Content Analysis,Measuring the extent of prejudicial pretrial publicity in major American newspapers: A content analysis,10.1111/j.1460-2466.1995.tb00745.x,1995,"https://scholar.google.com/scholar?cites=10381771613036662913&as_sdt=5,50&sciodt=0,50&hl=en",102
"Defining Moments, Presidential Debates, and the Dynamics of Quotability","Defining moments, presidential debates, and the dynamics of quotability",10.1111/j.1460-2466.1995.tb00746.x,1995,"https://scholar.google.com/scholar?cites=10597188176084846801&as_sdt=5,50&sciodt=0,50&hl=en",140
The Biosocial Perspective and Environmental Communication Research,The biosocial perspective and environmental communication research,10.1111/j.1460-2466.1995.tb00747.x,1995,"https://scholar.google.com/scholar?cites=9532563615181902663&as_sdt=5,50&sciodt=0,50&hl=en",26
nightly@nbc.com: Audience Scope and the Perception of Interactivity in Viewer Mail on the Internet,Nightly@ nbc. com: Audience scope and the perception of interactivity in viewer mail on the Internet,10.1111/j.1460-2466.1995.tb00748.x,1995,"https://scholar.google.com/scholar?cites=10985409923388529318&as_sdt=5,50&sciodt=0,50&hl=en",346
"Visual Mapping and Cultural Authority: Design Changes in U.S. Newspapers, 1920–1940","[PDF] Visual mapping and cultural authority: design changes in US newspapers, 1920–1940",10.1111/j.1460-2466.1995.tb00726.x,1995,"https://scholar.google.com/scholar?cites=6658311268124363510&as_sdt=5,50&sciodt=0,50&hl=en",55
Image/Music/Voice: Song Dubbing in Hollywood Musicals,Image/Music/Voice: Song Dubbing in Hollywood Musicals.,10.1111/j.1460-2466.1995.tb00727.x,1995,"https://scholar.google.com/scholar?cites=282039723990282506&as_sdt=5,50&sciodt=0,50&hl=en",42
White Racism/Black Signs: Censorship and Images of Race Relations,White Racism/Black Signs: Censorship and Images of Race Relations.,10.1111/j.1460-2466.1995.tb00728.x,1995,"https://scholar.google.com/scholar?cites=923503642686906042&as_sdt=5,50&sciodt=0,50&hl=en",17
Journalism's “Last” Stand: Wirephoto and the Discourse of Resistance,"Journalism's"" Last"" Stand: Wirephoto and the Discourse of Resistance.",10.1111/j.1460-2466.1995.tb00729.x,1995,"https://scholar.google.com/scholar?cites=3334584875619423467&as_sdt=5,50&sciodt=0,50&hl=en",93
Inverting Images of the 40s: The Berlin Wall and Collective Amnesia,Inverting images of the 40s: The Berlin wall and collective amnesia,10.1111/j.1460-2466.1995.tb00730.x,1995,"https://scholar.google.com/scholar?cites=13343311191330268428&as_sdt=5,50&sciodt=0,50&hl=en",17
A Guard Dog Perspective on the Role of Media,A guard dog perspective on the role of media,10.1111/j.1460-2466.1995.tb00732.x,1995,"https://scholar.google.com/scholar?cites=1463538502400064808&as_sdt=5,50&sciodt=0,50&hl=en",455
"Race, Risk and Responsibility: Editorial Constraint in the Framing of Inequality","Race, risk and responsibility: Editorial constraint in the framing of inequality",10.1111/j.1460-2466.1995.tb00733.x,1995,"https://scholar.google.com/scholar?cites=16055809974013172059&as_sdt=5,50&sciodt=0,50&hl=en",70
Literacy and Reading in a Multimedia Environment,Literacy and reading in a multimedia environment,10.1111/j.1460-2466.1995.tb00734.x,1995,"https://scholar.google.com/scholar?cites=8563517947683595719&as_sdt=5,50&sciodt=0,50&hl=en",49
Exposure to Pornography and Acceptance of Rape Myths,Exposure to pornography and acceptance of rape myths,10.1111/j.1460-2466.1995.tb00711.x,1995,"https://scholar.google.com/scholar?cites=2352661625285454073&as_sdt=5,50&sciodt=0,50&hl=en",374
Overrating the X-Rating: The Third-Person Perception and Support for Censorship of Pornography,Overrating the X‐rating: The third‐person perception and support for censorship of pornography,10.1111/j.1460-2466.1995.tb00712.x,1995,"https://scholar.google.com/scholar?cites=666505408517779882&as_sdt=5,50&sciodt=0,50&hl=en",538
"Information Equity, Public Understanding of Science, and the Biotechnology Debate","Information equity, public understanding of science, and the biotechnology debate",10.1111/j.1460-2466.1995.tb00713.x,1995,"https://scholar.google.com/scholar?cites=9549607006623914227&as_sdt=5,50&sciodt=0,50&hl=en",146
Public Communication About the Causes of Disease: The Rhetoric of Responsibility,Public communication about the causes of disease: The rhetoric of responsibility,10.1111/j.1460-2466.1995.tb00714.x,1995,"https://scholar.google.com/scholar?cites=10252360936728713817&as_sdt=5,50&sciodt=0,50&hl=en",72
Delineating Grazing: Observations of Remote Control Use,Delineating grazing: Observations of remote control use,10.1111/j.1460-2466.1995.tb00715.x,1995,"https://scholar.google.com/scholar?cites=8595214819633212426&as_sdt=5,50&sciodt=0,50&hl=en",90
Zapping in the Holy Land: Coping With Multi-Channel TV in Israel,Zapping in the Holy Land: Coping with multi-channel TV in Israel,10.1111/j.1460-2466.1995.tb00716.x,1995,"https://scholar.google.com/scholar?cites=10605571954692519517&as_sdt=5,50&sciodt=0,50&hl=en",40
Fear Appeals and the Formation of Active Publics,Fear appeals and the formation of active publics,10.1111/j.1460-2466.1995.tb00717.x,1995,"https://scholar.google.com/scholar?cites=7629322603507296051&as_sdt=5,50&sciodt=0,50&hl=en",133
Influence of Communication Modalities on Voters' Perceptions of Candidates During Presidential Primary Campaigns,Influence of communication modalities on voters' perceptions of candidates during presidential primary campaigns,10.1111/j.1460-2466.1995.tb00718.x,1995,"https://scholar.google.com/scholar?cites=7542044033403481490&as_sdt=5,50&sciodt=0,50&hl=en",34
The Foundations of Telegraphy and Telephony in Latin America,The Foundations of Telegraphy and Telephony in Latin America.,10.1111/j.1460-2466.1994.tb00696.x,1994,"https://scholar.google.com/scholar?cites=11661674771614410464&as_sdt=5,50&sciodt=0,50&hl=en",12
Media Monopoly in Brazil,[CITATION] Media monopoly in Brazil,10.1111/j.1460-2466.1994.tb00697.x,1994,"https://scholar.google.com/scholar?cites=6137802224573756144&as_sdt=5,50&sciodt=0,50&hl=en",121
Media Dependency and Political Perceptions in an Authoritarian Political System,Media dependency and political perceptions in the authoritarian political system.,10.1111/j.1460-2466.1994.tb00698.x,1994,"https://scholar.google.com/scholar?cites=16248584957230467681&as_sdt=5,50&sciodt=0,50&hl=en",80
Theory and Practice in Latin American Alternative Communication Research,Theory and Practice in Latin American Alternative Communication Research.,10.1111/j.1460-2466.1994.tb00699.x,1994,"https://scholar.google.com/scholar?cites=17002748660310429495&as_sdt=5,50&sciodt=0,50&hl=en",117
Pulp Pulpits: Self-Disclosure on “Donahue”,Pulp pulpits: Self-disclosure on “Donahue”,10.1111/j.1460-2466.1994.tb00700.x,1994,"https://scholar.google.com/scholar?cites=7451403750993768030&as_sdt=5,50&sciodt=0,50&hl=en",44
Critical Viewing and Participatory Democracy,Critical viewing and participatory democracy,10.1111/j.1460-2466.1994.tb00701.x,1994,"https://scholar.google.com/scholar?cites=3983815622387515110&as_sdt=5,50&sciodt=0,50&hl=en",24
Sociopolitical Consequences of Organizational Expression,Sociopolitical consequences of organizational expression,10.1111/j.1460-2466.1994.tb00702.x,1994,"https://scholar.google.com/scholar?cites=7887724462743447585&as_sdt=5,50&sciodt=0,50&hl=en",42
Interpreting Visual Versus Audio Messages in Television News,Interpreting visual versus audio messages in television news,10.1111/j.1460-2466.1994.tb00703.x,1994,"https://scholar.google.com/scholar?cites=326152832780213261&as_sdt=5,50&sciodt=0,50&hl=en",121
Continuity and Change in China's Media Reform,Continuity and change in China's media reform,10.1111/j.1460-2466.1994.tb00685.x,1994,"https://scholar.google.com/scholar?cites=748708284456206373&as_sdt=5,50&sciodt=0,50&hl=en",184
Mass Communication and National Development in China: Media Roles Reconsidered,Mass communication and national development in China: Media roles reconsidered,10.1111/j.1460-2466.1994.tb00686.x,1994,"https://scholar.google.com/scholar?cites=17273712238638022454&as_sdt=5,50&sciodt=0,50&hl=en",98
Debates Contribute to the Development of the Journalistic Science,Debates contribute to the development of the journalistic science,10.1111/j.1460-2466.1994.tb00687.x,1994,"https://scholar.google.com/scholar?cites=365176620178561183&as_sdt=5,50&sciodt=0,50&hl=en",42
News as Social Knowledge in China: The Changing Worldview of Chinese National Media,News as social knowledge in China: The changing worldview of Chinese national media,10.1111/j.1460-2466.1994.tb00688.x,1994,"https://scholar.google.com/scholar?cites=6099975962836599973&as_sdt=5,50&sciodt=0,50&hl=en",125
Media Internationalization in China: Processes and Tensions,Media internationalization in China: Processes and tensions,10.1111/j.1460-2466.1994.tb00689.x,1994,"https://scholar.google.com/scholar?cites=7469743591471039513&as_sdt=5,50&sciodt=0,50&hl=en",141
