category,issueURL,TO_EXCLUDE
"Symposium Communication, Culture, and Identity",https://academic.oup.com/joc/issue/43/2?browseBy=volume,FALSE
Symposium: Agenda Setting Revisited,https://academic.oup.com/joc/issue/43/2?browseBy=volume,FALSE
Research Article,https://academic.oup.com/joc/issue/42/3?browseBy=volume,FALSE
Books in Brief,https://academic.oup.com/joc/issue/42/2?browseBy=volume,TRUE
"Symposium: Communication Theory, Mathematical Models, and Social Policy",https://academic.oup.com/joc/issue/43/1?browseBy=volume,FALSE
Symposium: Virtual Reality: A Communication Perspective,https://academic.oup.com/joc/issue/42/4?browseBy=volume,FALSE
Symposium: Journalism in Crisis and Change,https://academic.oup.com/joc/issue/42/3?browseBy=volume,FALSE
Symposium: Television News and Its Dis-Contents,https://academic.oup.com/joc/issue/42/2?browseBy=volume,FALSE
Symposium: Communication Scholarship and Political Correctness,https://academic.oup.com/joc/issue/42/2?browseBy=volume,FALSE
Symposium: Making and Remaking Communications Policy,https://academic.oup.com/joc/issue/42/1?browseBy=volume,FALSE
Books,https://academic.oup.com/joc/issue/26/2?browseBy=volume,TRUE
Intercom,https://academic.oup.com/joc/issue/25/1?browseBy=volume,FALSE
Of Cultural Import,https://academic.oup.com/joc/issue/41/1?browseBy=volume,FALSE
Colloquy,https://academic.oup.com/hcr/issue/25/3?browseBy=volume,FALSE
Science and the News,https://academic.oup.com/joc/issue/40/4?browseBy=volume,FALSE
Reviewe,https://academic.oup.com/joc/issue/40/1?browseBy=volume,TRUE
Local Radio,https://academic.oup.com/joc/issue/40/1?browseBy=volume,FALSE
The social Distribution of the New Technologies,https://academic.oup.com/joc/issue/39/3?browseBy=volume,FALSE
Obstacles to Information Equity,https://academic.oup.com/joc/issue/39/3?browseBy=volume,FALSE
Technological Alternatives to Information Inequity,https://academic.oup.com/joc/issue/39/3?browseBy=volume,FALSE
The Social Construction of Information Poverty,https://academic.oup.com/joc/issue/39/3?browseBy=volume,FALSE
War in Peace: Public Discourse in the Nuclear Age,https://academic.oup.com/joc/issue/39/1?browseBy=volume,FALSE
In Appreciation,https://academic.oup.com/joc/issue/38/4?browseBy=volume,TRUE
Government—Media—Audiences,https://academic.oup.com/joc/issue/38/3?browseBy=volume,FALSE
Sodal Science and Pornography,https://academic.oup.com/joc/issue/38/2?browseBy=volume,FALSE
International Telecommunications: What Price Policy?,https://academic.oup.com/joc/issue/38/1?browseBy=volume,FALSE
Communicating Risk: The Media and the Public,https://academic.oup.com/joc/issue/37/3?browseBy=volume,FALSE
Books Received,https://academic.oup.com/joc/issue/19/1?browseBy=volume,TRUE
Briefly noted,https://academic.oup.com/joc/issue/31/1?browseBy=volume,TRUE
The New Telecommunications Marketplace,https://academic.oup.com/joc/issue/37/1?browseBy=volume,FALSE
Review,https://academic.oup.com/joc/issue/36/4?browseBy=volume,TRUE
intercom,https://academic.oup.com/joc/issue/29/1?browseBy=volume,FALSE
The Television Audience,https://academic.oup.com/joc/issue/36/3?browseBy=volume,FALSE
Testing Geographical Bias in International News,https://academic.oup.com/joc/issue/36/2?browseBy=volume,FALSE
Music Videos,https://academic.oup.com/joc/issue/36/1?browseBy=volume,FALSE
Homo Narrans,https://academic.oup.com/joc/issue/34/1?browseBy=volume,FALSE
The Marketplace of Ideas Revisited,https://academic.oup.com/joc/issue/35/3?browseBy=volume,FALSE
Book review ethics,https://academic.oup.com/joc/issue/35/3?browseBy=volume,TRUE
Telecommunications Development: The U.S. Effort,https://academic.oup.com/joc/issue/35/2?browseBy=volume,FALSE
The Mediated Ministry,https://academic.oup.com/joc/issue/35/1?browseBy=volume,FALSE
Studies on Sex and Violence,https://academic.oup.com/joc/issue/34/3?browseBy=volume,FALSE
Media Effects on the Young,https://academic.oup.com/joc/issue/34/2?browseBy=volume,FALSE
Book Received,https://academic.oup.com/joc/issue/19/2?browseBy=volume,TRUE
Media Fantasies,https://academic.oup.com/joc/issue/33/1?browseBy=volume,FALSE
"Computers, Education, and Public Policy",https://academic.oup.com/joc/issue/33/1?browseBy=volume,FALSE
The “New Technology”,https://academic.oup.com/joc/issue/32/4?browseBy=volume,FALSE
IPDC in Mexico: U.S.-UNESCO Turning Point?,https://academic.oup.com/joc/issue/32/3?browseBy=volume,FALSE
Marriage and the Family,https://academic.oup.com/joc/issue/32/3?browseBy=volume,FALSE
Mariage and the Family,https://academic.oup.com/joc/issue/32/3?browseBy=volume,FALSE
Dramatic Functions of Press Coverage,https://academic.oup.com/joc/issue/32/2?browseBy=volume,FALSE
Essay Review,https://academic.oup.com/joc/issue/29/2?browseBy=volume,TRUE
Inside China: Communications after the Cultural Revolution,https://academic.oup.com/joc/issue/31/4?browseBy=volume,FALSE
"The Press, the U.S., and UNESCO",https://academic.oup.com/joc/issue/31/4?browseBy=volume,FALSE
Daytime Serial Drama: The Continuing Story,https://academic.oup.com/joc/issue/31/3?browseBy=volume,FALSE
The Living McLuhan,https://academic.oup.com/joc/issue/31/3?browseBy=volume,FALSE
"Science: News, Controversy, Drama",https://academic.oup.com/joc/issue/31/2?browseBy=volume,FALSE
Measuring Media Influence,https://academic.oup.com/joc/issue/31/1?browseBy=volume,FALSE
The Information Society,https://academic.oup.com/joc/issue/31/1?browseBy=volume,FALSE
Media Politics,https://academic.oup.com/joc/issue/30/4?browseBy=volume,FALSE
Critical TV Viewing,https://academic.oup.com/joc/issue/30/3?browseBy=volume,FALSE
Public Broadcasting,https://academic.oup.com/joc/issue/30/3?browseBy=volume,FALSE
Public Broadcasting: A Bibliography,https://academic.oup.com/joc/issue/30/3?browseBy=volume,FALSE
Economic Trends in the Print Industry,https://academic.oup.com/joc/issue/30/2?browseBy=volume,FALSE
Strategies of Deception,https://academic.oup.com/joc/issue/30/2?browseBy=volume,FALSE
Satellite Broadcasting and Communications Policy,https://academic.oup.com/joc/issue/30/2?browseBy=volume,FALSE
Growing Older: Perceptions and Representations,https://academic.oup.com/joc/issue/30/1?browseBy=volume,FALSE
Literacy and the Future of Print,https://academic.oup.com/joc/issue/30/1?browseBy=volume,FALSE
Daytime Serial Drama,https://academic.oup.com/joc/issue/29/4?browseBy=volume,FALSE
Satellites for Rural Development,https://academic.oup.com/joc/issue/29/4?browseBy=volume,FALSE
The Social Meanings of Art,https://academic.oup.com/joc/issue/29/4?browseBy=volume,FALSE
Communication and Tradition in Revolutions,https://academic.oup.com/joc/issue/29/3?browseBy=volume,FALSE
Transborder Data Flow: New Frontiers—Or None?,https://academic.oup.com/joc/issue/29/3?browseBy=volume,FALSE
Growing Up With Television,https://academic.oup.com/joc/issue/29/3?browseBy=volume,FALSE
The Politics of Language,https://academic.oup.com/joc/issue/29/2?browseBy=volume,FALSE
Third World News and Views,https://academic.oup.com/joc/issue/29/2?browseBy=volume,FALSE
UNESCO's Mass Media Declaration: A Forum of Three Worlds,https://academic.oup.com/joc/issue/29/2?browseBy=volume,FALSE
Ethnic Studies in Black and White,https://academic.oup.com/joc/issue/29/1?browseBy=volume,FALSE
The U.S. Faces WARC,https://academic.oup.com/joc/issue/29/1?browseBy=volume,FALSE
Covering the Political Campaign,https://academic.oup.com/joc/issue/28/4?browseBy=volume,FALSE
World Communication,https://academic.oup.com/joc/issue/28/4?browseBy=volume,FALSE
Western European Broadcasting in Transition,https://academic.oup.com/joc/issue/28/3?browseBy=volume,FALSE
Teleconferencing,https://academic.oup.com/joc/issue/28/3?browseBy=volume,FALSE
Violence on the Screen,https://academic.oup.com/joc/issue/28/3?browseBy=volume,FALSE
Diversity in Broadcasting,https://academic.oup.com/joc/issue/28/2?browseBy=volume,FALSE
Social Research on Broadcasting,https://academic.oup.com/joc/issue/28/2?browseBy=volume,FALSE
Experiments in Interactive Cable TV,https://academic.oup.com/joc/issue/28/2?browseBy=volume,FALSE
New Approaches to Development,https://academic.oup.com/joc/issue/28/1?browseBy=volume,FALSE
The Development Set,https://academic.oup.com/joc/issue/28/1?browseBy=volume,FALSE
Can People Affect Television?,https://academic.oup.com/joc/issue/28/1?browseBy=volume,FALSE
Communication in Organizations,https://academic.oup.com/joc/issue/28/1?browseBy=volume,FALSE
What Does “She” Mean?,https://academic.oup.com/joc/issue/28/1?browseBy=volume,FALSE
What Does ‘She’ Mean?,https://academic.oup.com/joc/issue/28/1?browseBy=volume,FALSE
TV News,https://academic.oup.com/joc/issue/27/4?browseBy=volume,FALSE
The Far North,https://academic.oup.com/joc/issue/27/4?browseBy=volume,FALSE
CB in Perspective,https://academic.oup.com/joc/issue/27/3?browseBy=volume,FALSE
Sports: The Medium is the Stadium,https://academic.oup.com/joc/issue/27/3?browseBy=volume,FALSE
"Sex, Violence, and the Rules of the Game",https://academic.oup.com/joc/issue/27/2?browseBy=volume,FALSE
Effects of Television,https://academic.oup.com/joc/issue/27/3?browseBy=volume,FALSE
Communication in Infancy and Early Childhood,https://academic.oup.com/joc/issue/27/2?browseBy=volume,FALSE
When Cultures Clash,https://academic.oup.com/joc/issue/27/2?browseBy=volume,FALSE
International News,https://academic.oup.com/joc/issue/27/1?browseBy=volume,FALSE
Citizen Action,https://academic.oup.com/joc/issue/27/1?browseBy=volume,FALSE
How TV Sells Children,https://academic.oup.com/joc/issue/27/1?browseBy=volume,FALSE
What IS News?,https://academic.oup.com/joc/issue/26/4?browseBy=volume,FALSE
Revolution,https://academic.oup.com/joc/issue/26/4?browseBy=volume,FALSE
The Rhetoric of Revolt,https://academic.oup.com/joc/issue/26/4?browseBy=volume,FALSE
Equality in Advertising,https://academic.oup.com/joc/issue/26/4?browseBy=volume,FALSE
Nonverbal Communication,https://academic.oup.com/joc/issue/26/3?browseBy=volume,FALSE
Fostering Creativity in Children,https://academic.oup.com/joc/issue/26/3?browseBy=volume,FALSE
The Historical Perspective,https://academic.oup.com/joc/issue/26/3?browseBy=volume,FALSE
Laughing Matter,https://academic.oup.com/joc/issue/26/3?browseBy=volume,FALSE
Colloque,https://academic.oup.com/joc/issue/26/3?browseBy=volume,FALSE
Setting the Political Agenda: Government by Media?,https://academic.oup.com/joc/issue/26/2?browseBy=volume,FALSE
Setting the Political Agenda,https://academic.oup.com/joc/issue/26/2?browseBy=volume,FALSE
Research on Television and the Young,https://academic.oup.com/joc/issue/26/2?browseBy=volume,FALSE
Sesame Street Around the World,https://academic.oup.com/joc/issue/26/2?browseBy=volume,FALSE
Explicit Sex—Liberation or Exploitation?,https://academic.oup.com/joc/issue/26/1?browseBy=volume,FALSE
After Thirty Years—Détente?,https://academic.oup.com/joc/issue/26/1?browseBy=volume,FALSE
Book Notes,https://academic.oup.com/joc/issue/26/1?browseBy=volume,TRUE
Media and Medicine,https://academic.oup.com/joc/issue/25/3?browseBy=volume,FALSE
Media Language,https://academic.oup.com/joc/issue/25/2?browseBy=volume,FALSE
Women in Detective Fiction,https://academic.oup.com/joc/issue/25/2?browseBy=volume,FALSE
Forms of Cultural Dependency,https://academic.oup.com/joc/issue/25/2?browseBy=volume,FALSE
Paranormal Communication,https://academic.oup.com/joc/issue/25/1?browseBy=volume,FALSE
colloquy,https://academic.oup.com/joc/issue/25/1?browseBy=volume,FALSE
New Books in Communications,https://academic.oup.com/joc/issue/24/1?browseBy=volume,FALSE
Book Review Section,https://academic.oup.com/joc/issue/18/2?browseBy=volume,TRUE
Editorial Note,https://academic.oup.com/ct/issue/3/2?browseBy=volume,TRUE
Special Book Review Section,https://academic.oup.com/joc/issue/22/4?browseBy=volume,FALSE
Notable Quotes,https://academic.oup.com/joc/issue/21/2?browseBy=volume,TRUE
From the Editor,https://academic.oup.com/joc/issue/18/1?browseBy=volume,TRUE
Issue Bibliography,https://academic.oup.com/joc/issue/18/3?browseBy=volume,TRUE
About the Authors,https://academic.oup.com/hcr/issue/1/1?browseBy=volume,TRUE
Book Reviews and Notes,https://academic.oup.com/joc/issue/9/2?browseBy=volume,TRUE
"Other Places, Other Times",https://academic.oup.com/joc/issue/14/3?browseBy=volume,FALSE
The Forum,https://academic.oup.com/joc/issue/9/1?browseBy=volume,FALSE
Guest Editorial,https://academic.oup.com/joc/issue/10/3?browseBy=volume,TRUE
News,https://academic.oup.com/joc/issue/4/1?browseBy=volume,FALSE
"We Go, but Too Slowly",https://academic.oup.com/joc/issue/9/4?browseBy=volume,FALSE
Publications Received,https://academic.oup.com/joc/issue/9/3?browseBy=volume,FALSE
Reports,https://academic.oup.com/joc/issue/7/4?browseBy=volume,FALSE
"Notes, Quotes, and Anecdotes",https://academic.oup.com/joc/issue/6/2?browseBy=volume,FALSE
Reviews,https://academic.oup.com/joc/issue/3/1?browseBy=volume,TRUE
news,https://academic.oup.com/joc/issue/6/1?browseBy=volume,FALSE
Postscripts and Queries,https://academic.oup.com/joc/issue/6/4?browseBy=volume,FALSE
The Logical Animal,https://academic.oup.com/joc/issue/6/3?browseBy=volume,FALSE
A Reply to Mr. Drum'S Reply,https://academic.oup.com/joc/issue/6/3?browseBy=volume,FALSE
The National Society for the Study of Communication,https://academic.oup.com/joc/issue/6/2?browseBy=volume,FALSE
Review Article,https://academic.oup.com/joc/issue/4/3?browseBy=volume,TRUE
Reports of Study and Research Committees,https://academic.oup.com/joc/issue/4/2?browseBy=volume,FALSE
Communication Problems at Mid-Century,https://academic.oup.com/joc/issue/1/1?browseBy=volume,FALSE
Original Research,https://academic.oup.com/hcr/issue/47/4?browseBy=volume,FALSE
Reviewer Acknowledgement,https://academic.oup.com/hcr/issue/48/2?browseBy=volume,TRUE
Replication Note,https://academic.oup.com/hcr/issue/48/1?browseBy=volume,TRUE
Empirical Note,https://academic.oup.com/hcr/issue/47/4?browseBy=volume,FALSE
Original article,https://academic.oup.com/hcr/issue/44/1?browseBy=volume,FALSE
Original Article,https://academic.oup.com/ccc/issue/9/1?browseBy=volume,FALSE
Call for Papers,https://academic.oup.com/ct/issue/13/4?browseBy=volume,FALSE
Editor’s Comment,https://academic.oup.com/hcr/issue/30/1?browseBy=volume,TRUE
Research note,https://academic.oup.com/hcr/issue/27/2?browseBy=volume,TRUE
Editor's comment,https://academic.oup.com/hcr/issue/27/1?browseBy=volume,TRUE
Editor's Foreword,https://academic.oup.com/hcr/issue/24/4?browseBy=volume,TRUE
Editors' Foreword,https://academic.oup.com/hcr/issue/24/3?browseBy=volume,TRUE
Colloquium: Assessing Conversational Cognitions,https://academic.oup.com/hcr/issue/18/4?browseBy=volume,FALSE
In Memoriam,https://academic.oup.com/hcr/issue/17/2?browseBy=volume,FALSE
Editor’s Note,https://academic.oup.com/hcr/issue/12/4?browseBy=volume,TRUE
Symposium on Mass and Interpersonal Communication,https://academic.oup.com/hcr/issue/15/2?browseBy=volume,FALSE
Colloquy on Item Desirability,https://academic.oup.com/hcr/issue/15/1?browseBy=volume,FALSE
Errata,https://academic.oup.com/jcmc/issue/24/4?browseBy=volume,TRUE
Note to Contributors,https://academic.oup.com/hcr/issue/12/3?browseBy=volume,TRUE
Editor's Comment,https://academic.oup.com/hcr/issue/10/1?browseBy=volume,TRUE
A Final Note from the Editor,https://academic.oup.com/hcr/issue/6/4?browseBy=volume,FALSE
Goals and Guidelines from the New Editor,https://academic.oup.com/hcr/issue/6/3?browseBy=volume,FALSE
A Note from the Editor,https://academic.oup.com/hcr/issue/4/3?browseBy=volume,TRUE
Book Review Essay,https://academic.oup.com/ct/issue/8/2?browseBy=volume,TRUE
Editor’s Foreword,https://academic.oup.com/hcr/issue/1/1?browseBy=volume,TRUE
Special Commentary Section,https://academic.oup.com/ct/issue/32/2?browseBy=volume,FALSE
Commentary,https://academic.oup.com/ct/issue/25/3?browseBy=volume,TRUE
ORIGINAL ARTICLE,https://academic.oup.com/jcmc/issue/23/1?browseBy=volume,FALSE
CORRIGENDUM,https://academic.oup.com/ct/issue/28/3?browseBy=volume,TRUE
ERRATUM,https://academic.oup.com/ct/issue/28/1?browseBy=volume,TRUE
BOOK REVIEWS,https://academic.oup.com/ct/issue/28/2?browseBy=volume,TRUE
Foreign Abstracts,https://academic.oup.com/ct/issue/17/2?browseBy=volume,TRUE
Special Issue Articles,https://academic.oup.com/ct/issue/17/1?browseBy=volume,FALSE
Regular Articles,https://academic.oup.com/ct/issue/17/1?browseBy=volume,FALSE
Call For Papers,https://academic.oup.com/ct/issue/16/1?browseBy=volume,TRUE
Postscript,https://academic.oup.com/ct/issue/12/3?browseBy=volume,FALSE
Guest Editor's Introduction,https://academic.oup.com/ct/issue/9/4?browseBy=volume,FALSE
On Masculinity,https://academic.oup.com/ct/issue/8/2?browseBy=volume,FALSE
FORUM,https://academic.oup.com/ct/issue/3/2?browseBy=volume,FALSE
The Complicity of Essentializing Difference,https://academic.oup.com/ct/issue/7/2?browseBy=volume,FALSE
BOOK REVIEW,https://academic.oup.com/ct/issue/7/2?browseBy=volume,TRUE
Is Media Research Prescientific?,https://academic.oup.com/ct/issue/5/3?browseBy=volume,FALSE
Compliance Gaining,https://academic.oup.com/ct/issue/4/1?browseBy=volume,FALSE
Comparative Theory,https://academic.oup.com/ct/issue/1/1?browseBy=volume,FALSE
Friendship Matters,https://academic.oup.com/ct/issue/3/2?browseBy=volume,FALSE
Announcement,https://academic.oup.com/ct/issue/3/1?browseBy=volume,TRUE
Specifying the ELM,https://academic.oup.com/ct/issue/3/1?browseBy=volume,FALSE
Social Approaches,https://academic.oup.com/ct/issue/2/2?browseBy=volume,FALSE
Critical Essay,https://academic.oup.com/ct/issue/2/3?browseBy=volume,FALSE
Brief Essay,https://academic.oup.com/ct/issue/1/4?browseBy=volume,FALSE
Poem,https://academic.oup.com/ct/issue/1/3?browseBy=volume,FALSE
Visible Audibles,https://academic.oup.com/ct/issue/1/1?browseBy=volume,FALSE
Full-length Research Articles,https://academic.oup.com/jcmc/issue/27/1?browseBy=volume,FALSE
Expression of Concern,https://academic.oup.com/jcmc/issue/27/1?browseBy=volume,TRUE
General Articles,https://academic.oup.com/jcmc/issue/25/3?browseBy=volume,FALSE
Digital Asymmetries in Transnational Communication,https://academic.oup.com/jcmc/issue/25/6?browseBy=volume,FALSE
Online Social Regulation,https://academic.oup.com/jcmc/issue/25/6?browseBy=volume,FALSE
Why We Don’t Click,https://academic.oup.com/jcmc/issue/25/6?browseBy=volume,FALSE
Reflecting on Connecting: Meta-Analysis of Differences between Computer-Mediated and Face-to-Face Self-Disclosure,https://academic.oup.com/jcmc/issue/22/1?browseBy=volume,FALSE
Explicating Affordances: a Conceptual Framework for Understanding Affordances in Communication Research,https://academic.oup.com/jcmc/issue/22/1?browseBy=volume,FALSE
Retraction Statement: Antecedents and Consequences of Gender Swapping in Online Games,https://academic.oup.com/jcmc/issue/22/1?browseBy=volume,FALSE
Special Section,https://academic.oup.com/jcmc/issue/14/3?browseBy=volume,FALSE
Message Board,https://academic.oup.com/jcmc/issue/8/1?browseBy=volume,FALSE
Forum: Prying the Doors Open: Women of Color Mentoring in the Field of Communication,https://academic.oup.com/ccc/issue/14/4?browseBy=volume,FALSE
"Forum: Digital Cultures of South Asia: Inequalities, Informatization, Infrastructures",https://academic.oup.com/ccc/issue/14/3?browseBy=volume,FALSE
Forum: Academic Life in the Pandemic,https://academic.oup.com/ccc/issue/14/2?browseBy=volume,FALSE
Forum: Tiger King,https://academic.oup.com/ccc/issue/13/4?browseBy=volume,FALSE
Interview Essay,https://academic.oup.com/ccc/issue/13/2?browseBy=volume,FALSE
"Forum: #CommunicationSoWhite: Practice, Pedagogy, Politics",https://academic.oup.com/ccc/issue/13/2?browseBy=volume,FALSE
Forum: Media and Populism,https://academic.oup.com/ccc/issue/13/1?browseBy=volume,FALSE
Special Issue: Value Added: Reconsidering Women-Centered Media and Viewership,https://academic.oup.com/ccc/issue/12/2?browseBy=volume,FALSE
Forum: #MeToo: Sexual Harassment in Academe,https://academic.oup.com/ccc/issue/11/3?browseBy=volume,FALSE
Special Issue: Media and the Extreme Right,https://academic.oup.com/ccc/issue/11/1?browseBy=volume,FALSE
Forum: The Handmaid's Tale,https://academic.oup.com/ccc/issue/11/1?browseBy=volume,FALSE
Retraction,https://academic.oup.com/ccc/issue/10/1?browseBy=volume,TRUE
Comment/Critique,https://academic.oup.com/ccc/issue/4/1?browseBy=volume,FALSE
Invited Review,https://academic.oup.com/ccc/issue/2/3?browseBy=volume,FALSE
Editor’s Introduction,https://academic.oup.com/ccc/issue/1/1?browseBy=volume,TRUE
Contributors’ Biographies,https://academic.oup.com/ccc/issue/1/1?browseBy=volume,TRUE
