Original Title,Title on Google Scholar,DOI,Citation Link,Citation Counts on Google Scholar
"Theoretical Intersections Among Social Influences, Beliefs, and Intentions in the Context of 3G Mobile Services in Singapore: Decomposing Perceived Critical Mass and Subjective Norms","Theoretical intersections among social influences, beliefs, and intentions in the context of 3G mobile services in Singapore: Decomposing perceived critical mass and …",10.1111/j.1460-2466.2010.01532.x,"https://scholar.google.com/scholar?cites=1575382112978635663&as_sdt=5,50&sciodt=0,50&hl=en",62
A New Look at Agenda-Setting Effects—Comparing the Predictive Power of Overall Political News Consumption and Specific News Media Consumption Across Different Media Channels and Media Types,A new look at agenda-setting effects—Comparing the predictive power of overall political news consumption and specific news media consumption across different …,10.1111/j.1460-2466.2010.01482.x,"https://scholar.google.com/scholar?cites=11492758225301165209&as_sdt=5,50&sciodt=0,50&hl=en",111
"A Test of Rivaling Approaches to Explain News Effects: News on Issue Positions of Parties, Real-World Developments, Support and Criticism, and Success and Failure","A test of rivaling approaches to explain news effects: News on issue positions of parties, real-world developments, support and criticism, and success and failure",10.1111/j.1460-2466.2007.00347.x,"https://scholar.google.com/scholar?cites=16073017330289285566&as_sdt=5,50&sciodt=0,50&hl=en",123
Visual Elements in Public Journalism Newspapers in an Election: A Content Analysis of the Photographs and Graphics in Campaign 2000,Visual elements in public journalism newspapers in an election: A content analysis of the photographs and graphics in campaign 2000,10.1111/j.1460-2466.2004.tb02639.x,"https://scholar.google.com/scholar?cites=5536412814044493266&as_sdt=5,50&sciodt=0,50&hl=en",66
"I'm Not a Real Doctor, but I Play One in Virtual Reality: Implications of Virtual Reality for Judgments about Reality",Implications of virtual reality for judgments about reality,10.1111/j.1460-2466.1992.tb00813.x,"https://scholar.google.com/scholar?cites=1865054215046916721&as_sdt=5,50&sciodt=0,50&hl=en",200
Toward a Theory of Press-State Relations in the United States,[PDF] Toward a theory of press-state,10.1111/j.1460-2466.1990.tb02265.x,"https://scholar.google.com/scholar?cites=17883453891318170319&as_sdt=5,50&sciodt=0,50&hl=en",2955
Opening Japan's Telecommunications Market,Opening Japan's Telecommunications Policy,10.1111/j.1460-2466.1988.tb02039.x,"https://scholar.google.com/scholar?cites=16652788164622103415&as_sdt=5,50&sciodt=0,50&hl=en",5
International Telecommunications: What Price Policy?: Toward a Theory of the State and Telecommunications Policy,Toward a Theory of the State and Telecommunications Policy.,10.1111/j.1460-2466.1988.tb02040.x,"https://scholar.google.com/scholar?cites=12368678453637101970&as_sdt=5,50&sciodt=0,50&hl=en",94
Diversity of News: “Marginalizing” the Opposition,Diversity of news,10.1111/j.1460-2466.1985.tb02454.x,"https://scholar.google.com/scholar?cites=8946205759903008037&as_sdt=5,50&sciodt=0,50&hl=en",138
Why Pornography? Models of Functions and Effects,[PDF] Models of Functions and Effects,10.1111/j.1460-2466.1984.tb02179.x,"https://scholar.google.com/scholar?cites=68619008553893471&as_sdt=5,50&sciodt=0,50&hl=en",29
The “World of the News” Study,[CITATION] The “World of the news” study: Results of international cooperation,10.1111/j.1460-2466.1984.tb02990.x,"https://scholar.google.com/scholar?cites=14443674501380267690&as_sdt=5,50&sciodt=0,50&hl=en",188
The International Flow of Television Programs,[CITATION] The international flow of television programs,10.1111/j.1460-2466.1984.tb02993.x,"https://scholar.google.com/scholar?cites=8054464479967994221&as_sdt=5,50&sciodt=0,50&hl=en",390
Pornography and social science research,Pornography and social science research: Serious questions.….,10.1111/j.1460-2466.1983.tb02440.x,"https://scholar.google.com/scholar?cites=3549633014937133626&as_sdt=5,50&sciodt=0,50&hl=en",17
"The Portrayal of Driving on Television, 1975–1980","The portrayal of driving on television, 1975–1980.",10.1111/j.1460-2466.1983.tb02387.x,"https://scholar.google.com/scholar?cites=20209049934489443&as_sdt=5,50&sciodt=0,50&hl=en",34
Producing TV's World: How Important is Community?,"[PDF] Producing TV's World: How Important Is Community, an Essay Review",10.1111/j.1460-2466.1982.tb00505.x,"https://scholar.google.com/scholar?cites=11928874843720078593&as_sdt=5,50&sciodt=0,50&hl=en",3
"A Rhetorical Profile of Religious News: Time, 1947–1976","A Rhetorical Profile of Religious News:"" Time,"" 1947-1976.",10.1111/j.1460-2466.1981.tb00428.x,"https://scholar.google.com/scholar?cites=16496627191963293733&as_sdt=5,50&sciodt=0,50&hl=en",29
“Whistle Blowing”: Implications for Organizational Communication,Whistle Blowing: Implications for Organizational Communication Scholars.,10.1111/j.1460-2466.1980.tb02020.x,"https://scholar.google.com/scholar?cites=14661015511457706125&as_sdt=5,50&sciodt=0,50&hl=en",111
Designing for the Participants,Designing for the Participants.,10.1111/j.1460-2466.1978.tb01639.x,"https://scholar.google.com/scholar?cites=5104528205308213153&as_sdt=5,50&sciodt=0,50&hl=en",10
Mother vs. Commercial,Mother vs. commercial.,10.1111/j.1460-2466.1978.tb01569.x,"https://scholar.google.com/scholar?cites=7356190128787240920&as_sdt=5,50&sciodt=0,50&hl=en",82
Rewards for “Openness”,"Rewards for"" Openess"".",10.1111/j.1460-2466.1978.tb01574.x,"https://scholar.google.com/scholar?cites=12448922209655390779&as_sdt=5,50&sciodt=0,50&hl=en",10
Women's Magazines and the Equal Rights Amendment: Friend or Foe?,Women's Magazines and the ERA: Friend or Foe?.,10.1111/j.1460-2466.1978.tb01584.x,"https://scholar.google.com/scholar?cites=13509423606692275325&as_sdt=5,50&sciodt=0,50&hl=en",28
Experiencing Television News,[CITATION] Experiencing television news,10.1111/j.1460-2466.1977.tb01865.x,"https://scholar.google.com/scholar?cites=9767292763645028510&as_sdt=5,50&sciodt=0,50&hl=en",90
From Dog Sled to Dial Phone: A Cultural Gap?,From Dog Sled to Dial Phone: A Cultural Gap?--The Far North.,10.1111/j.1460-2466.1977.tb01867.x,"https://scholar.google.com/scholar?cites=8430466640013852802&as_sdt=5,50&sciodt=0,50&hl=en",11
The Role of Radio in the Canadian North,The Role of Radio in the Canadian North--The Far North.,10.1111/j.1460-2466.1977.tb01868.x,"https://scholar.google.com/scholar?cites=4453796491984894520&as_sdt=5,50&sciodt=0,50&hl=en",22
Television and the Canadian Eskimo: The Human Perspective,Television and the Canadian Eskimo: The Human Perspective--The Far North.,10.1111/j.1460-2466.1977.tb01869.x,"https://scholar.google.com/scholar?cites=17147760328340875583&as_sdt=5,50&sciodt=0,50&hl=en",7
Anik I and Isolation: Television in the Lives of Canadian Eskimos,Anik I and Isolation: Television in the Lives of Canadian Eskimos--The Far North.,10.1111/j.1460-2466.1977.tb01870.x,"https://scholar.google.com/scholar?cites=4411124173304990333&as_sdt=5,50&sciodt=0,50&hl=en",16
New Magic for Old: TV in Cree Culture,New Magic for Old: TV in Cree Culture--The Far North.,10.1111/j.1460-2466.1977.tb01871.x,"https://scholar.google.com/scholar?cites=6326562217135956653&as_sdt=5,50&sciodt=0,50&hl=en",30
Television on the Bering Strait,Television on the Bering Strait--The Far North.,10.1111/j.1460-2466.1977.tb01875.x,"https://scholar.google.com/scholar?cites=9745829728106731833&as_sdt=5,50&sciodt=0,50&hl=en",6
Mini-TV: The Case for Cassettes,Mini-TV: The Case for Cassettes--The Far North.,10.1111/j.1460-2466.1977.tb01876.x,"https://scholar.google.com/scholar?cites=16497130782817664597&as_sdt=5,50&sciodt=0,50&hl=en",2
“Beneficial” Aggression,Marital Communication,10.1111/j.1460-2466.1977.tb02133.x,"https://scholar.google.com/scholar?cites=10720510747054463682&as_sdt=5,50&sciodt=0,50&hl=en",7
The Impact of “Instant Analysis”,The Impact of,10.1111/j.1460-2466.1977.tb01822.x,"https://scholar.google.com/scholar?cites=10659920668990569034&as_sdt=5,50&sciodt=0,50&hl=en",5
Movements with Precise Meanings,Movements with precise meanings,10.1111/j.1460-2466.1976.tb01898.x,"https://scholar.google.com/scholar?cites=12471705664745001640&as_sdt=5,50&sciodt=0,50&hl=en",246
What is Funny to Whom?,What is funny to whom? The role of gender.,10.1111/j.1460-2466.1976.tb01920.x,"https://scholar.google.com/scholar?cites=2954225197754505653&as_sdt=5,50&sciodt=0,50&hl=en",211
Radio vs. TV: The Effect of the Medium,Setting the Political Agenda: Radio vs. TV: The Effect of the Medium.,10.1111/j.1460-2466.1976.tb01376.x,"https://scholar.google.com/scholar?cites=14195337292473174040&as_sdt=5,50&sciodt=0,50&hl=en",62
Living with Television: The Violence Profile,Living with television: The violence profile,10.1111/j.1460-2466.1976.tb01397.x,"https://scholar.google.com/scholar?cites=10830408239035916622&as_sdt=5,50&sciodt=0,50&hl=en",4519
Presidential Television,Setting the Political Agenda: Presidential Television.,10.1111/j.1460-2466.1976.tb01383.x,"https://scholar.google.com/scholar?cites=14603201702938287285&as_sdt=5,50&sciodt=0,50&hl=en",12
Recommendations for Priorities,Research on Television and the Young: Recommendations for Priorities.,10.1111/j.1460-2466.1976.tb01388.x,"https://scholar.google.com/scholar?cites=11954292997198327186&as_sdt=5,50&sciodt=0,50&hl=en",2
The Japanese Experience,Sesame Street Around the World: The Japanese Experience.,10.1111/j.1460-2466.1976.tb01392.x,"https://scholar.google.com/scholar?cites=17677556007179607622&as_sdt=5,50&sciodt=0,50&hl=en",8
The Educational Impact,[CITATION] The educational impact,10.1111/j.1460-2466.1976.tb01395.x,"https://scholar.google.com/scholar?cites=16909576909116425829&as_sdt=5,50&sciodt=0,50&hl=en",22
The Social Content of Pornography,Explicit sex: Liberation or exploitation? The social content of pornography.,10.1111/j.1460-2466.1976.tb01351.x,"https://scholar.google.com/scholar?cites=3415405062303201623&as_sdt=5,50&sciodt=0,50&hl=en",214
Danish “Permissiveness” Revisited,"Explicit Sex--Liberation or Exploitation: Danish"" Permissiveness"" Revisited.",10.1111/j.1460-2466.1976.tb01355.x,"https://scholar.google.com/scholar?cites=9754708126255477078&as_sdt=5,50&sciodt=0,50&hl=en",28
Positive Social Learning,Positive social learning.,10.1111/j.1460-2466.1975.tb00643.x,"https://scholar.google.com/scholar?cites=16830588939262052560&as_sdt=5,50&sciodt=0,50&hl=en",43
Communication for Health: Unselling Heart Disease,[HTML] Communication and Health,10.1111/j.1460-2466.1975.tb00613.x,"https://scholar.google.com/scholar?cites=6487310597261594556&as_sdt=5,50&sciodt=0,50&hl=en",148
"Talking with the Doctor, 1",Talking with the doctor: I.,10.1111/j.1460-2466.1975.tb00616.x,"https://scholar.google.com/scholar?cites=1735409798930132558&as_sdt=5,50&sciodt=0,50&hl=en",121
"Talking with the Doctor, 2",Talking with the doctor: II.,10.1111/j.1460-2466.1975.tb00617.x,"https://scholar.google.com/scholar?cites=13691339167638278653&as_sdt=5,50&sciodt=0,50&hl=en",93
A Dialogue on Technology Assessment: The Video Telephone - Critique and Rejoinder,A Dialogue on Technology Assessment; The Video Telephone Critique and Rejoinder. Publication No. 75-1.,10.1111/j.1460-2466.1974.tb00420.x,"https://scholar.google.com/scholar?q=related:zdsTPbeQ-tMJ:scholar.google.com/&scioq=10.1111/j.1460-2466.1974.tb00420.x&hl=en&as_sdt=0,50",0
Myth in Communication,Myth in communication,10.1111/j.1460-2466.1970.tb00861.x,"https://scholar.google.com/scholar?cites=14878145256010276420&as_sdt=5,50&sciodt=0,50&hl=en",74
Attitude Convergence in Small Groups,[BOOK] Attitude convergence in small groups,10.1111/j.1460-2466.1965.tb01344.x,"https://scholar.google.com/scholar?cites=13106417626297269962&as_sdt=5,50&sciodt=0,50&hl=en",16
Communication and the Labor-Management Mediation Process: Some Aspects and Hypotheses,Communication and labor-management process: Some aspects and hypotheses.,10.1111/j.1460-2466.1965.tb01328.x,"https://scholar.google.com/scholar?cites=1707669253634981558&as_sdt=5,50&sciodt=0,50&hl=en",22
I. I Have Symptoms,[CITATION] I. IHave Symptoms,10.1111/j.1460-2466.1964.tb02339.x,"https://scholar.google.com/scholar?q=related:BXQzhrN9lRgJ:scholar.google.com/&scioq=10.1111/j.1460-2466.1964.tb02339.x&hl=en&as_sdt=0,50",0
A Rationale for the College Communication Course,[CITATION] A RATIONALE FOR THE COLLEGE COMMUNICATION,10.1111/j.1460-2466.1960.tb00513.x,"https://scholar.google.com/scholar?q=related:VAV75dWYItQJ:scholar.google.com/&scioq=10.1111/j.1460-2466.1960.tb00513.x&hl=en&as_sdt=0,50",0
Interlingua,[BOOK] Interlingua,10.1111/j.1460-2466.1955.tb01101.x,"https://scholar.google.com/scholar?q=related:Eopm0t9xXqEJ:scholar.google.com/&scioq=10.1111/j.1460-2466.1955.tb01101.x&hl=en&as_sdt=0,50",0
Rumors in a Disaster,"[BOOK] Rumors in a Disaster, Observation of the Rumors and Concomitant Factors in a Disaster Situation",10.1111/j.1460-2466.1954.tb00239.x,"https://scholar.google.com/scholar?cites=18323822731299713407&as_sdt=5,50&sciodt=0,50&hl=en",22
Communication in Industry,[CITATION] Communication in industry,10.1111/j.1460-2466.1952.tb00195.x,"https://scholar.google.com/scholar?cites=15560359294385256848&as_sdt=5,50&sciodt=0,50&hl=en",3
"Why Do People Share Ideologically Extreme, False, and Misleading Content on Social Media? A Self-Report and Trace Data–Based Analysis of Countermedia Content Dissemination on Facebook and Twitter","Why do people share ideologically extreme, false, and misleading content on social media? A self-report and trace data–based analysis of countermedia content …",10.1093/hcr/hqz022,"https://scholar.google.com/scholar?cites=3827594964253996271&as_sdt=5,50&sciodt=0,50&hl=en",71
The Implications of Computer-Mediated Communication (Cmc) for Social Support Message Processing and Outcomes: When and Why Are the Effects of Support Messages Strengthened during Cmc?,The implications of computer-mediated communication (CMC) for social support message processing and outcomes: When and why are the effects of support messages strengthened during CMC?,10.1111/hcre.12087,"https://scholar.google.com/scholar?cites=7476023868001487307&as_sdt=5,50&sciodt=0,50&hl=en",43
The Associations Between Parents' References to Their Own past Substance Use and Youth's Substance-Use Beliefs and Behaviors: a Comparison of Latino and European American Youth,The associations between parents' references to their own past substance use and youth's substance-use beliefs and behaviors: a comparison of Latino and …,10.1111/hcre.12001,"https://scholar.google.com/scholar?cites=7980401043294600799&as_sdt=5,50&sciodt=0,50&hl=en",45
Communication Processes That Mediate Family Communication Patterns and Mental Well-Being: A Mean and Covariance Structures Analysis of Young Adults from Divorced and Nondivorced Families,Communication processes that mediate family communication patterns and mental well-being: A mean and covariance structures analysis of young adults from …,10.1111/j.1468-2958.2007.00302.x,"https://scholar.google.com/scholar?cites=17276367372629970567&as_sdt=5,50&sciodt=0,50&hl=en",175
"Distinctiveness and Influence of Subjective Norms, Personal Descriptive and Injunctive Norms, and Societal Descriptive and Injunctive Norms on Behavioral Intent: A Case of Two Behaviors Critical to Organ Donation","Distinctiveness and influence of subjective norms, personal descriptive and injunctive norms, and societal descriptive and injunctive norms on behavioral intent: A …",10.1111/j.1468-2958.2007.00296.x,"https://scholar.google.com/scholar?cites=10069821016834771914&as_sdt=5,50&sciodt=0,50&hl=en",465
Coupling Longitudinal Data and Multilevel Modeling to Examine the Antecedents and Consequences of Jealousy Experiences in Romantic Relationships: A Test of the Relational Turbulence Model,Coupling longitudinal data and multilevel modeling to examine the antecedents and consequences of jealousy experiences in romantic relationships: A test of the …,10.1111/j.1468-2958.2006.00284.x,"https://scholar.google.com/scholar?cites=12706603557066158637&as_sdt=5,50&sciodt=0,50&hl=en",153
Detecting Deceit Via Analyses of Verbal and Nonverbal Behavior in Children and Adults,Detecting deceit via analyses of verbal and nonverbal behavior in children and adults,10.1111/j.1468-2958.2004.tb00723.x,"https://scholar.google.com/scholar?cites=3873846325935287446&as_sdt=5,50&sciodt=0,50&hl=en",243
Experimental Tests of Normative Group Influence and Representation Effects in Computer-Mediated Communication: When Interacting Via Computers Differs From Interacting With Computers,Experimental tests of normative group influence and representation effects in computer-mediated communication: When interacting via computers differs from …,10.1111/j.1468-2958.2002.tb00812.x,"https://scholar.google.com/scholar?cites=7236299675126063927&as_sdt=5,50&sciodt=0,50&hl=en",179
What You Don't Know Won't Hurt Me:: Impression Management Functions of Communication Channels in Relationships,What you don't know won't hurt me: Impression management functions of communication channels in relationships,10.1111/j.1468-2958.2000.tb00763.x,"https://scholar.google.com/scholar?cites=4618391003590288141&as_sdt=5,50&sciodt=0,50&hl=en",440
Strategies at the Edge: Negotiating Relational Borders,Colloquy: Strategies at the Edge: Negotiating Relational Borders.,10.1111/j.1468-2958.2000.tb00767.x,"https://scholar.google.com/scholar?cites=13426260746037498544&as_sdt=5,50&sciodt=0,50&hl=en",2
The Role of Source Confusion in Cultivation Effects May Depend on Processing Strategy: A Comment on Mares (1996),The role of source confusions in television's cultivation of social reality judgments,10.1111/j.1468-2958.1997.tb00418.x,"https://scholar.google.com/scholar?cites=4895478009774518378&as_sdt=5,50&sciodt=0,50&hl=en",142
Anticipated Ongoing Interaction versus Channel Effects on Relational Communication in Computer-Mediated Interaction,Anticipated ongoing interaction versus channel effects on relational communication in computer‐mediated interaction,10.1111/j.1468-2958.1994.tb00332.x,"https://scholar.google.com/scholar?cites=11191226096229595204&as_sdt=5,50&sciodt=0,50&hl=en",839
Normative Images of Communication Media: Mass and Interpersonal Channels in the New Media Environment,Normative images of communication media mass and interpersonal channels in the new media environment: mass and interpersonal channels in the new media …,10.1111/j.1468-2958.1993.tb00310.x,"https://scholar.google.com/scholar?cites=245136315679061924&as_sdt=5,50&sciodt=0,50&hl=en",403
We Interrupt This Program …: Attention for Television Sequences,We Interrupt This Program. Attention for Television Sequences: Attention for Television Sequences,10.1111/j.1468-2958.1993.tb00306.x,"https://scholar.google.com/scholar?cites=2161533459992896404&as_sdt=5,50&sciodt=0,50&hl=en",49
The Effects of Vocalics and Nonverbal Sensitivity on Compliance: A Speech Accommodation Theory Explanation,The effects of vocalics and nonverbal sensitivity on compliance: A speech accommodation theory explanation,10.1111/j.1468-2958.1988.tb00159.x,"https://scholar.google.com/scholar?cites=6303220604735475927&as_sdt=5,50&sciodt=0,50&hl=en",109
Male/Female Language Differences and Attributional Consequences in Children's Television,Male/female language differences and attributional consequences in children's television,10.1111/j.1468-2958.1985.tb00057.x,"https://scholar.google.com/scholar?cites=6936876946998761945&as_sdt=5,50&sciodt=0,50&hl=en",50
Events that Increase Uncertainty in Personal Relationships,Events that increase uncertainty in personal relationships sally planalp,10.1111/j.1468-2958.1985.tb00062.x,"https://scholar.google.com/scholar?cites=2523659644156259822&as_sdt=5,50&sciodt=0,50&hl=en",427
Talk and Silence Sequences in Informal Conversations II,Talk and silence sequences in informal conversations II,10.1111/j.1468-2958.1980.tb00133.x,"https://scholar.google.com/scholar?cites=6816076814096415472&as_sdt=5,50&sciodt=0,50&hl=en",69
Measures of Communication Satisfaction,"[PDF] Hecht. Michael L. MEASURES OF COMMUNICATION SATISFACTION, Human Communication Research, 4: 4 (1978: Summer) p. 350",10.1111/j.1468-2958.1978.tb00721.x,"https://scholar.google.com/scholar?cites=4395684471548100945&as_sdt=5,50&sciodt=0,50&hl=en",337
Children’s Perceptions of Television Characters,CHILDREN'S PERCEPTIONS OF TELEVISION CHARACTERS1,10.1111/j.1468-2958.1977.tb00510.x,"https://scholar.google.com/scholar?cites=7771279713489949249&as_sdt=5,50&sciodt=0,50&hl=en",149
"The Effects of Observer Expectations, Task Ambiguity, and Medium of Presentation on Low- and High-Inference Judgments of Communicative Behavior","THE EFFECTS OF OBSERVER EXPECTATIONS, TASK AMBIGUITY, AND MEDIUM OF PRESENTATION ON LOW‐AND HIGH‐INFERENCE JUDGMENTS OF …",10.1111/j.1468-2958.1975.tb00260.x,"https://scholar.google.com/scholar?cites=10837362167816252454&as_sdt=5,50&sciodt=0,50&hl=en",8
Organizational Crisis Communication: Suboptimal Crisis Response Selection Decisions and Behavioral Economics,Organizational crisis communication: Suboptimal crisis response selection decisions and behavioral economics,10.1093/ct/qtz002,"https://scholar.google.com/scholar?cites=14673087301582641240&as_sdt=5,50&sciodt=0,50&hl=en",66
"Here and There: (Re)Situating Latin America in International Communication Theory:
Aquí y allá: (re)situando a América Latina en la teoría de la comunicación internacional
Aqui e lá: (re)situando a América Latina na teoria da comunicação internacional",Here and There:(Re) Situating Latin America in International Communication Theory: Aquí y allá:(re) situando a América Latina en la teoría de la comunicación …,10.1093/ct/qty005,"https://scholar.google.com/scholar?cites=1582565330802632575&as_sdt=5,50&sciodt=0,50&hl=en",50
"A Latin American Approach to Mediatization: Specificities and Contributions to a Global Discussion About How the Media Shape Contemporary Societies:
Un enfoque latinoamericano de la mediatización: especificidades y contribuciones a una discusión global sobre cómo los medios dan forma a las sociedades contemporáneas
Midiatização sob uma abordagem latino-americana: especificidades e contribuições para uma discussão global sobre como os meios de comunicação vem delineando as sociedades contemporâneas",A Latin American Approach to Mediatization: Specificities and Contributions to a Global Discussion About How the Media Shape Contemporary Societies: Un enfoque …,10.1093/ct/qtx004,"https://scholar.google.com/scholar?cites=12382378694828835180&as_sdt=5,50&sciodt=0,50&hl=en",25
"From Media to Buen Vivir: Latin American Approaches to Indigenous Communication:
De los medios al Buen Vivir: enfoques latinoamericanos de la comunicación indígena
Das Mídias ao Buen Vivir: Abordagens Latino-Americanas para a Comunicação Indígena",From Media to Buen Vivir: Latin American Approaches to Indigenous Communication: De los medios al Buen Vivir: enfoques latinoamericanos de la comunicación …,10.1093/ct/qty004,"https://scholar.google.com/scholar?cites=6912318797697623810&as_sdt=5,50&sciodt=0,50&hl=en",29
"Communication Research in Argentina (2001–2015): Between Expansion and Intellectual Intervention:
Investigación en comunicación en la Argentina (2001-2015): entre la expansión y la intervención intelectual
A pesquisa em comunicação na Argentina (2001-2015) – Entre expansão e intervenção intelectual",Communication Research in Argentina (2001–2015): Between Expansion and Intellectual Intervention: Investigación en comunicación en la Argentina (2001-2015) …,10.1093/ct/qtx012,"https://scholar.google.com/scholar?cites=10881942375483694672&as_sdt=5,50&sciodt=0,50&hl=en",6
"Transnational Feminism, Global Governance, and the Reimagination of the Organization–Society Relationship: A Case Study of the Women's Environment and Development Organization","Transnational feminism, global governance, and the reimagination of the organization–society relationship: A case study of the Women's Environment and …",10.1111/comt.12063,"https://scholar.google.com/scholar?cites=1136612424030538942&as_sdt=5,50&sciodt=0,50&hl=en",20
"Listening, Thinking, Being","Listening, thinking, being",10.1111/j.1468-2885.2010.01366.x,"https://scholar.google.com/scholar?cites=15562569701478298778&as_sdt=5,50&sciodt=0,50&hl=en",153
Of Glitch and Men: The Place of the Human in the Successful Integration of Failure and Noise in the Digital Realm,German Abstract,10.1111/j.1468-2885.2007.00286.x,"https://scholar.google.com/scholar?cites=9113339019408785925&as_sdt=5,50&sciodt=0,50&hl=en",41
To Identify or Not to Identify: A Theoretical Model of Receiver Responses to Anonymous Communication,German Abstract,10.1111/j.1468-2885.2007.00288.x,"https://scholar.google.com/scholar?cites=13367657813623909041&as_sdt=5,50&sciodt=0,50&hl=en",124
Flow and Media Enjoyment,Flow and media enjoyment,10.1111/j.1468-2885.2004.tb00318.x,"https://scholar.google.com/scholar?cites=7370836116463812092&as_sdt=5,50&sciodt=0,50&hl=en",1067
Organizing for Social Change Through Cooperative Action:,Organizing for social change through cooperative action: The [dis] empowering dimensions of women's communication,10.1111/j.1468-2885.2000.tb00181.x,"https://scholar.google.com/scholar?cites=9341386009733490148&as_sdt=5,50&sciodt=0,50&hl=en",79
lnterpersonal Deception Theory: Theories About Deception and Paradigms for Studying It: A Critical Appraisal of Buller and Burgoon's lnterpersonal Deception Theory and Research,[CITATION] Theories about deception and paradigms for studying it: A critical appraisal of Buller and Burgoon's interpersonal deception theory and research,10.1111/j.1468-2885.1996.tb00131.x,"https://scholar.google.com/scholar?cites=10232268902119100067&as_sdt=5,50&sciodt=0,50&hl=en",74
Interpersonal Deception Theory: Reflections on the Nature of Theory Building and the Theoretical Status of Interpersonal Deception Theory,Interpersonal deception theory,10.1111/j.1468-2885.1996.tb00132.x,"https://scholar.google.com/scholar?cites=15970180783398410912&as_sdt=5,50&sciodt=0,50&hl=en",1648
The Ecology of Games:The Ecology of Games and Its Enemies,An Ecology of Games,10.1111/j.1468-2885.1995.tb00116.x,"https://scholar.google.com/scholar?cites=9583828768910012404&as_sdt=5,50&sciodt=0,50&hl=en",38
"No Respect? Disciplinarity and Media Studies in Communication
Feminist Communication Scholarship and “the Woman Question” in the Academy",[CITATION] No Respect? Disciplinarity and Media Studies in Communication Feminist Communication Scholarship and “the Woman Question” in the Academy,10.1111/j.1468-2885.1995.tb00103.x,"https://scholar.google.com/scholar?cites=2539399449292035593&as_sdt=5,50&sciodt=0,50&hl=en",5
"No Respect? Disciplinarity and Media Studies in Communication
Media Communications vs. Cultural Studies: Overcoming the Divide",[PDF] Communications vs. cultural studies: Overcoming the divide,10.1111/j.1468-2885.1995.tb00104.x,"https://scholar.google.com/scholar?cites=5493369144559355704&as_sdt=5,50&sciodt=0,50&hl=en",108
