,authorID,doi,url,year,title,journal,numberOfAuthors,authorPosition,authorFullName,firstName,lastName,affiliation,gscholarLink,googleSearch,genderize_prob,genderize_basedon,genderAccuracy,api,black,hispanic,white,raceHighest,raceSecondHighest,raceDiff,affProcessed,affiliation.2,ROR_AFFNAME,authorFullName.1,firstName.1,lastName.1,affiliation.1,gscholarLink.1,googleSearch.1,matchMethod,ROR_ID,type,genderize,race,racePredAccuracy,gender_prediction,race_prediction
425,10.1093/joc/jqy063+2.0,10.1093/joc/jqy063,https://academic.oup.com/joc/article/69/1/26/5281189,2019,Idols of Promotion: The Triumph of Self-Branding in an Age of Precarity,Journal of Communication,2,2,Jefferson Pooley,Jefferson,Pooley,"Department of Media and Communication, Muhlenberg College, Allentown, PA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Jefferson+Pooley,https://www.google.com/search?q=Jefferson+Pooley+department+of+media+and+communication+muhlenberg+college+allentown+pa,0.99,3901,High,0.0076408344,0.098762654,0.06897752,0.824619,0.824619,0.098762654,0.72585636,department of media and communication muhlenberg college allentown pa,"Department of Media and Communication, Muhlenberg College, Allentown, PA",Muhlenberg College,Jefferson Pooley,Jefferson,Pooley,"Department of Media and Communication, Muhlenberg College, Allentown, PA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Jefferson+Pooley,https://www.google.com/search?q=Jefferson+Pooley+department+of+media+and+communication+muhlenberg+college+allentown+pa,Exact,https://ror.org/03cqsth74,R,male,white,High,m,0
10786,10.1093/ccc/tcz043+1.0,10.1093/ccc/tcz043,https://academic.oup.com/ccc/article/12/4/435/5678718,2019,Wicked Content,"Communication, Culture and Critique",1,1,Caroline Jack,Caroline,Jack,"Department of Communication, University of California , San Diego, CA 92093-0503,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Caroline+Jack,https://www.google.com/search?q=Caroline+Jack+department+of+communication+university+of+california+san+diego+ca+usa,0.98,64753,High,0.013509295,0.34603292,0.017970528,0.62248725,0.62248725,0.34603292,0.27645433,department of communication university of california san diego ca usa,"Department of Communication, University of California , San Diego, CA 92093-0503,  USA","University of California, San Diego",Caroline Jack,Caroline,Jack,"Department of Communication, University of California , San Diego, CA 92093-0503,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Caroline+Jack,https://www.google.com/search?q=Caroline+Jack+department+of+communication+university+of+california+san+diego+ca+usa,API_QUERY,https://ror.org/0168r3w48,R,female,white,Low,f,0
436,10.1093/joc/jqy054+4.0,10.1093/joc/jqy054,https://academic.oup.com/joc/article/69/1/73/5145784,2019,Meta-Analysis of Anger and Persuasion: An Empirical Integration of Four Models,Journal of Communication,4,4,Robin Nabi,Robin,Nabi,"Department of Communication, University of California, Santa Barbara, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Robin+Nabi,https://www.google.com/search?q=Robin+Nabi+department+of+communication+university+of+california+santa+barbara+usa,0.93,34003,High,0.5494114,0.062392,0.025832755,0.36236382,0.5494114,0.36236382,0.1870476,department of communication university of california santa barbara usa,"Department of Communication, University of California, Santa Barbara, USA","University of California, Santa Barbara",Robin Nabi,Robin,Nabi,"Department of Communication, University of California, Santa Barbara, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Robin+Nabi,https://www.google.com/search?q=Robin+Nabi+department+of+communication+university+of+california+santa+barbara+usa,API_QUERY,https://ror.org/02t274463,R,male,api,Low,f,0
5176,10.1093/hcr/hqz010+4.0,10.1093/hcr/hqz010,https://academic.oup.com/hcr/article/45/4/450/5586245,2019,"An Internal Replication Examining the Role of Issue Involvement, Relevance, and Additional Requirements to Maintain an Established Freedom among Older Adults",Human Communication Research,5,4,Andrea Martinez Gonzalez,Andrea,Gonzalez,"James Madison University , Communication Studies, Harrisonburg, VA 22807",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Andrea+Gonzalez,https://www.google.com/search?q=Andrea+Martinez+Gonzalez+james+madison+university+communication+studies+harrisonburg+va,0.62,302977,Low,0.006929039,0.0037224935,0.94136393,0.047984485,0.94136393,0.047984485,0.89337945,james madison university communication studies harrisonburg va,"James Madison University , Communication Studies, Harrisonburg, VA 22807",James Madison University,Andrea Martinez Gonzalez,Andrea,Gonzalez,"James Madison University , Communication Studies, Harrisonburg, VA 22807",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Andrea+Gonzalez,https://www.google.com/search?q=Andrea+Martinez+Gonzalez+james+madison+university+communication+studies+harrisonburg+va,Exact,https://ror.org/028pmsz77,R,male,hispanic,High,f,3
8823,10.1093/jcmc/zmz016+3.0,10.1093/jcmc/zmz016,https://academic.oup.com/jcmc/article/24/6/335/5626014,2019,Switching Schemas: Do Effects of Mindless Interactions With Agents Carry Over to Humans and Vice Versa?,Journal of Computer-Mediated Communication,6,3,Casey A Smith,Casey,Smith,"College of Media &amp; Communication , Texas Tech University, Lubbock, TX,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Casey+Smith,https://www.google.com/search?q=Casey+A+Smith+college+of+media+amp+communication+texas+tech+university+lubbock+tx+usa,0.74,3423,Low,0.008322416,0.2150594,0.02918335,0.7474348,0.7474348,0.2150594,0.5323754,college of media amp communication texas tech university lubbock tx usa,"College of Media &amp; Communication , Texas Tech University, Lubbock, TX,  USA",Texas Tech University,Casey A Smith,Casey,Smith,"College of Media &amp; Communication , Texas Tech University, Lubbock, TX,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Casey+Smith,https://www.google.com/search?q=Casey+A+Smith+college+of+media+amp+communication+texas+tech+university+lubbock+tx+usa,Exact,https://ror.org/0405mnx93,R,male,white,Low,m,0
5186,10.1093/hcr/hqz004+3.0,10.1093/hcr/hqz004,https://academic.oup.com/hcr/article/45/3/334/5382473,2019,Effects of Second Screening: Building Social Media Social Capital through Dual Screen Use,Human Communication Research,4,3,Trevor Diehl,Trevor,Diehl,"School of Broadcast and Cinematic Arts, Central Michigan University, Mt. Pleasant, MI, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Trevor+Diehl,https://www.google.com/search?q=Trevor+Diehl+school+of+broadcast+and+cinematic+arts+central+michigan+university+mt+pleasant+mi+usa,0.99,6317,High,0.002229343,0.0004398337,0.0369213,0.96040946,0.96040946,0.0369213,0.92348814,school of broadcast and cinematic arts central michigan university mt pleasant mi usa,"School of Broadcast and Cinematic Arts, Central Michigan University, Mt. Pleasant, MI, USA",Central Michigan University,Trevor Diehl,Trevor,Diehl,"School of Broadcast and Cinematic Arts, Central Michigan University, Mt. Pleasant, MI, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Trevor+Diehl,https://www.google.com/search?q=Trevor+Diehl+school+of+broadcast+and+cinematic+arts+central+michigan+university+mt+pleasant+mi+usa,Exact,https://ror.org/02xawj266,R,male,white,High,m,0
10806,10.1093/ccc/tcz024+1.0,10.1093/ccc/tcz024,https://academic.oup.com/ccc/article/12/3/397/5553665,2019,Piss(ed): The Biopolitics of the Bathroom,"Communication, Culture and Critique",1,1,Mia Fischer,Mia,Fischer,"Department of Communication,  University of Colorado Denver , Denver, Colorado,  United States",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Mia+Fischer,https://www.google.com/search?q=Mia+Fischer+department+of+communication+university+of+colorado+denver+denver+colorado+united+states,0.96,19266,High,0.006259145,0.015732624,0.023925614,0.95408267,0.95408267,0.023925614,0.93015707,department of communication university of colorado denver denver colorado united states,"Department of Communication,  University of Colorado Denver , Denver, Colorado,  United States",University of Colorado Denver,Mia Fischer,Mia,Fischer,"Department of Communication,  University of Colorado Denver , Denver, Colorado,  United States",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Mia+Fischer,https://www.google.com/search?q=Mia+Fischer+department+of+communication+university+of+colorado+denver+denver+colorado+united+states,Exact,https://ror.org/02hh7en24,R,female,white,High,f,0
379,10.1093/joc/jqz029+1.0,10.1093/joc/jqz029,https://academic.oup.com/joc/article/69/5/443/5602534,2019,Social Media Engagement With Strategy- and Issue-Framed Political News,Journal of Communication,2,1,Natalie Jomini Stroud,Natalie,Stroud,"Department of Communication Studies &amp; School of Journalism , Austin, TX 78712,  USA    Center for Media Engagement, University of Texas at Austin , Austin, TX 78712,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Natalie+Stroud,https://www.google.com/search?q=Natalie+Jomini+Stroud+department+of+communication+studies+amp+school+of+journalism+austin+tx+usa+center+for+media+engagement+university+of+texas+at+austin+austin+tx+usa,0.98,22384,High,0.003338315,0.108178176,0.027123122,0.8613603,0.8613603,0.108178176,0.7531821,department of communication studies amp school of journalism austin tx usa center for media engagement university of texas at austin austin tx usa,"Department of Communication Studies &amp; School of Journalism , Austin, TX 78712,  USA    Center for Media Engagement, University of Texas at Austin , Austin, TX 78712,  USA",The University of Texas at Austin,Natalie Jomini Stroud,Natalie,Stroud,"Department of Communication Studies &amp; School of Journalism , Austin, TX 78712,  USA    Center for Media Engagement, University of Texas at Austin , Austin, TX 78712,  USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Natalie+Stroud,https://www.google.com/search?q=Natalie+Jomini+Stroud+department+of+communication+studies+amp+school+of+journalism+austin+tx+usa+center+for+media+engagement+university+of+texas+at+austin+austin+tx+usa,API_QUERY,https://ror.org/00hj54h04,R,female,white,High,f,0
5199,10.1093/hcr/hqy019+7.0,10.1093/hcr/hqy019,https://academic.oup.com/hcr/article/45/2/169/5315733,2019,"A Penchant for the Immoral: Implications of Parasocial Interaction, Perceived Complicity, and Identification on Liking of Anti-Heroes",Human Communication Research,7,7,Chun Yang,Chun,Yang,"Manship School of Mass Communication, Louisiana State University, Baton Rouge, LA, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Chun+Yang,https://www.google.com/search?q=Chun+Yang+manship+school+of+mass+communication+louisiana+state+university+baton+rouge+la+usa,0.84,1985,Low,0.9888481,0.0011417709,0.0049591605,0.005050975,0.9888481,0.005050975,0.98379713,manship school of mass communication louisiana state university baton rouge la usa,"Manship School of Mass Communication, Louisiana State University, Baton Rouge, LA, USA",Louisiana State University,Chun Yang,Chun,Yang,"Manship School of Mass Communication, Louisiana State University, Baton Rouge, LA, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Chun+Yang,https://www.google.com/search?q=Chun+Yang+manship+school+of+mass+communication+louisiana+state+university+baton+rouge+la+usa,Exact,https://ror.org/05ect4e57,R,male,api,High,m,2
5248,10.1093/hcr/hqy002+3.0,10.1093/hcr/hqy002,https://academic.oup.com/hcr/article/44/3/299/4956830,2018,"Comparing Mediational Pathways for Narrative- and Argument-Based Messages: Believability, Counterarguing, and Emotional Reaction",Human Communication Research,5,3,Jakob D Jensen,Jakob,Jensen,"Department of Communication, University of Utah, Salt Lake City, UT, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Jakob+Jensen,https://www.google.com/search?q=Jakob+D+Jensen+department+of+communication+university+of+utah+salt+lake+city+ut+usa,0.99,5281,High,0.0064899884,0.0078301,0.0135397455,0.97214013,0.97214013,0.0135397455,0.9586004,department of communication university of utah salt lake city ut usa,"Department of Communication, University of Utah, Salt Lake City, UT, USA",University of Utah,Jakob D Jensen,Jakob,Jensen,"Department of Communication, University of Utah, Salt Lake City, UT, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Jakob+Jensen,https://www.google.com/search?q=Jakob+D+Jensen+department+of+communication+university+of+utah+salt+lake+city+ut+usa,Exact,https://ror.org/03r0ha626,R,male,white,High,m,0
8884,10.1093/jcmc/zmy012+2.0,10.1093/jcmc/zmy012,https://academic.oup.com/jcmc/article/23/5/245/5050684,2018,How Young Users Deal With Multiple Platforms: The Role of Meaning-Making in Social Media Repertoires,Journal of Computer-Mediated Communication,3,2,Mora Matassi,Mora,Matassi,"Department of Communication Studies, Northwestern University, Evanston, Illinois, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Mora+Matassi,https://www.google.com/search?q=Mora+Matassi+department+of+communication+studies+northwestern+university+evanston+illinois+usa,0.75,1837,Low,0.020594085,0.011497061,0.050902843,0.917006,0.917006,0.050902843,0.8661032,department of communication studies northwestern university evanston illinois usa,"Department of Communication Studies, Northwestern University, Evanston, Illinois, USA",Northwestern University,Mora Matassi,Mora,Matassi,"Department of Communication Studies, Northwestern University, Evanston, Illinois, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Mora+Matassi,https://www.google.com/search?q=Mora+Matassi+department+of+communication+studies+northwestern+university+evanston+illinois+usa,Exact,https://ror.org/00m6w7z96,R,female,white,High,f,0
452,10.1093/joc/jqy052+1.0,10.1093/joc/jqy052,https://academic.oup.com/joc/article/68/6/1127/5113161,2018,Breaking into Collaboration: Communicative Strategies for Gaining Entry When You Are Not Invited,Journal of Communication,2,1,DaJung Woo,DaJung,Woo,"School of Communication Studies, The University of Tennessee, Knoxville, TN, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=DaJung+Woo,https://www.google.com/search?q=DaJung+Woo+school+of+communication+studies+the+university+of+tennessee+knoxville+tn+usa,0.93,56,Low,0.8958321,0.012604651,0.036388334,0.055174824,0.8958321,0.055174824,0.8406573,school of communication studies the university of tennessee knoxville tn usa,"School of Communication Studies, The University of Tennessee, Knoxville, TN, USA",University of Tennessee at Knoxville,DaJung Woo,DaJung,Woo,"School of Communication Studies, The University of Tennessee, Knoxville, TN, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=DaJung+Woo,https://www.google.com/search?q=DaJung+Woo+school+of+communication+studies+the+university+of+tennessee+knoxville+tn+usa,API_QUERY,https://ror.org/020f3ap87,R,female,api,High,f,2
7872,10.1093/ct/qtx004+2.0,10.1093/ct/qtx004,https://academic.oup.com/ct/article/28/2/131/4994884,2018,"A Latin American Approach to Mediatization: Specificities and Contributions to a Global Discussion About How the Media Shape Contemporary Societies:
Un enfoque latinoamericano de la mediatización: especificidades y contribuciones a una discusión global sobre cómo los medios dan forma a las sociedades contemporáneas
Midiatização sob uma abordagem latino-americana: especificidades e contribuições para uma discussão global sobre como os meios de comunicação vem delineando as sociedades contemporâneas",Communication Theory,2,2,Joan Ramon Rodriguez-Amat,Joan,Rodriguez-Amat,"ACES, Sheffield Hallam University, Arundel Street, Sheffield, UK S1 2NU",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Joan+Rodriguez-Amat,https://www.google.com/search?q=Joan+Ramon+Rodriguez-Amat+aces+sheffield+hallam+university+arundel+street+sheffield+uk+s+nu,0.69,27362,Low,0.011869302,0.0008229717,0.96272004,0.024587674,0.96272004,0.024587674,0.93813235,aces sheffield hallam university arundel street sheffield uk s nu,"ACES, Sheffield Hallam University, Arundel Street, Sheffield, UK S1 2NU",Sheffield Hallam University,Joan Ramon Rodriguez-Amat,Joan,Rodriguez-Amat,"ACES, Sheffield Hallam University, Arundel Street, Sheffield, UK S1 2NU",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Joan+Rodriguez-Amat,https://www.google.com/search?q=Joan+Ramon+Rodriguez-Amat+aces+sheffield+hallam+university+arundel+street+sheffield+uk+s+nu,Exact,https://ror.org/019wt1929,R,male,hispanic,High,m,3
5269,10.1093/hcre.12111+1.0,10.1093/hcre.12111,https://academic.oup.com/hcr/article/44/1/3/4760433,2018,The Relationship Between Media Multitasking and Attention Problems in Adolescents: Results of Two Longitudinal Studies,Human Communication Research,4,1,Susanne E Baumgartner,Susanne,Baumgartner,"Amsterdam School of Communication Research ,  University of Amsterdam,1018 WV Amsterdam ,  the Netherlands",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Susanne+Baumgartner,https://www.google.com/search?q=Susanne+E+Baumgartner+amsterdam+school+of+communication+research+university+of+amsterdam+wv+amsterdam+the+netherlands,0.98,22012,High,0.00410211,0.0010711085,0.015512843,0.9793139,0.9793139,0.015512843,0.9638011,amsterdam school of communication research university of amsterdam wv amsterdam the netherlands,"Amsterdam School of Communication Research ,  University of Amsterdam,1018 WV Amsterdam ,  the Netherlands",University of Amsterdam,Susanne E Baumgartner,Susanne,Baumgartner,"Amsterdam School of Communication Research ,  University of Amsterdam,1018 WV Amsterdam ,  the Netherlands",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Susanne+Baumgartner,https://www.google.com/search?q=Susanne+E+Baumgartner+amsterdam+school+of+communication+research+university+of+amsterdam+wv+amsterdam+the+netherlands,Exact,https://ror.org/04dkp9463,R,female,white,High,f,0
555,10.1093/joc/jqx018+1.0,10.1093/joc/jqx018,https://academic.oup.com/joc/article/68/2/399/4958958,2018,Paradigm(s) Lost? Islands of Critical Media Research in Communication Journals,Journal of Communication,2,1,Slavko Splichal,Slavko,Splichal,"Faculty of Social Sciences, University of Ljubljana, Ljubljana, Slovenia",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Slavko+Splichal,https://www.google.com/search?q=Slavko+Splichal+faculty+of+social+sciences+university+of+ljubljana+ljubljana+slovenia,0.99,1408,Low,0.014093615,0.011387894,0.026829142,0.9476893,0.9476893,0.026829142,0.9208602,faculty of social sciences university of ljubljana ljubljana slovenia,"Faculty of Social Sciences, University of Ljubljana, Ljubljana, Slovenia",University of Ljubljana,Slavko Splichal,Slavko,Splichal,"Faculty of Social Sciences, University of Ljubljana, Ljubljana, Slovenia",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Slavko+Splichal,https://www.google.com/search?q=Slavko+Splichal+faculty+of+social+sciences+university+of+ljubljana+ljubljana+slovenia,Exact,https://ror.org/05njb9z20,R,male,white,High,m,0
5267,10.1093/hcr/hqx008+5.0,10.1093/hcr/hqx008,https://academic.oup.com/hcr/article/44/2/197/4957051,2018,Perceptions of Social Media for Politics: Testing the Slacktivism Hypothesis,Human Communication Research,6,5,Slgi S Lee,Slgi,Lee,"Department of Communication Studies, University of Michigan, Ann Arbor, MI 48109, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Slgi+Lee,https://www.google.com/search?q=Slgi+S+Lee+department+of+communication+studies+university+of+michigan+ann+arbor+mi+usa,1,1,Low,0.42889667,0.19091979,0.019336395,0.36084712,0.42889667,0.36084712,0.06804955,department of communication studies university of michigan ann arbor mi usa,"Department of Communication Studies, University of Michigan, Ann Arbor, MI 48109, USA",University of Michigan–Ann Arbor,Slgi S Lee,Slgi,Lee,"Department of Communication Studies, University of Michigan, Ann Arbor, MI 48109, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Slgi+Lee,https://www.google.com/search?q=Slgi+S+Lee+department+of+communication+studies+university+of+michigan+ann+arbor+mi+usa,API_QUERY,https://ror.org/00jmfr291,R,female,api,Low,f,2
462,10.1093/joc/jqy049+9.0,10.1093/joc/jqy049,https://academic.oup.com/joc/article/68/5/842/5113149,2018,Using Attribution Theory To Explain The Affective Dispositions Of Tireless Moral Monitors Toward Narrative Characters,Journal of Communication,11,9,Joshua Baldwin,Joshua,Baldwin,"Department of Communication, Michigan State University, East Lansing, MI, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Joshua+Baldwin,https://www.google.com/search?q=Joshua+Baldwin+department+of+communication+michigan+state+university+east+lansing+mi+usa,0.99,20919,High,0.004898534,0.10934384,0.03259664,0.853161,0.853161,0.10934384,0.74381715,department of communication michigan state university east lansing mi usa,"Department of Communication, Michigan State University, East Lansing, MI, USA",Michigan State University,Joshua Baldwin,Joshua,Baldwin,"Department of Communication, Michigan State University, East Lansing, MI, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Joshua+Baldwin,https://www.google.com/search?q=Joshua+Baldwin+department+of+communication+michigan+state+university+east+lansing+mi+usa,Exact,https://ror.org/05hs6h993,R,male,white,High,m,0
5270,10.1093/hcre.12111+2.0,10.1093/hcre.12111,https://academic.oup.com/hcr/article/44/1/3/4760433,2018,The Relationship Between Media Multitasking and Attention Problems in Adolescents: Results of Two Longitudinal Studies,Human Communication Research,4,2,Winneke A van der Schuur,Winneke,Schuur,"Amsterdam School of Communication Research ,  University of Amsterdam,1018 WV Amsterdam ,  the Netherlands",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Winneke+Schuur,https://www.google.com/search?q=Winneke+A+van+der+Schuur+amsterdam+school+of+communication+research+university+of+amsterdam+wv+amsterdam+the+netherlands,1,5,Low,0.0031753916,0.0011138952,0.015644081,0.98006666,0.98006666,0.015644081,0.9644226,amsterdam school of communication research university of amsterdam wv amsterdam the netherlands,"Amsterdam School of Communication Research ,  University of Amsterdam,1018 WV Amsterdam ,  the Netherlands",University of Amsterdam,Winneke A van der Schuur,Winneke,Schuur,"Amsterdam School of Communication Research ,  University of Amsterdam,1018 WV Amsterdam ,  the Netherlands",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Winneke+Schuur,https://www.google.com/search?q=Winneke+A+van+der+Schuur+amsterdam+school+of+communication+research+university+of+amsterdam+wv+amsterdam+the+netherlands,Exact,https://ror.org/04dkp9463,R,female,white,High,f,0
8903,10.1093/jcmc/zmy006+4.0,10.1093/jcmc/zmy006,https://academic.oup.com/jcmc/article/23/3/127/4962540,2018,"One Size Fits All: Context Collapse, Self-Presentation Strategies and Language Styles on Facebook",Journal of Computer-Mediated Communication,6,4,Nicholas A Palomares,Nicholas,Palomares,"Department of Communication, University of California, Davis, CA 95616, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Nicholas+Palomares,https://www.google.com/search?q=Nicholas+A+Palomares+department+of+communication+university+of+california+davis+ca+usa,0.99,16755,High,0.028942155,0.005751593,0.9293252,0.03598107,0.9293252,0.03598107,0.89334416,department of communication university of california davis ca usa,"Department of Communication, University of California, Davis, CA 95616, USA","University of California, Davis",Nicholas A Palomares,Nicholas,Palomares,"Department of Communication, University of California, Davis, CA 95616, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Nicholas+Palomares,https://www.google.com/search?q=Nicholas+A+Palomares+department+of+communication+university+of+california+davis+ca+usa,API_QUERY,https://ror.org/05rrcem69,R,male,hispanic,High,m,3
487,10.1093/joc/jqy030+1.0,10.1093/joc/jqy030,https://academic.oup.com/joc/article/68/4/758/5039139,2018,"The Mediatization of the Air: Wireless Telegraphy and the Origins of a Transnational Space of Communication, 1900-1910s",Journal of Communication,3,1,Maria Rikitianskaia,Maria,Rikitianskaia,"Institute of Media and Journalism, Università della Svizzera Italiana, Lugano, Switzerland",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Maria+Rikitianskaia,https://www.google.com/search?q=Maria+Rikitianskaia+institute+of+media+and+journalism+universit+della+svizzera+italiana+lugano+switzerland,0.98,334287,High,0.008980615,0.003194973,0.026849257,0.96097517,0.96097517,0.026849257,0.9341259,institute of media and journalism universit della svizzera italiana lugano switzerland,"Institute of Media and Journalism, Università della Svizzera Italiana, Lugano, Switzerland",,Maria Rikitianskaia,Maria,Rikitianskaia,"Institute of Media and Journalism, Università della Svizzera Italiana, Lugano, Switzerland",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Maria+Rikitianskaia,https://www.google.com/search?q=Maria+Rikitianskaia+institute+of+media+and+journalism+universit+della+svizzera+italiana+lugano+switzerland,API_QUERY,,R,female,white,High,f,0
567,10.1093/joc/jqx007+1.0,10.1093/joc/jqx007,https://academic.oup.com/joc/article/68/1/26/4858530,2018,Networks of Audience Overlap in the Consumption of Digital News,Journal of Communication,3,1,Subhayan Mukerjee,Subhayan,Mukerjee,"Annenberg School for Communication ,  University of Pennsylvania, Philadelphia, PA 19104, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Subhayan+Mukerjee,https://www.google.com/search?q=Subhayan+Mukerjee+annenberg+school+for+communication+university+of+pennsylvania+philadelphia+pa+usa,1,3,Low,0.9844269,0.0042865896,0.0015836259,0.0097028,0.9844269,0.0097028,0.9747241,annenberg school for communication university of pennsylvania philadelphia pa usa,"Annenberg School for Communication ,  University of Pennsylvania, Philadelphia, PA 19104, USA",University of Pennsylvania,Subhayan Mukerjee,Subhayan,Mukerjee,"Annenberg School for Communication ,  University of Pennsylvania, Philadelphia, PA 19104, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Subhayan+Mukerjee,https://www.google.com/search?q=Subhayan+Mukerjee+annenberg+school+for+communication+university+of+pennsylvania+philadelphia+pa+usa,Exact,https://ror.org/00b30xv10,R,male,api,High,m,2
468,10.1093/joc/jqy033+1.0,10.1093/joc/jqy033,https://academic.oup.com/joc/article/68/5/896/5060315,2018,"New News Media, New Opinion Leaders? How Political Opinion Leaders Navigate the Modern High-choice Media Environment",Journal of Communication,2,1,Frank Mangold,Frank,Mangold,"Department of Communication, University of Hohenheim, Stuttgart, Germany",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Frank+Mangold,https://www.google.com/search?q=Frank+Mangold+department+of+communication+university+of+hohenheim+stuttgart+germany,0.99,82391,High,0.00727106,0.12973551,0.03503199,0.82796144,0.82796144,0.12973551,0.6982259,department of communication university of hohenheim stuttgart germany,"Department of Communication, University of Hohenheim, Stuttgart, Germany",University of Hohenheim,Frank Mangold,Frank,Mangold,"Department of Communication, University of Hohenheim, Stuttgart, Germany",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Frank+Mangold,https://www.google.com/search?q=Frank+Mangold+department+of+communication+university+of+hohenheim+stuttgart+germany,Exact,https://ror.org/00b1c9541,R,male,white,High,m,0
480,10.1093/joc/jqy025+2.0,10.1093/joc/jqy025,https://academic.oup.com/joc/article/68/4/685/5033609,2018,"The Polarizing Effect of News Framing: Comparing the Mediating Roles of Motivated Reasoning, Self-stereotyping, and Intergroup Animus",Journal of Communication,2,2,Christopher M Federico,Christopher,Federico,"Department of Psychology, University of Minnesota, Minneapolis, MN, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Christopher+Federico,https://www.google.com/search?q=Christopher+M+Federico+department+of+psychology+university+of+minnesota+minneapolis+mn+usa,0.99,53539,High,0.004152633,0.0070968554,0.015269677,0.97348094,0.97348094,0.015269677,0.95821124,department of psychology university of minnesota minneapolis mn usa,"Department of Psychology, University of Minnesota, Minneapolis, MN, USA",University of Minnesota,Christopher M Federico,Christopher,Federico,"Department of Psychology, University of Minnesota, Minneapolis, MN, USA",https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Christopher+Federico,https://www.google.com/search?q=Christopher+M+Federico+department+of+psychology+university+of+minnesota+minneapolis+mn+usa,Exact,https://ror.org/017zqws13,R,male,white,High,m,0
