journal,issueURL,volumn,issue,issueText,month,year,category,type,title,url,doi,pages,abstract,abstract_para_num,sci_hub
Human Communication Research,https://academic.oup.com/hcr/issue/48/1?browseBy=volume,Volume 48,Issue 1,"Issue 1, January 2022, Pages 1–177",January,2022,Replication Note,R,Revisiting the Relationship Between Deception and Design: A Replication and Extension of Hancock et al. (2004),https://academic.oup.com/hcr/article/48/1/158/6423102,10.1093/hcr/hqab019,158–167,"Evidence published nearly 20 years ago suggested people tell more lies per social interaction via synchronous, distributed, and recordless media (the phone) versus relatively richer (face-to-face communication) and leaner media (email, instant messaging). With nontrivial changes to the size and variety of our media landscape, it is worth re-examining the relationship between deception and technology. Over 7 days, 250 participants reported their social interactions and lies across face-to-face communication, social media, texting, the phone, video chat, and email. Replicating Hancock, Thom-Santelli, and Ritchie (2004), people told the most lies per social interaction over synchronous, distributed, and recordless media (the phone, video chat), though the effects were small and between-person effects explained more variance than between-media effects. Lying rates were also associated with aversive personality traits, plus antisocial, and relational deception motives. Together, while media options have evolved, technological design features often remain stable and indicate deception rates. Theoretical contributions are discussed.",1,https://sci-hub.se/10.1093/hcr/hqab019
Journal of Communication,https://academic.oup.com/joc/issue/72/3?browseBy=volume,Volume 72,Issue 3,"Issue 3, June 2022, Pages 297–449",June,2022,Articles,R,Democratic Consequences of Incidental Exposure to Political Information: A Meta-Analysis,https://academic.oup.com/joc/article/72/3/345/6549884,10.1093/joc/jqac008,345–373,"In the last two decades, communication research dedicated substantial attention to the effects of incidental exposure (IE) to political information. In this meta-analysis, we analyzed the relationship of IE and five outcomes relevant for democracies. Including 106 distinct samples with more than 100,000 respondents, we observed positive cross-sectional relationships between IE and news use, political knowledge, political participation, expressive engagement, and political discussion. These effects shrink substantially but remain significant for panel studies. While we found a stronger relationship with knowledge for experiments compared to surveys, the relationship between IE and discussion and participation was not significant for experiments. Overall, findings suggest that IE matters, but its effects are smaller and more nuanced than previously thought. Also, the effects of IE are strongest when there is congruence between the exposure setting and the outcome setting. We discuss theoretical and methodological implications for IE research and the field at large.",1,https://sci-hub.se/10.1093/joc/jqac008
Human Communication Research,https://academic.oup.com/hcr/issue/48/3?browseBy=volume,Volume 48,Issue 3,"Issue 3, July 2022, Pages 379–542",July,2022,Original Research,R,"Algorithmic Agents in the Hybrid Media System: Social Bots, Selective Amplification, and Partisan News about COVID-19",https://academic.oup.com/hcr/article/48/3/516/6587151,10.1093/hcr/hqac012,516–542,"Social bots, or algorithmic agents that amplify certain viewpoints and interact with selected actors on social media, may influence online discussion, news attention, or even public opinion through coordinated action. Previous research has documented the presence of bot activities and developed detection algorithms. Yet, how social bots influence attention dynamics of the hybrid media system remains understudied. Leveraging a large collection of both tweets (N = 1,657,551) and news stories (N = 50,356) about the early COVID-19 pandemic, we employed bot detection techniques, structural topic modeling, and time series analysis to characterize the temporal associations between the topics Twitter bots tend to amplify and subsequent news coverage across the partisan spectrum. We found that bots represented 8.98% of total accounts, selectively promoted certain topics and predicted coverage aligned with partisan narratives. Our macro-level longitudinal description highlights the role of bots as algorithmic communicators and invites future research to explain micro-level causal mechanisms.",1,https://sci-hub.se/10.1093/hcr/hqac012
Communication Theory,https://academic.oup.com/ct/issue/32/2?browseBy=volume,Volume 32,Issue 2,"Issue 2, May 2022, Pages 179–303",May,2022,Original Articles,R,Social Media Information Environments and Their Implications for the Uses and Effects of News: The PINGS Framework,https://academic.oup.com/ct/article/32/2/223/6335765,10.1093/ct/qtab012,223–242,"Social media have become a central source for news and current affairs information. This article focuses on the overarching attributes that shape how people come in contact with news, engage with news, and are affected by news on social media. Although all social media are different and change constantly, news experiences on these platforms can consistently be characterized as personalized, incidental, non-exclusive, as well as granularized and social (PINGS). Accordingly, this article introduces the PINGS framework, which acts as a systematization of social media news experiences and can be used to map key opportunities and challenges of using news across various social media platforms. In addition to presenting the framework components, the article also discusses how researchers can investigate PINGS in empirical studies.",1,https://sci-hub.se/10.1093/ct/qtab012
Human Communication Research,https://academic.oup.com/hcr/issue/48/3?browseBy=volume,Volume 48,Issue 3,"Issue 3, July 2022, Pages 379–542",July,2022,Original Research,R,Artificial Intelligence and Impression Management: Consequences of Autonomous Conversational Agents Communicating on One’s Behalf,https://academic.oup.com/hcr/article/48/3/462/6574432,10.1093/hcr/hqac009,462–490,"Artificially intelligent communication technologies (AICTs) that operate autonomously with high degrees of conversational fluency can make communication decisions on behalf of their principal users and communicate with those principals’ audiences on their behalf. In this study, we explore how the involvement of AICTs in communication activities shapes how principals engage in impression management and how their communication partners form impressions of them. Through an inductive, comparative field study of users of two AI scheduling technologies, we uncover three communicative practices through which principals engaged in impression management when AICTs communicate on their behalf: interpretation, diplomacy, and staging politeness. We also uncover three processes through which communication partners formed impressions of principals when communicating with them via AICTs: confirmation, transference, and compartmentalization. We show that communication partners can transfer impressions of AICTs to principals themselves and outline the conditions under which such transference is and is not likely. We discuss the implications of these findings for the study of technological mediation of impression management and formation in the age of artificial intelligence and present propositions to guide future empirical research.",1,https://sci-hub.se/10.1093/hcr/hqac009
Journal of Computer-Mediated Communication,https://academic.oup.com/jcmc/issue/27/2?browseBy=volume,Volume 27,Issue 2,"Issue 2, March 2022",March,2022,Full-length Research Articles,R,"Memes, Memes, Everywhere, nor Any Meme to Trust: Examining the Credibility and Persuasiveness of COVID-19-Related Memes",https://academic.oup.com/jcmc/article/27/2/zmab024/6503843,10.1093/jcmc/zmab024,,"This study used an experimental design to examine the credibility and persuasiveness of COVID-19-related Internet memes. The study used a random sample of U.S. social media users (N = 1,200) with source credibility as the theoretical framework. Results indicate that memes with expert source attribution are more credible than those with nonexpert source attribution. The same applies to the persuasiveness of the memes. Memes with an objective message tone are also more credible and persuasive than those with a subjective message tone. Additionally, there is a positive correlation between the credibility of a meme and its persuasiveness. Age correlates inversely with persuasion and pro-mask/vaccine memes are more credible and persuasive than anti-mask/vaccines memes. These results have implications regarding COVID-19 messaging as well as on meme-based communication.",1,https://sci-hub.se/10.1093/jcmc/zmab024
Journal of Computer-Mediated Communication,https://academic.oup.com/jcmc/issue/27/3?browseBy=volume,Volume 27,Issue 3,"Issue 3, May 2022",May,2022,Full-length Research Articles,R,Humor Reduces Online Incivility,https://academic.oup.com/jcmc/article/27/3/zmac005/6552940,10.1093/jcmc/zmac005,,"Online incivility is a persistent issue facing many news and social media platforms. To better understand it, we examined whether humorous content reduced online incivility and whether the (in)civility of another user might mitigate or amplify this effect in two experiments (Study 1, N = 122; Study 2, N = 208). Participants in both experiments read an online opinion article about an instance of negative stereotyping and provided a comment on a simulated online news forum. The first study manipulated article humor (humorous vs. not humorous). The second study manipulated humor and the (in)civility of a previous user’s comment (civil vs. uncivil). In both studies, humor-reduced incivility. Anger mediated this effect. Source liking mediated the positive effect of humor on reducing anger. The (in)civility of a previous comment did not affect these results. Overall, the findings point to the value of humor and anger reduction in managing online incivility.

Lay Summary

Online incivility is a common occurrence in online public forums. This article investigated factors that may reduce incivility in two online experiments. The first experiment tested whether humor reduced anger and subsequently the incivility of participants’ comments towards a negative stereotype-challenging op-ed article. The second experiment tested whether exposure to civil and uncivil previous user comments influenced the civility of participants’ comments. Humor was found to reduce online incivility by reducing feelings of anger and increasing liking towards the author in both experiments. Exposure to another user’s comment, whether civil or uncivil, did not appear to influence the civility of participants’ comments, suggesting that article content is a more likely trigger for online incivility.",3,https://sci-hub.se/10.1093/jcmc/zmac005
Communication Theory,https://academic.oup.com/ct/issue/32/2?browseBy=volume,Volume 32,Issue 2,"Issue 2, May 2022, Pages 179–303",May,2022,Original Articles,R,Toward a Theoretical Framework of Relational Maintenance in Computer-Mediated Communication,https://academic.oup.com/ct/article/32/2/243/6132724,10.1093/ct/qtaa035,243–264,"This article addresses the need for theoretical frameworks from which to advance the study of interpersonal relational maintenance in computer-mediated communication (CMC). We suggest one way to satisfy this need is to extend and adapt extant theories of offline relational maintenance to mediated interactions by addressing how CMC is likely integrated to sustain the underlying processes of human interaction in newer channels. Social penetration theory (SPT) is used to illustrate the process proposed. The building blocks of SPT—self-disclosure, reciprocal exchange, and the effect of environmental and situational contexts on interpersonal interactions—are still considered vital in sustaining relationships, even online. By considering how these components are affected by the idiosyncrasies of computer mediation, this work provides a path toward consistent, theoretically-driven research regarding the maintenance of relationships via CMC, and also exemplifies how scholars may forge additional avenues for such research.",1,https://sci-hub.se/10.1093/ct/qtaa035
Human Communication Research,https://academic.oup.com/hcr/issue/48/2?browseBy=volume,Volume 48,Issue 2,"Issue 2, April 2022, Pages 179–377",April,2022,Original Research,R,The Effects of Political Incivility on Political Trust and Political Participation: A Meta-Analysis of Experimental Research,https://academic.oup.com/hcr/article/48/2/203/6459595,10.1093/hcr/hqab022,203–229,"A great deal of experimental research has focused on how political incivility affects ordinary citizens. A common finding is that incivility reduces political trust. Effects on political participation have also been investigated, but seem less consistent across studies. The results of a systematic review and meta-analysis, including a total of 24 manuscripts containing 35 studies, revealed that the estimated effect of political incivility on political trust was significant, Hedges’ g = −0.19 [95% CI: −0.30, −0.09]. The effect was small, however, and some indication of publication bias was found. The effect was stronger when the incivility was communicated through video versus other media, and for studies conducted in the United States versus Europe. The estimated effect of political incivility on political participation was almost non-existent, g = −0.02 [−0.11, 0.08], although it was significantly stronger (more negative) for studies conducted in Europe rather than in the United States.",1,https://sci-hub.se/10.1093/hcr/hqab022
Human Communication Research,https://academic.oup.com/hcr/issue/48/2?browseBy=volume,Volume 48,Issue 2,"Issue 2, April 2022, Pages 179–377",April,2022,Original Research,R,“They Never Really Leave Us”: Transcendent Narratives About Loss Resonate With the Experience of Severe Grief,https://academic.oup.com/hcr/article/48/2/320/6527011,10.1093/hcr/hqac001,320–345,"Self-transcendent media experiences can instill a sense of connectedness, the sense of being part of a bigger whole. Proposing that this experience is relevant for people who have lost a loved one, the present research examined processing and effects of transcendent narratives of loss among the bereaved. Study 1 (N = 1,012) examined if personal experience with loss (grief severity, loss acceptance) increased mixed affect, transportation, identification, and appreciation of narratives of loss with, and without a reference to transcendence; Study 2 (N = 240) examined effects on elevation and connectedness. Findings showed that transcendent narratives of loss increased transportation, identification, and story appreciation especially for individuals with severe grief. Conversely, transcendent narratives of loss increased elevation, and connectedness especially for individuals with low grief. Findings suggest that transcendent narratives of loss resonate with severe personal grief. We found no evidence that a transcendent perspective on death reflects difficulty in accepting one’s personal loss.",1,https://sci-hub.se/10.1093/hcr/hqac001
"Communication, Culture and Critique",https://academic.oup.com/ccc/issue/15/1?browseBy=volume,Volume 15,Issue 1,"Issue 1, March 2022, Pages 1–101",March,2022,Original Articles,R,News Fixers at the Digital Interface: Precarious Labor and International Journalism in the 21st Century,https://academic.oup.com/ccc/article/15/1/52/6406429,10.1093/ccc/tcab062,52–68,"This article conducts a discursive interface analysis of World Fixer, the most visible online platform currently connecting foreign correspondents with local news workers who can help them translate interviews, navigate unfamiliar places, and stay safe in the field. Placing Johanna Drucker’s theory of the digital interface into conversation with the critical frameworks found in global communication studies, anti-colonial theory, and anti-racist communication scholarship, the goal is to illuminate both the opportunities that the World Fixer site provides its users, as well as the inequalities that the website still perpetuates.",1,https://sci-hub.se/10.1093/ccc/tcab062
Journal of Computer-Mediated Communication,https://academic.oup.com/jcmc/issue/27/2?browseBy=volume,Volume 27,Issue 2,"Issue 2, March 2022",March,2022,Full-length Research Articles,R,The “Connected” Caregivers: Exploring the Interplay of Left-Behind Women’s Socio-Structural Immobilities and Communicative Mobilities in Transnational Power Geometries,https://academic.oup.com/jcmc/article/27/2/zmac003/6548837,10.1093/jcmc/zmac003,,"Drawing on an ethnographic study on different groups of left-behind women (mothers, aunts, and grandmothers) in Fuqing, a major transnational migrant-labor-sending area in China, this article examines how they collaborate with their overseas family members in childrearing through digital media use. Applying the “im/mobilities” framework, this study explains how different left-behind caregivers use mediated communication as communicative mobilities to negotiate family roles and relationships in situated transnational power geometry. Despite the common structural constraints (rural patriarchy and inadequate social resources), left-behind women’s socio-structural immobilities vary depending on their specific relationship with migrants (conjugal, kinship, and intergenerational dynamics), which embodies the asymmetrical nature of transnationalism. The findings highlight the dynamic negotiation between left-behind caregivers’ communicative mobilities and their contextualized socio-structural immobilities, which leads to diverse forms of agency and disempowerment. This article shows that communicative mobility is not only manifested as media use but also embodied as media (non)use.

Lay Summary

Transnational labor migration has allowed people in poor areas to improve their financial well-being, but has also caused separations among many families. Thanks to the prevalence of various digital media (e.g., instant messaging, webcam and voice calls, and social media platforms, etc.), fragmented family members are able to maintain and manage different family relationships despite geographic constraints. This study draws on three groups of female caregivers (mothers, aunts, and grandmothers) in Fuqing, a major transnational migrant-labor-sending area in China. I am particularly interested in how these left-behind women collaborate with migrant parents to fulfil their duties of raising left-behind children through digital media. The findings suggest that left-behind women’s life experiences are not only related to gender norms and inadequate social resources (e.g., a lack of job opportunities and robust social welfare system) in rural China, but also pertinent to their specific relationship with migrants (e.g., conjugal, kinship, and intergenerational dynamics). While female caregivers’ different situations influence their media practices during childrearing collaboration with migrant parents, such media engagement also contributes to the shaping of their transnational family relationships.",3,https://sci-hub.se/10.1093/jcmc/zmac003
Journal of Computer-Mediated Communication,https://academic.oup.com/jcmc/issue/27/1?browseBy=volume,Volume 27,Issue 1,"Issue 1, January 2022",January,2022,Full-length Research Articles,R,Social Media Public Opinion as Flocks in a Murmuration: Conceptualizing and Measuring Opinion Expression on Social Media,https://academic.oup.com/jcmc/article/27/1/zmab021/6472790,10.1093/jcmc/zmab021,,"We propose a new way of imagining and measuring opinions emerging from social media. As people tend to connect with like-minded others and express opinions in response to current events on social media, social media public opinion is naturally occurring, temporally sensitive, and inherently social. Our framework for measuring social media public opinion first samples targeted nodes from a large social graph and identifies homogeneous, interactive, and stable networks of actors, which we call “flocks,” based on social network structure, and then measures and presents opinions of flocks. We apply this framework to Twitter and provide empirical evidence for flocks being meaningful units of analysis and flock membership predicting opinion expression. Through contextualizing social media public opinion by foregrounding the various homogeneous networks it is embedded in, we highlight the need to go beyond the aggregate-level measurement of social media public opinion and study the social dynamics of opinion expression using social media.",1,https://sci-hub.se/10.1093/jcmc/zmab021
"Communication, Culture and Critique",https://academic.oup.com/ccc/issue/15/2?browseBy=volume,Volume 15,Issue 2,"Issue 2, June 2022, Pages 103–298",June,2022,Original Articles,R,Biometric Bordering and Automatic Gender Recognition: Challenging Binary Gender Norms in Everyday Biometric Technologies,https://academic.oup.com/ccc/article/15/2/211/6571700,10.1093/ccc/tcac013,211–226,"With the rise of advanced biometric technologies, the surveilling of populations who do not match racial and gender norms has increased. Modern-day biometrics make assumptions about gender and race based on skin color, facial structure, body type, and body parts, which are encoded in predictive algorithms and other AI-driven systems. Growing empirical evidence points to the obstacles this poses for trans and non-binary individuals in several spheres, including border security, healthcare, and social media. Drawing on autoethnographic vignettes, semi-structured interviews, and survey responses, we look to the increased use of binary-based biometric technologies and automatic gender recognition (AGR), which rely on outmoded understandings of gender as static, measurable, and physiological. Our ethnographic data demonstrate how trans and non-binary bodies are forced to bend to these systems; meanwhile these technologies and algorithms increasingly extract data on trans and non-binary users, which may then be used as challenge sets to refine their accuracy.",1,https://sci-hub.se/10.1093/ccc/tcac013
"Communication, Culture and Critique",https://academic.oup.com/ccc/issue/15/2?browseBy=volume,Volume 15,Issue 2,"Issue 2, June 2022, Pages 103–298",June,2022,Forum,R,Digital (in-)Visibilities: Spatializing and Visualizing Politics of Voice,https://academic.oup.com/ccc/article/15/2/269/6561482,10.1093/ccc/tcac003,269–275,"This article focuses on the conditions of migrant (in-)visibilities in digital mediascapes. Addressing the ambivalent and complex communicative architecture of voice in the context of digitization and migration, it tackles three fundamental questions:

Does digital visibility contest political silencing of the migrant subject? Is the migrant who speaks also heard? And what kind of recognition do digital visibilities allow for and what kind of misrecognition might they hide? Thinking through Arendt’s subjective-in-between (1998), this article reflects on the value of voice beyond its conception as an individual right and as a mediated occasion of appearance.",2,https://sci-hub.se/10.1093/ccc/tcac003
Journal of Computer-Mediated Communication,https://academic.oup.com/jcmc/issue/26/1?browseBy=volume,Volume 26,Issue 1,"Issue 1, January 2021, Pages 1–53",January,2021,General Articles,R,Domesticating Gay Apps: An Intersectional Analysis of the Use of Blued Among Chinese Gay Men,https://academic.oup.com/jcmc/article/26/1/38/6032887,10.1093/jcmc/zmaa015,,"Drawing on domestication theory and intersectionality theory, this study explores the multiple roles dating apps play in Chinese gay men’s lives amid changing personal and social circumstances. We present in-depth narratives of three Blued users from different generations and classes with unique relationship statuses. The app’s geo-locative features strengthened the gay capital of our younger participant but threatened our middle-aged, closeted participant. Although coming from a homophobic generation, our senior participant had no issue becoming an online celebrity on the app because his wife had passed away, pointing out the intersectional influence of generational and relational backgrounds. Our participants’ socio-economic positions also shaped whom they would interact with on Blued and how these interactions took place. These observations illustrate the relationship between users’ intersectional positions and their domestication of Blued, complementing existing dating app studies that skew toward younger users and focus only on certain elements of app use.",1,https://sci-hub.se/10.1093/jcmc/zmaa015
"Communication, Culture and Critique",https://academic.oup.com/ccc/issue/14/2?browseBy=volume,Volume 14,Issue 2,"Issue 2, June 2021, Pages 201–384",June,2021,Forum: Academic Life in the Pandemic,M,"This Ain’t So Bad, or, Everything Getting Me Through this Pandemic I Learned from Being Queer",https://academic.oup.com/ccc/article/14/2/320/6220372,10.1093/ccc/tcab020,320–323,,,https://sci-hub.se/10.1093/ccc/tcab020
