year,journal,authorPosition,countrypred,genderpred,racepred,afftypepred
2021,Journal of Communication,4,US,F,Asian,Education
2021,Journal of Communication,1,US,M,Asian,Education
2021,Journal of Communication,2,US,M,White,Education
2021,Journal of Communication,3,US,M,White,Education
2021,Journal of Communication,4,GB,M,White,Education
2021,Journal of Communication,1,US,F,Black,Education
2021,Journal of Communication,2,US,M,Asian,Education
2021,Journal of Communication,3,US,F,White,Education
2021,Journal of Communication,4,US,M,White,Education
2021,Journal of Communication,5,US,M,Hispanic,Education
2021,Journal of Communication,1,US,F,Hispanic,Education
2021,Journal of Communication,1,US,F,White,Education
2021,Journal of Communication,2,US,F,White,Education
2021,Journal of Communication,3,US,M,White,Education
2021,Journal of Communication,4,US,F,White,Education
2021,Journal of Communication,5,US,M,Asian,Education
2021,Journal of Communication,1,AT,F,White,Education
2021,Journal of Communication,2,US,F,White,Education
2021,Journal of Communication,3,US,M,White,Education
2021,Journal of Communication,4,US,F,Asian,Education
2021,Journal of Communication,1,NL,M,White,Education
2021,Journal of Communication,2,SG,F,Asian,Education
2021,Journal of Communication,3,NL,M,White,Education
2021,Journal of Communication,4,US,M,White,Education
2021,Journal of Communication,5,US,M,White,Education
2021,Journal of Communication,1,US,M,White,Education
2021,Journal of Communication,2,KR,M,Asian,Education
2021,Journal of Communication,3,US,M,White,Education
2021,Journal of Communication,1,US,F,White,Education
2021,Journal of Communication,2,US,F,White,Education
2021,Journal of Communication,3,US,F,White,Education
2021,Journal of Communication,4,US,M,Black,Education
2021,Journal of Communication,5,GB,M,White,Education
2021,Journal of Communication,6,US,F,Asian,Education
2021,Journal of Communication,7,US,M,White,Education
2021,Journal of Communication,8,PH,F,Asian,Education
2021,Journal of Communication,9,US,F,White,Education
2021,Journal of Communication,10,NL,F,White,Education
2021,Journal of Communication,11,US,F,Asian,Education
2021,Journal of Communication,12,CN,F,White,Education
2021,Journal of Communication,13,US,M,Asian,Education
2021,Journal of Communication,14,US,F,Hispanic,Education
2021,Journal of Communication,15,US,F,White,Education
2021,Journal of Communication,16,US,F,Black,Education
2021,Journal of Communication,17,US,F,Hispanic,Education
2021,Journal of Communication,1,BR,F,Hispanic,Education
2021,Journal of Communication,2,BR,M,Hispanic,Education
2021,Journal of Communication,3,BR,M,Hispanic,Education
2021,Journal of Communication,4,BR,M,Hispanic,Education
2021,Journal of Communication,5,BR,M,Hispanic,Education
2021,Journal of Communication,6,BR,M,White,Education
2021,Journal of Communication,7,BR,F,Hispanic,Non Education
2021,Journal of Communication,8,BR,F,Hispanic,Non Education
2021,Journal of Communication,9,BR,F,Hispanic,Education
2021,Journal of Communication,1,AU,M,White,Education
2021,Journal of Communication,2,AU,F,White,Education
2021,Journal of Communication,1,US,F,White,Education
2021,Journal of Communication,2,US,M,Black,Education
2021,Journal of Communication,3,US,F,White,Education
2021,Journal of Communication,4,US,F,White,Education
2021,Journal of Communication,1,DE,M,White,Education
2021,Journal of Communication,2,US,M,White,Education
2021,Journal of Communication,3,US,M,White,Education
2021,Journal of Communication,1,US,F,Asian,Education
2021,Journal of Communication,1,US,M,Asian,Education
2021,Journal of Communication,2,US,F,White,Education
2021,Journal of Communication,3,US,M,White,Education
2021,Journal of Communication,1,US,F,Black,Education
2021,Journal of Communication,2,US,F,Black,Education
2021,Journal of Communication,1,PH,M,White,Education
2021,Journal of Communication,1,US,F,Asian,Education
2021,Journal of Communication,2,US,F,Hispanic,Education
2021,Journal of Communication,3,US,F,White,Education
2021,Journal of Communication,1,CN,M,Asian,Education
2021,Journal of Communication,2,CN,M,Asian,Education
2021,Journal of Communication,1,US,M,White,Education
2021,Journal of Communication,2,US,M,White,Education
2021,Journal of Communication,1,US,M,White,Education
2021,Journal of Communication,2,US,M,White,Education
2021,Journal of Communication,3,US,F,White,Education
2021,Journal of Communication,4,US,F,White,Education
2021,Journal of Communication,1,US,F,White,Education
2021,Journal of Communication,1,US,F,White,Education
2021,Journal of Communication,2,US,M,Asian,Education
2021,Journal of Communication,1,US,M,White,Education
2021,Journal of Communication,2,US,F,Asian,Education
2021,Journal of Communication,3,US,F,White,Education
2021,Journal of Communication,4,US,F,White,Education
2021,Journal of Communication,1,DE,M,White,Education
2021,Journal of Communication,2,SE,M,Middle Eastern,Education
2021,Journal of Communication,3,NL,M,White,Education
2021,Journal of Communication,4,NL,F,White,Education
2021,Journal of Communication,5,DE,F,White,Education
2021,Journal of Communication,1,US,F,White,Education
2021,Journal of Communication,2,US,M,White,Education
2021,Journal of Communication,3,US,F,White,Education
2021,Journal of Communication,4,US,M,White,Non Education
2021,Journal of Communication,5,US,F,White,Education
2021,Journal of Communication,6,US,F,White,Education
2021,Journal of Communication,7,US,F,White,Non Education
2021,Journal of Communication,1,US,F,White,Education
2021,Journal of Communication,2,US,F,White,Education
2021,Journal of Communication,3,US,M,Asian,Education
2021,Journal of Communication,4,LB,F,Asian,Education
2021,Journal of Communication,5,US,M,White,Education
2021,Journal of Communication,6,US,M,White,Education
2021,Journal of Communication,1,DE,M,White,Education
2021,Journal of Communication,2,DE,M,White,Education
2021,Journal of Communication,3,DE,M,White,Education
2021,Journal of Communication,4,DE,M,White,Education
2021,Journal of Communication,1,US,F,Asian,Education
2021,Journal of Communication,2,US,F,Asian,Education
2021,Journal of Communication,3,US,F,Asian,Education
2021,Journal of Communication,4,US,F,Asian,Education
2021,Journal of Communication,5,US,M,Asian,Education
2021,Journal of Communication,6,US,M,Asian,Education
2021,Journal of Communication,7,CN,F,White,Education
2021,Journal of Communication,8,US,M,White,Education
2021,Journal of Communication,1,US,F,White,Education
2021,Journal of Communication,2,US,M,White,Education
2021,Journal of Communication,3,US,M,White,Education
2021,Journal of Communication,4,US,M,White,Education
2021,Journal of Communication,1,DE,M,White,Education
2021,Journal of Communication,2,GB,M,White,Education
2021,Journal of Communication,3,US,M,White,Education
2021,Journal of Communication,4,DE,M,White,Education
2021,Journal of Communication,5,DE,M,White,Education
2021,Journal of Communication,6,DE,F,White,Education
2021,Journal of Communication,7,US,F,Asian,Education
2021,Journal of Communication,8,US,F,White,Education
2021,Journal of Communication,9,PH,F,Asian,Education
2021,Journal of Communication,10,US,M,White,Education
2021,Journal of Communication,11,US,M,White,Education
2021,Journal of Communication,12,DE,M,White,Education
2021,Journal of Communication,13,DE,M,White,Non Education
2021,Journal of Communication,14,ZA,M,White,Education
2021,Journal of Communication,15,NL,M,Middle Eastern,Education
2021,Journal of Communication,16,US,M,White,Education
2021,Journal of Communication,17,US,F,White,Education
2021,Journal of Communication,18,US,M,White,Education
2021,Journal of Communication,19,GB,M,White,Education
2021,Journal of Communication,20,BE,M,White,Education
2021,Journal of Communication,21,US,M,White,Education
2021,Journal of Communication,22,DE,F,White,Education
2021,Journal of Communication,23,US,F,White,Education
2021,Journal of Communication,24,GB,M,White,Education
2021,Journal of Communication,25,DE,M,White,Education
2021,Journal of Communication,26,DE,M,White,Education
2021,Journal of Communication,27,US,M,White,Education
2021,Journal of Communication,28,DE,F,White,Education
2021,Journal of Communication,29,DE,F,White,Education
2021,Journal of Communication,30,DE,M,White,Education
2021,Journal of Communication,31,CN,M,Asian,Education
2021,Journal of Communication,32,GB,F,White,Education
2021,Journal of Communication,33,SG,F,Asian,Education
2021,Journal of Communication,34,US,F,White,Education
2021,Journal of Communication,35,DE,F,White,Education
2021,Journal of Communication,36,US,M,Black,Education
2021,Journal of Communication,37,NL,M,White,Education
2021,Journal of Communication,1,US,F,Asian,Education
2021,Journal of Communication,2,US,F,White,Education
2021,Journal of Communication,3,US,F,White,Education
2021,Journal of Communication,4,US,F,Hispanic,Education
2021,Journal of Communication,5,US,F,Hispanic,Education
2021,Journal of Communication,1,NL,F,White,Education
2021,Journal of Communication,2,NL,F,White,Education
2021,Journal of Communication,3,NL,F,White,Education
2021,Journal of Communication,4,NL,F,White,Education
2021,Journal of Communication,5,NL,F,White,Education
2021,Journal of Communication,1,PH,M,White,Education
2021,Journal of Communication,2,US,F,White,Education
2021,Journal of Communication,3,US,M,Asian,Education
2021,Journal of Communication,1,LB,F,Asian,Education
2021,Journal of Communication,1,US,M,Asian,Education
2021,Journal of Communication,2,US,M,White,Education
2021,Journal of Communication,3,US,M,Asian,Education
2021,Journal of Communication,4,US,M,White,Education
2021,Journal of Communication,5,US,F,White,Education
2020,Journal of Communication,1,AT,M,White,Education
2020,Journal of Communication,2,AT,M,White,Education
2020,Journal of Communication,1,US,F,White,Education
2020,Journal of Communication,2,US,M,White,Education
2020,Journal of Communication,3,US,F,White,Education
2020,Journal of Communication,1,US,F,White,Education
2020,Journal of Communication,1,TW,F,Asian,Education
2020,Journal of Communication,2,HK,M,Asian,Education
2020,Journal of Communication,1,US,F,White,Education
2020,Journal of Communication,2,PH,M,White,Education
2020,Journal of Communication,3,PH,F,White,Education
2020,Journal of Communication,1,CN,M,Asian,Education
2020,Journal of Communication,2,US,F,Asian,Education
2020,Journal of Communication,1,GB,F,Middle Eastern,Education
2020,Journal of Communication,2,GB,M,White,Education
2020,Journal of Communication,1,US,F,Asian,Education
2020,Journal of Communication,2,US,M,White,Education
2020,Journal of Communication,1,US,M,White,Education
2020,Journal of Communication,2,US,M,White,Education
2020,Journal of Communication,1,US,F,White,Education
2020,Journal of Communication,1,DE,M,White,Education
2020,Journal of Communication,2,NL,F,White,Education
2020,Journal of Communication,3,DE,F,White,Education
2020,Journal of Communication,4,DE,M,White,Education
2020,Journal of Communication,1,NL,F,White,Education
2020,Journal of Communication,2,NL,M,White,Education
2020,Journal of Communication,3,NL,M,White,Education
2020,Journal of Communication,4,NL,M,White,Education
2020,Journal of Communication,1,DE,F,White,Education
2020,Journal of Communication,2,DE,F,White,Education
2020,Journal of Communication,1,US,F,Asian,Education
2020,Journal of Communication,2,PH,F,White,Education
2020,Journal of Communication,3,PH,M,Asian,Education
2020,Journal of Communication,1,US,M,White,Education
2020,Journal of Communication,2,US,M,White,Education
2020,Journal of Communication,3,US,F,White,Education
2020,Journal of Communication,4,US,M,White,Education
2020,Journal of Communication,1,NL,F,White,Education
2020,Journal of Communication,2,BE,F,White,Education
2020,Journal of Communication,3,BE,M,White,Education
2020,Journal of Communication,1,NL,M,White,Education
2020,Journal of Communication,2,NL,M,White,Education
2020,Journal of Communication,1,SG,F,Asian,Education
2020,Journal of Communication,2,SG,F,Asian,Education
2020,Journal of Communication,3,SG,F,Asian,Education
2020,Journal of Communication,4,SG,M,Asian,Non Education
2020,Journal of Communication,5,US,M,Black,Education
2020,Journal of Communication,6,US,M,Asian,Education
2020,Journal of Communication,1,AT,M,Asian,Education
2020,Journal of Communication,2,AT,M,White,Education
2020,Journal of Communication,3,AT,F,White,Education
2020,Journal of Communication,1,US,M,White,Education
2020,Journal of Communication,2,US,M,White,Education
2020,Journal of Communication,3,US,M,White,Education
2020,Journal of Communication,1,US,M,White,Education
2020,Journal of Communication,2,US,F,White,Education
2020,Journal of Communication,3,US,F,White,Education
2020,Journal of Communication,4,US,F,White,Education
2020,Journal of Communication,5,US,M,White,Education
2020,Journal of Communication,6,US,F,White,Education
2020,Journal of Communication,7,US,M,White,Education
2020,Journal of Communication,8,NL,F,White,Education
2020,Journal of Communication,9,SG,M,White,Education
2020,Journal of Communication,10,US,F,White,Education
2020,Journal of Communication,1,US,F,Asian,Education
2020,Journal of Communication,2,US,F,Black,Education
2020,Journal of Communication,1,IL,F,Middle Eastern,Education
2020,Journal of Communication,1,US,F,White,Education
2020,Journal of Communication,2,US,F,White,Education
2020,Journal of Communication,3,US,F,Asian,Education
2020,Journal of Communication,1,US,M,Middle Eastern,Education
2020,Journal of Communication,2,US,M,White,Education
2020,Journal of Communication,3,GB,F,White,Education
2020,Journal of Communication,1,US,F,White,Education
2020,Journal of Communication,2,US,F,Middle Eastern,Education
2020,Journal of Communication,1,FI,F,White,Education
2020,Journal of Communication,2,FI,F,White,Education
2020,Journal of Communication,3,FI,M,White,Education
2020,Journal of Communication,1,US,F,White,Education
2020,Journal of Communication,1,US,M,White,Education
2020,Journal of Communication,2,US,F,White,Education
2020,Journal of Communication,3,US,M,White,Education
2020,Journal of Communication,4,US,F,White,Education
2020,Journal of Communication,5,US,M,White,Education
2020,Journal of Communication,1,US,M,White,Education
2020,Journal of Communication,1,US,M,White,Education
2020,Journal of Communication,2,US,M,White,Education
2020,Journal of Communication,3,US,F,White,Education
2020,Journal of Communication,4,US,F,Asian,Education
2020,Journal of Communication,5,US,M,Asian,Education
2020,Journal of Communication,1,US,F,Asian,Education
2020,Journal of Communication,2,US,F,White,Education
2020,Journal of Communication,3,US,F,White,Education
2020,Journal of Communication,1,CN,F,Asian,Education
2020,Journal of Communication,2,US,F,Asian,Education
2020,Journal of Communication,3,DK,M,Asian,Education
2020,Journal of Communication,1,US,M,White,Education
2020,Journal of Communication,2,US,M,White,Education
2020,Journal of Communication,3,US,M,White,Education
2020,Journal of Communication,1,FR,M,White,Education
2020,Journal of Communication,2,CA,M,White,Education
2020,Journal of Communication,3,CA,M,White,Education
2020,Journal of Communication,1,NL,F,White,Education
2020,Journal of Communication,2,AT,F,White,Education
2019,Journal of Communication,1,US,F,Asian,Education
2019,Journal of Communication,2,US,F,White,Education
2019,Journal of Communication,3,US,F,White,Education
2019,Journal of Communication,4,US,F,Asian,Education
2019,Journal of Communication,5,US,M,White,Education
2019,Journal of Communication,6,US,F,White,Education
2019,Journal of Communication,7,US,M,White,Education
2019,Journal of Communication,1,US,F,White,Education
2019,Journal of Communication,2,US,M,White,Education
2019,Journal of Communication,3,US,F,Asian,Education
2019,Journal of Communication,4,US,M,White,Education
2019,Journal of Communication,5,US,F,White,Education
2019,Journal of Communication,1,US,M,White,Education
2019,Journal of Communication,2,US,M,White,Education
2019,Journal of Communication,3,US,M,Asian,Education
2019,Journal of Communication,1,NL,M,White,Education
2019,Journal of Communication,2,NL,F,White,Education
2019,Journal of Communication,3,NL,M,White,Education
2019,Journal of Communication,1,US,M,White,Education
2019,Journal of Communication,1,US,M,White,Education
2019,Journal of Communication,2,US,F,White,Education
2019,Journal of Communication,3,US,M,White,Education
2019,Journal of Communication,1,US,F,White,Education
2019,Journal of Communication,2,US,F,White,Education
2019,Journal of Communication,1,US,F,Asian,Education
2019,Journal of Communication,2,US,M,Asian,Education
2019,Journal of Communication,1,US,M,White,Education
2019,Journal of Communication,2,US,M,White,Education
2019,Journal of Communication,3,US,F,Asian,Education
2019,Journal of Communication,1,US,M,White,Education
2019,Journal of Communication,2,JP,M,White,Education
2019,Journal of Communication,3,CN,F,Asian,Education
2019,Journal of Communication,4,US,M,White,Education
2019,Journal of Communication,1,US,F,Middle Eastern,Education
2019,Journal of Communication,1,SG,F,Asian,Education
2019,Journal of Communication,2,US,M,Asian,Education
2019,Journal of Communication,3,US,M,White,Education
2019,Journal of Communication,1,DE,F,White,Education
2019,Journal of Communication,1,US,M,White,Education
2019,Journal of Communication,1,US,M,White,Education
2019,Journal of Communication,1,US,F,White,Education
2019,Journal of Communication,2,US,F,Asian,Education
2019,Journal of Communication,3,US,F,White,Education
2019,Journal of Communication,1,HK,F,Asian,Education
2019,Journal of Communication,2,HK,M,Asian,Education
2019,Journal of Communication,1,US,F,Asian,Education
2019,Journal of Communication,2,US,M,Middle Eastern,Education
2019,Journal of Communication,3,US,M,Middle Eastern,Education
2019,Journal of Communication,1,US,M,White,Education
2019,Journal of Communication,2,MX,F,Hispanic,Education
2019,Journal of Communication,1,NL,F,White,Education
2019,Journal of Communication,2,NL,F,White,Education
2019,Journal of Communication,3,NL,F,White,Education
2019,Journal of Communication,1,AT,M,Hispanic,Education
2019,Journal of Communication,2,US,M,White,Education
2019,Journal of Communication,3,AT,F,White,Education
2019,Journal of Communication,4,NZ,M,Asian,Education
2019,Journal of Communication,1,DK,M,White,Education
2019,Journal of Communication,2,DK,F,White,Education
2019,Journal of Communication,1,US,F,Black,Education
2019,Journal of Communication,1,US,F,Middle Eastern,Education
2019,Journal of Communication,2,US,F,White,Education
2019,Journal of Communication,3,US,M,White,Education
2019,Journal of Communication,4,US,F,Asian,Education
2019,Journal of Communication,5,US,F,Asian,Education
2019,Journal of Communication,1,US,F,Black,Education
2019,Journal of Communication,2,US,F,White,Education
2019,Journal of Communication,1,US,F,White,Education
2019,Journal of Communication,2,US,M,White,Education
2019,Journal of Communication,1,US,M,White,Education
2019,Journal of Communication,2,US,F,Asian,Education
2019,Journal of Communication,3,US,M,Asian,Education
2019,Journal of Communication,4,US,F,Asian,Education
2019,Journal of Communication,5,US,F,Asian,Education
2019,Journal of Communication,6,US,M,White,Education
2019,Journal of Communication,7,US,M,Asian,Education
2019,Journal of Communication,1,PH,M,White,Education
2019,Journal of Communication,2,US,F,Middle Eastern,Education
2019,Journal of Communication,3,US,F,White,Education
2019,Journal of Communication,4,US,F,Middle Eastern,Education
2019,Journal of Communication,1,CN,F,Asian,Education
2019,Journal of Communication,2,CN,M,White,Education
2018,Journal of Communication,1,US,M,White,Education
2018,Journal of Communication,2,US,M,White,Education
2018,Journal of Communication,3,US,F,White,Education
2018,Journal of Communication,1,SG,F,Asian,Education
2018,Journal of Communication,2,US,M,White,Education
2018,Journal of Communication,3,US,M,White,Education
2018,Journal of Communication,1,NL,F,White,Education
2018,Journal of Communication,2,SE,M,White,Education
2018,Journal of Communication,3,NL,F,White,Education
2018,Journal of Communication,1,DK,M,White,Education
2018,Journal of Communication,2,DK,M,White,Education
2018,Journal of Communication,1,US,M,White,Education
2018,Journal of Communication,2,US,F,White,Education
2018,Journal of Communication,1,US,F,Asian,Education
2018,Journal of Communication,2,US,M,White,Education
2018,Journal of Communication,1,US,M,White,Education
2018,Journal of Communication,2,US,F,White,Education
2018,Journal of Communication,3,US,M,Asian,Education
2018,Journal of Communication,4,CH,M,White,Education
2018,Journal of Communication,5,US,M,White,Education
2018,Journal of Communication,6,US,F,White,Education
2018,Journal of Communication,7,US,M,White,Education
2018,Journal of Communication,8,US,M,White,Education
2018,Journal of Communication,9,US,M,White,Education
2018,Journal of Communication,10,US,F,White,Education
2018,Journal of Communication,11,US,F,Asian,Education
2018,Journal of Communication,1,US,M,White,Education
2018,Journal of Communication,2,US,F,White,Education
2018,Journal of Communication,3,US,M,White,Education
2018,Journal of Communication,1,DE,M,White,Education
2018,Journal of Communication,2,DE,M,White,Education
2018,Journal of Communication,1,US,M,Asian,Education
2018,Journal of Communication,1,US,M,White,Education
2018,Journal of Communication,2,US,M,White,Education
2018,Journal of Communication,1,US,F,White,Education
2018,Journal of Communication,1,US,M,Black,Non Education
2018,Journal of Communication,2,US,F,White,Non Education
2018,Journal of Communication,1,US,M,White,Education
2018,Journal of Communication,2,SE,F,White,Education
2018,Journal of Communication,3,US,M,Asian,Education
2018,Journal of Communication,1,KR,F,Asian,Education
2018,Journal of Communication,2,US,M,White,Education
2018,Journal of Communication,1,US,F,Asian,Education
2018,Journal of Communication,2,US,M,White,Education
2018,Journal of Communication,3,US,M,White,Education
2018,Journal of Communication,1,US,M,White,Education
2018,Journal of Communication,2,US,M,White,Education
2018,Journal of Communication,3,US,F,White,Education
2018,Journal of Communication,1,CH,F,White,Education
2018,Journal of Communication,2,CH,M,White,Education
2018,Journal of Communication,3,CH,F,White,Education
2018,Journal of Communication,1,DE,F,White,Education
2018,Journal of Communication,2,DE,F,White,Education
2018,Journal of Communication,3,DE,F,White,Education
2018,Journal of Communication,4,DE,M,White,Education
2018,Journal of Communication,1,CN,F,Asian,Education
2018,Journal of Communication,1,IL,M,White,Education
2018,Journal of Communication,2,IL,F,Hispanic,Education
2018,Journal of Communication,3,IL,M,White,Education
2018,Journal of Communication,1,AR,F,White,Education
2018,Journal of Communication,2,US,M,Hispanic,Education
2018,Journal of Communication,1,US,F,White,Education
2018,Journal of Communication,2,US,M,White,Education
2018,Journal of Communication,1,CN,M,Asian,Education
2018,Journal of Communication,1,US,M,White,Education
2018,Journal of Communication,2,US,M,White,Education
2018,Journal of Communication,1,GB,F,White,Education
2018,Journal of Communication,2,SG,M,White,Education
2018,Journal of Communication,1,US,F,White,Education
2018,Journal of Communication,2,US,M,White,Education
2018,Journal of Communication,3,US,M,Hispanic,Education
2018,Journal of Communication,4,US,F,White,Education
2018,Journal of Communication,1,US,M,Asian,Education
2018,Journal of Communication,2,US,F,White,Education
2018,Journal of Communication,1,US,M,White,Education
2018,Journal of Communication,2,GB,M,White,Education
2018,Journal of Communication,1,US,M,Black,Education
2018,Journal of Communication,1,US,M,White,Education
2018,Journal of Communication,2,DE,F,White,Education
2018,Journal of Communication,1,US,F,Asian,Education
2018,Journal of Communication,2,US,F,Asian,Education
2018,Journal of Communication,3,US,F,White,Education
2018,Journal of Communication,4,US,M,Black,Education
2018,Journal of Communication,1,SE,F,White,Education
2018,Journal of Communication,2,TH,M,White,Non Education
2018,Journal of Communication,1,CA,M,White,Education
2018,Journal of Communication,1,US,M,White,Education
2018,Journal of Communication,1,US,M,White,Education
2018,Journal of Communication,2,US,F,White,Education
2018,Journal of Communication,1,AU,F,White,Education
2018,Journal of Communication,2,CN,F,White,Education
2018,Journal of Communication,3,AU,M,White,Education
2018,Journal of Communication,1,GB,F,White,Education
2018,Journal of Communication,2,AU,F,Asian,Education
2018,Journal of Communication,1,US,F,White,Education
2018,Journal of Communication,2,CH,M,White,Education
2018,Journal of Communication,1,US,M,Middle Eastern,Education
2018,Journal of Communication,1,US,M,Asian,Education
2018,Journal of Communication,2,US,F,Asian,Education
2018,Journal of Communication,1,GB,M,White,Education
2018,Journal of Communication,1,US,M,White,Education
2018,Journal of Communication,1,US,F,White,Education
2018,Journal of Communication,2,US,M,White,Education
2018,Journal of Communication,3,US,M,White,Education
2018,Journal of Communication,4,DE,M,White,Education
2018,Journal of Communication,5,NL,M,White,Education
2018,Journal of Communication,6,DE,F,White,Education
2018,Journal of Communication,7,DE,M,White,Education
2018,Journal of Communication,8,US,F,White,Education
2018,Journal of Communication,9,DE,F,Asian,Education
2018,Journal of Communication,10,US,F,Hispanic,Education
2018,Journal of Communication,11,DE,M,White,Education
2018,Journal of Communication,12,DE,F,White,Education
2018,Journal of Communication,13,US,F,White,Education
2018,Journal of Communication,14,NL,F,White,Education
2018,Journal of Communication,1,CN,M,White,Education
2018,Journal of Communication,1,SI,M,White,Education
2018,Journal of Communication,2,SI,M,White,Education
2018,Journal of Communication,1,US,M,White,Education
2018,Journal of Communication,2,GB,M,White,Education
2018,Journal of Communication,1,US,M,White,Education
2018,Journal of Communication,2,US,M,White,Education
2018,Journal of Communication,3,US,F,White,Education
2018,Journal of Communication,1,ZA,M,White,Education
2018,Journal of Communication,1,PH,M,White,Education
2018,Journal of Communication,2,US,F,White,Education
2018,Journal of Communication,3,US,M,White,Education
2018,Journal of Communication,4,US,M,White,Education
2018,Journal of Communication,1,US,M,Asian,Education
2018,Journal of Communication,2,GB,F,Hispanic,Education
2018,Journal of Communication,3,US,F,Hispanic,Education
2018,Journal of Communication,1,NL,M,White,Education
2018,Journal of Communication,2,NL,F,White,Education
2018,Journal of Communication,3,NL,M,White,Education
2018,Journal of Communication,1,IL,F,White,Education
2018,Journal of Communication,2,US,F,White,Education
2018,Journal of Communication,1,US,F,White,Education
2018,Journal of Communication,2,US,M,White,Education
2018,Journal of Communication,3,US,F,White,Education
2018,Journal of Communication,1,PH,M,White,Education
2018,Journal of Communication,1,PH,M,White,Education
2018,Journal of Communication,2,CH,F,White,Education
2018,Journal of Communication,1,US,M,White,Education
2018,Journal of Communication,2,US,M,White,Education
2018,Journal of Communication,3,US,M,Indigenous,Non Education
2018,Journal of Communication,4,US,M,White,Non Education
2018,Journal of Communication,1,US,F,White,Education
2018,Journal of Communication,2,US,F,White,Education
2018,Journal of Communication,3,US,F,White,Education
2017,Journal of Communication,1,US,F,White,Education
2017,Journal of Communication,1,US,M,White,Education
2017,Journal of Communication,2,US,M,White,Education
2017,Journal of Communication,3,US,F,White,Education
2017,Journal of Communication,1,US,F,White,Education
2017,Journal of Communication,2,US,F,White,Education
2017,Journal of Communication,1,US,M,White,Education
2017,Journal of Communication,2,US,M,White,Education
2017,Journal of Communication,3,US,F,White,Education
2017,Journal of Communication,4,US,F,Black,Education
2017,Journal of Communication,5,US,F,White,Education
2017,Journal of Communication,1,US,F,White,Education
2017,Journal of Communication,2,US,F,White,Education
2017,Journal of Communication,1,CL,F,Hispanic,Education
