doi,url,title,journal,authorName,gscholarLink,firstName,gender,gender_prob,gender_basedon,genderAgree,gender_api,gender_accu,gender_samples,lastName,race,affiliation,ror_affname,ror_id,ror_afftype,us_state,ror_country
10.1111/j.1468-2958.1979.tb00293.x,https://academic.oup.com/hcr/article/6/1/74/4626832,Implications of a Neurophysiological Approach for the Study of a Nonverbal Communication,Human Communication Research,Peter A. Andersen,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Peter+Andersen,Peter,male,0.99,165452,True,male,99,146529,Andersen,white,"1 Peter A. Andersen (Ph.D., Florida State University, 1975) is assistant professor of speech communication at West Virginia University, Morgantown, West Virginia 26506",West Virginia State University,https://ror.org/04ykhhw18,Education,West Virginia,US
10.1111/j.1460-2466.1984.tb02185.x,https://academic.oup.com/joc/article/34/4/12/4282735,Compliments: A Descriptive Taxonomy,Journal of Communication,Robert Hopper,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Robert+Hopper,Robert,male,0.99,177418,True,male,99,145540,Hopper,white,"1 Mark L. Knapp is Visiting Professor of Speech Communication and Robert Hopper is Charles Sapp Centennial Professor of Communication, both at the University of Texas at Austin",The University of Texas at Austin,https://ror.org/00hj54h04,Education,,US
10.1111/j.1083-6101.2000.tb00113.x,https://academic.oup.com/jcmc/article/6/1/JCMC612/4584239,Functional Work Groups and Evaluations of Communication Channels: Comparisons of Six Competing Theoretical Perspectives,Journal of Computer-Mediated Communication,Hui-Jung Chang,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Hui-Jung+Chang,Hui-Jung,male,1,1,True,male,59,3161,Chang,Asian,"2 (Ph.D., Michigan State University, 1996) is Assistant Professor of the Institute of Communications Management at the National Sun Yat-sen University in Taiwan. Currently her research focuses on boundary spanning communication, organizational media usages, media management and public relations.",National Sun Yat-sen University,https://ror.org/00mjawt10,Education,,TW
10.1111/j.1460-2466.2004.tb02629.x,https://academic.oup.com/joc/article/54/2/287/4102973,Increases in Calls to the CDC National STD and AIDS Hotline following AIDS-Related Episodes in a Soap Opera,Journal of Communication,Ann O'Leary,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Ann+O'Leary,Ann,female,0.97,28026,True,female,97,23825,O'Leary,white,"2 Ann O'Leary (PhD, Stanford University) is a senior behavioral scientist at the Division of HIV/AIDS at CDC",Áiseanna Tacaíochta,https://ror.org/03hebkk07,Other,,IE
10.1111/jcom.12082,https://academic.oup.com/joc/article/64/2/215/4086105,Laboratories of Oligarchy? How the Iron Law Extends to Peer Production,Journal of Communication,Aaron Shaw,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Aaron+Shaw,Aaron,male,0.99,24633,True,male,99,36714,Shaw,white,"1 Department of Communication Studies, Northwestern University, Evanston, IL, 60208, USA",University of Northwestern,https://ror.org/019t2rq07,Education,Minnesota,US
10.1111/j.1460-2466.1990.tb02285.x,https://academic.oup.com/joc/article/40/4/117/4210609,A Question of Quality: How Journalists and News Sources Evaluate Coverage of Environmental Risk,Journal of Communication,Peter M. Sandman,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Peter+Sandman,Peter,male,0.99,165452,True,male,99,146529,Sandman,white,"2 Graduate Program in Public Health, Rutgers University, and the University of Medicine and Dentistry of New Jersey","Rutgers, The State University of New Jersey",https://ror.org/05vt9qd57,Education,New Jersey,US
10.1111/j.1468-2958.1991.tb00545.x,https://academic.oup.com/hcr/article/18/2/228/4575824,Some Evident Truths About Conversations in Everyday Relationships: All Communications Are Not Created Equal,Human Communication Research,Heather Strejc,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Heather+Strejc,Heather,female,0.98,6049,True,female,99,26287,Strejc,white,1 Daniel and Amy Starch Research Professor in the Department of Communication Studies at the University of Iowa,Iowa Department for the Blind,https://ror.org/00w8gjz75,Government,Iowa,US
10.1111/j.1083-6101.2007.00388.x,https://academic.oup.com/jcmc/article/13/1/100/4583049,Every Blog Has Its Day: Politically-interested Internet Users’ Perceptions of Blog Credibility,Journal of Computer-Mediated Communication,Barbara K. Kaye,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Barbara+Kaye,Barbara,female,0.98,94709,True,female,98,58381,Kaye,white,2 School of Journalism &amp; Electronic Media University of Tennessee,Danish School of Media and Journalism,https://ror.org/044rdrs62,Education,,DK
10.1111/j.1468-2958.2008.00326.x,https://academic.oup.com/hcr/article/34/3/392/4210798,Mothers’ Trait Verbal Aggressiveness as a Predictor of Maternal and Child Behavior During Playtime Interactions,Human Communication Research,Julie E. Delaney,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Julie+Delaney,Julie,female,0.98,116926,True,female,98,72376,Delaney,white,"1 Department of Communication, Purdue University, West Lafayette, IN 47907-2098",Purdue University West Lafayette,https://ror.org/02dqehb95,Education,Indiana,US
10.1111/j.1468-2958.2001.tb00781.x,https://academic.oup.com/hcr/article/27/2/216/4554817,The Role and Impact of Affect in the Process of Resistance to Persuasion,Human Communication Research,Erin Alison Szabo,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Erin+Szabo,Erin,female,0.77,3169,True,female,96,16296,Szabo,white,"2 (Ph.D., University of Wisconsin-Madison, 2000) is visiting assistant professor in the Department of Communication Arts, at the University of Wisconsin-Madison.",University of Wisconsin–Madison,https://ror.org/01y2jtd41,Education,,US
10.1111/j.1083-6101.2009.01476.x,https://academic.oup.com/jcmc/article/14/4/928/4583556,The Influence of the Internet on European Journalism,Journal of Computer-Mediated Communication,Nayia Roussou,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Nayia+Roussou,Nayia,female,1,35,True,female,100,22,Roussou,white,"7 Department of Communications, University of Nicosia",University of Nicosia,https://ror.org/04v18t651,Education,,CY
10.1111/j.1460-2466.1992.tb00770.x,https://academic.oup.com/joc/article/42/1/82/4210105,Non-Routine News and Newswork: Exploring a What-a-Story,Journal of Communication,Dan Berkowitz,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Dan+Berkowitz,Dan,male,0.95,55986,True,male,97,61524,Berkowitz,white,"1 Dan Berkowitz is an assistant professor in the School of Journalism and Mass Communication at the University of Iowa, Iowa City. The author thanks the many people who commented on evolving drafts of this study.",Ghana Institute of Journalism,https://ror.org/03f6z9r32,Education,,GH
10.1111/comt.12008,https://academic.oup.com/ct/article/23/2/148/4085728,"Exploring Complex Organizational Communities: Identity as Emergent Perceptions, Boundaries, and Relationships",Communication Theory,Nina K. Miller,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Nina+Miller,Nina,female,0.98,80011,True,female,98,42386,Miller,white,"2 Herberger Institute for Design and the Arts, Arizona State University, Tempe, AZ, USA",Arizona School for the Arts,https://ror.org/00a0wam85,Education,Arizona,US
10.1111/j.1460-2466.1984.tb02985.x,https://academic.oup.com/joc/article/34/1/62/4282743,Covering Cancer: Newspapers and the Public Interest,Journal of Communication,Vicki S. Freimuth,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Vicki+Freimuth,Vicki,female,0.96,3388,True,female,96,5715,Freimuth,white,"1 Vicki S. Freimuth is an Associate Professor and Jean DeWitt is a doctoral student, both in the Department of Communication, University of Maryland, College Park. DeWitt is also on the faculty of Texas A&amp;M University",Łukasiewicz Research Network - Institute of Welding,https://ror.org/05xx8bb48,Facility,,PL
10.1111/j.1460-2466.2004.tb02631.x,https://academic.oup.com/joc/article/54/2/321/4102939,Factual and Evaluative Approaches to Modifying Children's Responses to Violent Television1,Journal of Communication,Amy I. Nathanson,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Amy+Nathanson,Amy,female,0.97,31233,True,female,98,42632,Nathanson,white,"1 Amy I. Nathanson (PhD, University of Wisconsin, Madison) is on the faculty of the School of Journalism and Communication, Ohio State University",University of Wisconsin–Madison,https://ror.org/01y2jtd41,Education,,US
10.1111/j.1468-2885.2007.00308.x,https://academic.oup.com/ct/article/17/4/486/4098729,The Successive Use of Information and Communication Technologies at Work,Communication Theory,Keri K. Stephens,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Keri+Stephens,Keri,female,0.79,734,True,female,92,1707,Stephens,white,"1 Department of Communication Studies, University of Texas at Austin, TX 78712-0115",The University of Texas at Austin,https://ror.org/00hj54h04,Education,,US
10.1111/j.1460-2466.2011.01553.x,https://academic.oup.com/joc/article/61/3/535/4098574,Revisiting the Worksite in Worksite Health Campaigns: Evidence From a Multisite Organ Donation Campaign,Journal of Communication,LaShara A. Davis,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=LaShara+Davis,LaShara,,0,0,False,female,100,4,Davis,white,"6 Washington University School of Medicine, St. Louis, MO 63110, USA",Washington University in St. Louis,https://ror.org/01yc7t268,Education,Missouri,US
10.1111/j.1460-2466.1991.tb02312.x,https://academic.oup.com/joc/article/41/2/102/4210088,Redefining Glasnost in the Soviet Media: The Recontextualization of Chernobyl,Journal of Communication,Marilyn J. Young,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Marilyn+Young,Marilyn,female,0.97,6581,True,female,97,7167,Young,white,"1 Marilyn J. Young is Professor of Communication at the Florida State University, Tallahassee",University of Florida,https://ror.org/02y3ad647,Education,,US
10.1111/j.1468-2958.1986.tb00081.x,https://academic.oup.com/hcr/article/12/3/339/4584091,"“Come to Think of It…”: Interrogative Probes, Deceptive Communication, and Deception Detection",Human Communication Research,James B. Stiff,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=James+Stiff,James,male,0.99,117309,True,male,99,131879,Stiff,white,"1 James B. Stiff (Ph.D., Michigan State University, 1985) is assistant professor of communication at Michigan State University",Michigan State University,https://ror.org/05hs6h993,Education,,US
10.1111/j.1083-6101.2012.01595.x,https://academic.oup.com/jcmc/article/18/1/97/4065295,"Online Reviews, Helpfulness Ratings, and Consumer Attitudes: An Extension of Congruity Theory to Multiple Sources in Web 2.0",Journal of Computer-Mediated Communication,Donghee Yvette Wohn,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Donghee+Wohn,Donghee,male,0.71,139,True,male,76,82,Wohn,white,"4 Department of Telecommunication, Information Studies &amp; Media, Michigan State University, USA",Michigan State University,https://ror.org/05hs6h993,Education,,US
10.1093/joc/jqy043,https://academic.oup.com/joc/article/68/5/872/5143217,Network Neuroscience Reveals Distinct Neuromarkers of Flow During Media Use,Journal of Communication,René Weber,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=René+Weber,René,male,1,4,True,male,98,12079,Weber,white,"Media Neuroscience Lab, Department of Communication, University of California Santa Barbara, Santa Barbara, CA, USA","University of California, Santa Barbara",https://ror.org/02t274463,Education,,US
10.1093/joc/jqy051,https://academic.oup.com/joc/article/68/6/1007/5160090,Newspaper Closures Polarize Voting Behavior,Journal of Communication,Johanna L Dunaway,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Johanna+Dunaway,Johanna,female,0.97,25767,True,female,98,15895,Dunaway,white,"Texas A&amp;M University System, Department of Communication, College Station, TX, USA",Texas A&M University System,https://ror.org/0034eay46,Education,Texas,US
10.1093/ccc/tcz056,https://academic.oup.com/ccc/article/13/1/138/5812647,Mass Media and Social Media Configuration Under Hugo Chavez Populist Discourse: Differences and Contrasts,"Communication, Culture and Critique",Alejandro G Motta Nicolicchia,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Alejandro+Nicolicchia,Alejandro,male,0.99,56977,True,male,99,45618,Nicolicchia,white,"Panamericana University , Mexico City,  Mexico",Universidad de las Américas,https://ror.org/02j003371,Education,,MX
10.1093/jcmc/zmy008,https://academic.oup.com/jcmc/article/23/3/163/4962541,"Performing a Vanilla Self: Respectability Politics, Social Class, and the Digital World",Journal of Computer-Mediated Communication,danah boyd,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=danah+boyd,danah,female,0.93,306,True,female,95,221,Boyd,white,"Data &amp; Society Research Institute, New York, NY 10011, USA  Microsoft Research, New York, NY 10011, USA",New Music USA,https://ror.org/030rh2891,Other,New York,US
10.1093/ccc/tcy015,https://academic.oup.com/ccc/article/11/3/418/5060327,Legitimating Media: Shakespeare’s Awkward Travels Through Video Games and Twitter,"Communication, Culture and Critique",Jonathan Sterne,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Jonathan+Sterne,Jonathan,male,0.99,87986,True,male,99,84386,Sterne,white,"Art History and Communication Studies, McGill University , Montreal, QC,  Canada",Quincy College,https://ror.org/03ej8cj80,Education,Massachusetts,US
10.1111/j.1468-2885.2007.00293.x,https://academic.oup.com/ct/article/17/3/205/4098651,Toward a Theory of Agentic Orientation: Rhetoric and Agency in Run Lola Run,Communication Theory,Sonja K. Foss,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Sonja+Foss,Sonja,female,0.98,21258,True,female,98,10955,Foss,white,"1 Department of Communication, University of Colorado, Denver, CO 80217-3364",University of Colorado Denver,https://ror.org/02hh7en24,Education,Colorado,US
10.1111/j.1460-2466.1951.tb00097.x,https://academic.oup.com/joc/article/1/1/30/4609469,The Most Important Problems of College Courses in Communication*,Journal of Communication,W. Charles Redding,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=W.+Redding,W.,,0,0,False,male,80,260,Redding,white,"1 Assistant Professor of Speech, University of Southern California",University of Southern California,https://ror.org/03taz7m60,Education,California,US
10.1093/ccc/tcy003,https://academic.oup.com/ccc/article/11/1/209/4953991,"Torture Born: Babies, Bloodshed and The Feminist Gaze in Hulu’s The Handmaid’s Tale","Communication, Culture and Critique",Jennifer Maher,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Jennifer+Maher,Jennifer,female,0.98,90255,True,female,98,88317,Maher,white,"1021 E. Kirk wood Ave, Bloomington, Indiana 47405, USA",Indiana University Bloomington,https://ror.org/02k40bc56,Education,Indiana,US
10.1111/comt.12007,https://academic.oup.com/ct/article/23/2/131/4085710,Journalism-as-a-Conversation: A Concept Explication,Communication Theory,Doreen Marie Marchionni,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Doreen+Marchionni,Doreen,female,0.97,6429,True,female,98,4074,Marchionni,white,"1 Department of Communication &amp; Theatre, Pacific Lutheran University, Tacoma, WA, USA",Pacific Lutheran University,https://ror.org/01vh5nd96,Education,Washington,US
10.1093/hcr/hqx005,https://academic.oup.com/hcr/article/44/2/127/4841748,Relational Change Following Hurtful Conflict: An Extension of Identity Implications Theory,Human Communication Research,Quinten S Bernhold,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Quinten+Bernhold,Quinten,male,0.97,333,True,male,100,1969,Bernhold,white,"Department of Communication, University of California, Santa Barbara, Santa Barbara, CA 93106, USA","University of California, Santa Barbara",https://ror.org/02t274463,Education,,US
10.1111/j.1468-2958.2008.01339.x,https://academic.oup.com/hcr/article/35/1/86/4107447,Sex Workers and HIV/AIDS: Analyzing Participatory Culture-Centered Health Communication Strategies,Human Communication Research,Ambar Basu,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Ambar+Basu,Ambar,female,0.84,748,True,female,72,1039,Basu,Asian,"1 Department of Communication, University of South Florida, Tampa, FL 33620",University of South Florida,https://ror.org/032db5x82,Education,Florida,US
10.1111/j.1083-6101.1998.tb00089.x,https://academic.oup.com/jcmc/article/4/1/JCMC411/4584378,Locating Information in an Online Newspaper,Journal of Computer-Mediated Communication,Christof van Nimwegen,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Christof+Nimwegen,Christof,male,0.99,2019,True,male,99,1226,Nimwegen,white,"2 Studied Cognitive Ergonomics, Department of Psychonomics at Utrecht University. He specialized in communication and interactive media. He is now with Capi Lux Amsterdam, Department of Image Management. He is responsible for the development of user interfaces of multimedia products.",He University,https://ror.org/00x4qp065,Education,,CN
10.1111/j.1468-2958.2005.tb00877.x,https://academic.oup.com/hcr/article/31/3/399/4331538,Media Effects on Ethnic Identity among Linguistic Majorities and Minorities: A Longitudinal Study of a Bilingual Setting,Human Communication Research,Gordon Josephson,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Gordon+Josephson,Gordon,male,0.99,6411,True,male,99,7416,Josephson,white,1 University of Ottawa,University of Ottawa,https://ror.org/03c4mmv16,Education,Ontario,CA
10.1111/jcc4.12051,https://academic.oup.com/jcmc/article/19/2/155/4067507,Crowd-Funded Journalism*,Journal of Computer-Mediated Communication,Lian Jian,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Lian+Jian,Lian,female,0.62,1380,True,female,58,1227,Jian,Asian,"1 Annenberg School for Communication, University of Southern California, 3502 Watt Way, Los Angeles, CA, 90089","University of California, Los Angeles",https://ror.org/046rm7j60,Education,,US
10.1111/j.1460-2466.1981.tb01238.x,https://academic.oup.com/joc/article/31/2/155/4371970,Reaching the Public: The Asbestos Awareness Campaign,Journal of Communication,Vicki S. Freimuth,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Vicki+Freimuth,Vicki,female,0.96,3388,True,female,96,5715,Freimuth,white,"1 Vicki S. Freimuth is at the Communication Research Center, Department of Communication Arts, University of Maryland",Communication University of China,https://ror.org/04facbs33,Education,,CN
10.1111/j.1083-6101.2008.00422.x,https://academic.oup.com/jcmc/article/13/4/856/4583536,Developing network indicators for ideological landscapes from the political blogosphere in South Korea,Journal of Computer-Mediated Communication,Han Woo Park,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Han+Park,Han,male,0.73,5588,True,male,72,4580,Park,Asian,1 YeungNam University Korea (South),Yeungnam University,https://ror.org/05yc6p159,Education,,KR
10.1093/joc/jqy018,https://academic.oup.com/joc/article/68/3/612/4986442,Peace Communication in Cross-border Media Flows,Journal of Communication,Anup Kumar,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Anup+Kumar,Anup,male,0.99,695,True,male,100,3641,Kumar,Asian,"School of Communication, Cleveland State University, Cleveland, OH 44115 USA",Cleveland State University,https://ror.org/002tx1f22,Education,Ohio,US
10.1111/j.1460-2466.1980.tb02008.x,https://academic.oup.com/joc/article/30/3/207/4372018,Public Broadcasting: A Bibliography,Journal of Communication,Christopher Sterling,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Christopher+Sterling,Christopher,male,0.99,53539,True,male,99,55041,Sterling,white,1 Temple University,Temple University,https://ror.org/00kx1jb78,Education,Pennsylvania,US
10.1111/j.1460-2466.2008.00381.x,https://academic.oup.com/joc/article/58/2/201/4098517,Hostile News: Partisan Use and Perceptions of Cable News Programming,Journal of Communication,Kristin L. Drogos,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Kristin+Drogos,Kristin,female,0.93,6934,True,female,98,9818,Drogos,white,"1 Department of Speech Communication, University of Illinois at Urbana–Champaign, Urbana, IL 61801",University of Illinois Urbana-Champaign,https://ror.org/047426m28,Education,,US
