doi,url,title,journal,datePublished,authorName,numberOfAuthors,authorPosition,affiliation,firstName,lastName,gender,gender_prob,gender_basedon,gscholarLink
10.1111/j.1460-2466.2007.00366.x,https://academic.oup.com/joc/article/57/4/739/4102705,The Gender News Use Divide: Americans’ Sex-Typed Selective Exposure to Online News Topics,Journal of Communication,2007-12-12,Scott Alter,2.0,2.0,"2 University of Medicine and Dentistry of New Jersey, Robert Wood Johnson Medical School, Piscataway, NY 08854",Scott,Alter,male,0.99,31815,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Scott+Alter
10.1111/j.1468-2885.2011.01394.x,https://academic.oup.com/ct/article/21/4/436/4085706,Subjective Posture and Subjective Affluence: Chicago Field Theories in the U.S. Media and Political Systems,Communication Theory,2011-10-17,Richard Besel,3.0,2.0,"2 Department of Communication Studies, California Polytechnic State University, San Luis Obispo, CA 93407, USA",Richard,Besel,male,0.99,101928,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Richard+Besel
10.1111/j.1460-2466.1980.tb02013.x,https://academic.oup.com/joc/article/30/4/28/4371859,Home Video Recorders: Rights and Ratings,Journal of Communication,2006-02-07,Donald E. Agostino,3.0,1.0,1 All in the Department of Telecommunications at Indiana University,Donald,Agostino,male,0.98,12059,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Donald+Agostino
10.1111/j.1753-9137.2009.01037.x,https://academic.oup.com/ccc/article/2/2/234/4067419,Critical Media Industry Studies: A Research Approach,"Communication, Culture and Critique",2009-07-21,Timothy Havens,3.0,1.0,"1 Department of Communication Studies and African American Studies Program, The University of Iowa, Iowa City, IA 52242-1498",Timothy,Havens,male,0.99,13105,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Timothy+Havens
10.1093/joc/jqaa011,https://academic.oup.com/joc/article/70/4/548/5841553,Understanding News Coverage of Religious-based Violence: Empirical and Theoretical Insights from Media Representations of Boko Haram in Nigeria,Journal of Communication,2020-03-20,Leila Demarest,3.0,1.0,"Institute of Political Science , Leiden University, Leiden,  Netherlands",Leila,Demarest,female,0.99,42402,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Leila+Demarest
10.1111/j.1460-2466.2008.00385.x,https://academic.oup.com/joc/article/58/2/280/4098525,Understanding the Third-Person Perception: Evidence From a Meta-Analysis,Journal of Communication,2008-07-09,Ye Sun,3.0,1.0,"1 Department of Communication Arts, University of Madison–Wisconsin, WI 53706",Ye,Sun,male,0.54,1419,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Ye+Sun
10.1111/j.1460-2466.2009.01441.x,https://academic.oup.com/joc/article/59/3/609/4098552,Viewing Angle Matters—Screen Type Does Not,Journal of Communication,2009-09-28,Steven Bellman,3.0,1.0,"1 Interactive Television Research Institute, Murdoch University, Murdoch, WA 6150, Australia",Steven,Bellman,male,0.99,61542,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Steven+Bellman
10.1111/j.1460-2466.1961.tb00008.x,https://academic.oup.com/joc/article/11/4/220/4587369,Group Dynamics Techniques and the Teaching of Composition,Journal of Communication,2006-02-07,Bernard Knieger,1.0,1.0,"1 Dr. Knieger (Ph.D., Harvard University, 1952) participated in a group dynamics laboratory and seminar at the University of Wisconsin in Milwaukee, where he was an assistant professor of English, and in the National Training Laboratory in Group Development at Bethel, Maine; his “A Delegate Looks at Bethel” appeared in the March, 1960, issue of Adult Leadership. At present he is a faculty member of Washington State University",Bernard,Knieger,male,0.98,38897,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Bernard+Knieger
10.1111/j.1468-2958.1979.tb00293.x,https://academic.oup.com/hcr/article/6/1/74/4626832,Implications of a Neurophysiological Approach for the Study of a Nonverbal Communication,Human Communication Research,2006-03-17,Peter A. Andersen,3.0,1.0,"1 Peter A. Andersen (Ph.D., Florida State University, 1975) is assistant professor of speech communication at West Virginia University, Morgantown, West Virginia 26506",Peter,Andersen,male,0.99,165452,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Peter+Andersen
10.1111/j.1460-2466.1984.tb02185.x,https://academic.oup.com/joc/article/34/4/12/4282735,Compliments: A Descriptive Taxonomy,Journal of Communication,2006-02-07,Robert Hopper,3.0,2.0,"1 Mark L. Knapp is Visiting Professor of Speech Communication and Robert Hopper is Charles Sapp Centennial Professor of Communication, both at the University of Texas at Austin",Robert,Hopper,male,0.99,177418,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Robert+Hopper
10.1111/j.1083-6101.2000.tb00113.x,https://academic.oup.com/jcmc/article/6/1/JCMC612/4584239,Functional Work Groups and Evaluations of Communication Channels: Comparisons of Six Competing Theoretical Perspectives,Journal of Computer-Mediated Communication,2000-09-01,Hui-Jung Chang,6.0,2.0,"2 (Ph.D., Michigan State University, 1996) is Assistant Professor of the Institute of Communications Management at the National Sun Yat-sen University in Taiwan. Currently her research focuses on boundary spanning communication, organizational media usages, media management and public relations.",Hui-Jung,Chang,male,1,1,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Hui-Jung+Chang
10.1111/j.1460-2466.2004.tb02629.x,https://academic.oup.com/joc/article/54/2/287/4102973,Increases in Calls to the CDC National STD and AIDS Hotline following AIDS-Related Episodes in a Soap Opera,Journal of Communication,2006-01-10,Ann O'Leary,5.0,2.0,"2 Ann O'Leary (PhD, Stanford University) is a senior behavioral scientist at the Division of HIV/AIDS at CDC",Ann,O'Leary,female,0.97,28026,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Ann+O'Leary
10.1111/jcom.12082,https://academic.oup.com/joc/article/64/2/215/4086105,Laboratories of Oligarchy? How the Iron Law Extends to Peer Production,Journal of Communication,2014-03-17,Aaron Shaw,2.0,1.0,"1 Department of Communication Studies, Northwestern University, Evanston, IL, 60208, USA",Aaron,Shaw,male,0.99,24633,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Aaron+Shaw
10.1111/j.1460-2466.1990.tb02285.x,https://academic.oup.com/joc/article/40/4/117/4210609,A Question of Quality: How Journalists and News Sources Evaluate Coverage of Environmental Risk,Journal of Communication,2006-02-07,Peter M. Sandman,4.0,3.0,"2 Graduate Program in Public Health, Rutgers University, and the University of Medicine and Dentistry of New Jersey",Peter,Sandman,male,0.99,165452,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Peter+Sandman
10.1111/j.1468-2958.1991.tb00545.x,https://academic.oup.com/hcr/article/18/2/228/4575824,Some Evident Truths About Conversations in Everyday Relationships: All Communications Are Not Created Equal,Human Communication Research,2006-03-17,Heather Strejc,4.0,4.0,1 Daniel and Amy Starch Research Professor in the Department of Communication Studies at the University of Iowa,Heather,Strejc,female,0.98,6049,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Heather+Strejc
10.1111/j.1083-6101.2007.00388.x,https://academic.oup.com/jcmc/article/13/1/100/4583049,Every Blog Has Its Day: Politically-interested Internet Users’ Perceptions of Blog Credibility,Journal of Computer-Mediated Communication,2007-10-01,Barbara K. Kaye,4.0,2.0,2 School of Journalism &amp; Electronic Media University of Tennessee,Barbara,Kaye,female,0.98,94709,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Barbara+Kaye
10.1111/j.1468-2958.2008.00326.x,https://academic.oup.com/hcr/article/34/3/392/4210798,Mothers’ Trait Verbal Aggressiveness as a Predictor of Maternal and Child Behavior During Playtime Interactions,Human Communication Research,2008-07-01,Julie E. Delaney,4.0,4.0,"1 Department of Communication, Purdue University, West Lafayette, IN 47907-2098",Julie,Delaney,female,0.98,116926,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Julie+Delaney
10.1111/j.1468-2958.2001.tb00781.x,https://academic.oup.com/hcr/article/27/2/216/4554817,The Role and Impact of Affect in the Process of Resistance to Persuasion,Human Communication Research,2006-01-10,Erin Alison Szabo,6.0,2.0,"2 (Ph.D., University of Wisconsin-Madison, 2000) is visiting assistant professor in the Department of Communication Arts, at the University of Wisconsin-Madison.",Erin,Szabo,female,0.77,3169,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Erin+Szabo
10.1111/j.1083-6101.2009.01476.x,https://academic.oup.com/jcmc/article/14/4/928/4583556,The Influence of the Internet on European Journalism,Journal of Computer-Mediated Communication,2009-07-01,Nayia Roussou,9.0,7.0,"7 Department of Communications, University of Nicosia",Nayia,Roussou,female,1,35,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Nayia+Roussou
10.1111/j.1460-2466.1992.tb00770.x,https://academic.oup.com/joc/article/42/1/82/4210105,Non-Routine News and Newswork: Exploring a What-a-Story,Journal of Communication,2006-02-07,Dan Berkowitz,1.0,1.0,"1 Dan Berkowitz is an assistant professor in the School of Journalism and Mass Communication at the University of Iowa, Iowa City. The author thanks the many people who commented on evolving drafts of this study.",Dan,Berkowitz,male,0.95,55986,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Dan+Berkowitz
10.1111/comt.12008,https://academic.oup.com/ct/article/23/2/148/4085728,"Exploring Complex Organizational Communities: Identity as Emergent Perceptions, Boundaries, and Relationships",Communication Theory,2013-03-19,Nina K. Miller,2.0,2.0,"2 Herberger Institute for Design and the Arts, Arizona State University, Tempe, AZ, USA",Nina,Miller,female,0.98,80011,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Nina+Miller
10.1111/j.1460-2466.1984.tb02985.x,https://academic.oup.com/joc/article/34/1/62/4282743,Covering Cancer: Newspapers and the Public Interest,Journal of Communication,2006-02-07,Vicki S. Freimuth,4.0,1.0,"1 Vicki S. Freimuth is an Associate Professor and Jean DeWitt is a doctoral student, both in the Department of Communication, University of Maryland, College Park. DeWitt is also on the faculty of Texas A&amp;M University",Vicki,Freimuth,female,0.96,3388,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Vicki+Freimuth
10.1111/j.1460-2466.2004.tb02631.x,https://academic.oup.com/joc/article/54/2/321/4102939,Factual and Evaluative Approaches to Modifying Children's Responses to Violent Television1,Journal of Communication,2006-01-10,Amy I. Nathanson,1.0,1.0,"1 Amy I. Nathanson (PhD, University of Wisconsin, Madison) is on the faculty of the School of Journalism and Communication, Ohio State University",Amy,Nathanson,female,0.97,31233,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Amy+Nathanson
10.1111/j.1468-2885.2007.00308.x,https://academic.oup.com/ct/article/17/4/486/4098729,The Successive Use of Information and Communication Technologies at Work,Communication Theory,2007-10-23,Keri K. Stephens,1.0,1.0,"1 Department of Communication Studies, University of Texas at Austin, TX 78712-0115",Keri,Stephens,female,0.79,734,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Keri+Stephens
10.1111/j.1460-2466.2011.01553.x,https://academic.oup.com/joc/article/61/3/535/4098574,Revisiting the Worksite in Worksite Health Campaigns: Evidence From a Multisite Organ Donation Campaign,Journal of Communication,2011-06-01,LaShara A. Davis,7.0,7.0,"6 Washington University School of Medicine, St. Louis, MO 63110, USA",LaShara,Davis,,0,0,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=LaShara+Davis
10.1111/j.1460-2466.1991.tb02312.x,https://academic.oup.com/joc/article/41/2/102/4210088,Redefining Glasnost in the Soviet Media: The Recontextualization of Chernobyl,Journal of Communication,2006-02-07,Marilyn J. Young,2.0,1.0,"1 Marilyn J. Young is Professor of Communication at the Florida State University, Tallahassee",Marilyn,Young,female,0.97,6581,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Marilyn+Young
10.1111/j.1468-2958.1986.tb00081.x,https://academic.oup.com/hcr/article/12/3/339/4584091,"“Come to Think of It…”: Interrogative Probes, Deceptive Communication, and Deception Detection",Human Communication Research,2006-03-17,James B. Stiff,2.0,1.0,"1 James B. Stiff (Ph.D., Michigan State University, 1985) is assistant professor of communication at Michigan State University",James,Stiff,male,0.99,117309,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=James+Stiff
10.1111/j.1083-6101.2012.01595.x,https://academic.oup.com/jcmc/article/18/1/97/4065295,"Online Reviews, Helpfulness Ratings, and Consumer Attitudes: An Extension of Congruity Theory to Multiple Sources in Web 2.0",Journal of Computer-Mediated Communication,2012-10-01,Donghee Yvette Wohn,5.0,4.0,"4 Department of Telecommunication, Information Studies &amp; Media, Michigan State University, USA",Donghee,Wohn,male,0.71,139,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Donghee+Wohn
10.1093/joc/jqy043,https://academic.oup.com/joc/article/68/5/872/5143217,Network Neuroscience Reveals Distinct Neuromarkers of Flow During Media Use,Journal of Communication,2018-10-23,René Weber,3.0,3.0,"Media Neuroscience Lab, Department of Communication, University of California Santa Barbara, Santa Barbara, CA, USA",René,Weber,male,1,4,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=René+Weber
10.1093/joc/jqy051,https://academic.oup.com/joc/article/68/6/1007/5160090,Newspaper Closures Polarize Voting Behavior,Journal of Communication,2018-11-05,Johanna L Dunaway,3.0,3.0,"Texas A&amp;M University System, Department of Communication, College Station, TX, USA",Johanna,Dunaway,female,0.97,25767,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Johanna+Dunaway
10.1093/ccc/tcz056,https://academic.oup.com/ccc/article/13/1/138/5812647,Mass Media and Social Media Configuration Under Hugo Chavez Populist Discourse: Differences and Contrasts,"Communication, Culture and Critique",2020-03-27,Alejandro G Motta Nicolicchia,1.0,1.0,"Panamericana University , Mexico City,  Mexico",Alejandro,Nicolicchia,male,0.99,56977,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Alejandro+Nicolicchia
10.1093/jcmc/zmy008,https://academic.oup.com/jcmc/article/23/3/163/4962541,"Performing a Vanilla Self: Respectability Politics, Social Class, and the Digital World",Journal of Computer-Mediated Communication,2018-04-06,danah boyd,3.0,3.0,"Data &amp; Society Research Institute, New York, NY 10011, USA  Microsoft Research, New York, NY 10011, USA",danah,boyd,female,0.93,306,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=danah+boyd
10.1093/ccc/tcy015,https://academic.oup.com/ccc/article/11/3/418/5060327,Legitimating Media: Shakespeare’s Awkward Travels Through Video Games and Twitter,"Communication, Culture and Critique",2018-07-27,Jonathan Sterne,3.0,3.0,"Art History and Communication Studies, McGill University , Montreal, QC,  Canada",Jonathan,Sterne,male,0.99,87986,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Jonathan+Sterne
10.1111/j.1468-2885.2007.00293.x,https://academic.oup.com/ct/article/17/3/205/4098651,Toward a Theory of Agentic Orientation: Rhetoric and Agency in Run Lola Run,Communication Theory,2007-07-25,Sonja K. Foss,3.0,1.0,"1 Department of Communication, University of Colorado, Denver, CO 80217-3364",Sonja,Foss,female,0.98,21258,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Sonja+Foss
10.1111/j.1460-2466.1951.tb00097.x,https://academic.oup.com/joc/article/1/1/30/4609469,The Most Important Problems of College Courses in Communication*,Journal of Communication,2006-02-07,W. Charles Redding,1.0,1.0,"1 Assistant Professor of Speech, University of Southern California",W.,Redding,,0,0,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=W.+Redding
10.1093/ccc/tcy003,https://academic.oup.com/ccc/article/11/1/209/4953991,"Torture Born: Babies, Bloodshed and The Feminist Gaze in Hulu’s The Handmaid’s Tale","Communication, Culture and Critique",2018-03-23,Jennifer Maher,1.0,1.0,"1021 E. Kirk wood Ave, Bloomington, Indiana 47405, USA",Jennifer,Maher,female,0.98,90255,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Jennifer+Maher
10.1111/comt.12007,https://academic.oup.com/ct/article/23/2/131/4085710,Journalism-as-a-Conversation: A Concept Explication,Communication Theory,2013-03-19,Doreen Marie Marchionni,1.0,1.0,"1 Department of Communication &amp; Theatre, Pacific Lutheran University, Tacoma, WA, USA",Doreen,Marchionni,female,0.97,6429,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Doreen+Marchionni
10.1093/hcr/hqx005,https://academic.oup.com/hcr/article/44/2/127/4841748,Relational Change Following Hurtful Conflict: An Extension of Identity Implications Theory,Human Communication Research,2018-04-02,Quinten S Bernhold,4.0,1.0,"Department of Communication, University of California, Santa Barbara, Santa Barbara, CA 93106, USA",Quinten,Bernhold,male,0.97,333,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Quinten+Bernhold
10.1111/j.1468-2958.2008.01339.x,https://academic.oup.com/hcr/article/35/1/86/4107447,Sex Workers and HIV/AIDS: Analyzing Participatory Culture-Centered Health Communication Strategies,Human Communication Research,2009-01-01,Ambar Basu,2.0,1.0,"1 Department of Communication, University of South Florida, Tampa, FL 33620",Ambar,Basu,female,0.84,748,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Ambar+Basu
10.1111/j.1083-6101.1998.tb00089.x,https://academic.oup.com/jcmc/article/4/1/JCMC411/4584378,Locating Information in an Online Newspaper,Journal of Computer-Mediated Communication,1998-09-01,Christof van Nimwegen,2.0,2.0,"2 Studied Cognitive Ergonomics, Department of Psychonomics at Utrecht University. He specialized in communication and interactive media. He is now with Capi Lux Amsterdam, Department of Image Management. He is responsible for the development of user interfaces of multimedia products.",Christof,Nimwegen,male,0.99,2019,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Christof+Nimwegen
10.1111/j.1468-2958.2005.tb00877.x,https://academic.oup.com/hcr/article/31/3/399/4331538,Media Effects on Ethnic Identity among Linguistic Majorities and Minorities: A Longitudinal Study of a Bilingual Setting,Human Communication Research,2006-01-10,Gordon Josephson,4.0,3.0,1 University of Ottawa,Gordon,Josephson,male,0.99,6411,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Gordon+Josephson
10.1111/jcc4.12051,https://academic.oup.com/jcmc/article/19/2/155/4067507,Crowd-Funded Journalism*,Journal of Computer-Mediated Communication,2014-01-01,Lian Jian,2.0,1.0,"1 Annenberg School for Communication, University of Southern California, 3502 Watt Way, Los Angeles, CA, 90089",Lian,Jian,female,0.62,1380,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Lian+Jian
10.1111/j.1460-2466.1981.tb01238.x,https://academic.oup.com/joc/article/31/2/155/4371970,Reaching the Public: The Asbestos Awareness Campaign,Journal of Communication,2006-02-07,Vicki S. Freimuth,2.0,1.0,"1 Vicki S. Freimuth is at the Communication Research Center, Department of Communication Arts, University of Maryland",Vicki,Freimuth,female,0.96,3388,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Vicki+Freimuth
10.1111/j.1083-6101.2008.00422.x,https://academic.oup.com/jcmc/article/13/4/856/4583536,Developing network indicators for ideological landscapes from the political blogosphere in South Korea,Journal of Computer-Mediated Communication,2008-07-01,Han Woo Park,2.0,1.0,1 YeungNam University Korea (South),Han,Park,male,0.73,5588,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Han+Park
10.1093/joc/jqy018,https://academic.oup.com/joc/article/68/3/612/4986442,Peace Communication in Cross-border Media Flows,Journal of Communication,2018-04-26,Anup Kumar,2.0,1.0,"School of Communication, Cleveland State University, Cleveland, OH 44115 USA",Anup,Kumar,male,0.99,695,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Anup+Kumar
10.1111/j.1460-2466.1980.tb02008.x,https://academic.oup.com/joc/article/30/3/207/4372018,Public Broadcasting: A Bibliography,Journal of Communication,2006-02-07,Christopher Sterling,1.0,1.0,1 Temple University,Christopher,Sterling,male,0.99,53539,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Christopher+Sterling
10.1111/j.1460-2466.2008.00381.x,https://academic.oup.com/joc/article/58/2/201/4098517,Hostile News: Partisan Use and Perceptions of Cable News Programming,Journal of Communication,2008-07-09,Kristin L. Drogos,7.0,4.0,"1 Department of Speech Communication, University of Illinois at Urbana–Champaign, Urbana, IL 61801",Kristin,Drogos,female,0.93,6934,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Kristin+Drogos
10.1111/j.1083-6101.2012.01572.x,https://academic.oup.com/jcmc/article/17/3/247/4067660,A Multimodal Framework for Analyzing Websites as Cultural Expressions,Journal of Computer-Mediated Communication,2012-04-01,Luc Pauwels,1.0,1.0,"1 Department of Communication Studies, University of Antwerp, Belgium",Luc,Pauwels,male,0.97,26405,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Luc+Pauwels
10.1111/j.1460-2466.2008.00398.x,https://academic.oup.com/joc/article/58/3/530/4098393,The Influence of Race in Police–Civilian Interactions: A Content Analysis of Videotaped Interactions Taken During Cincinnati Police Traffic Stops,Journal of Communication,2008-08-29,Kristin L. Drogos,4.0,4.0,"1 Department of Communication, University of Illinois at Urbana–Champaign, IL 61801",Kristin,Drogos,female,0.93,6934,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Kristin+Drogos
10.1111/jcom.12187,https://academic.oup.com/joc/article/65/6/1041/4082352,"Dual Screening the Political: Media Events, Social Media, and Citizen Engagement",Journal of Communication,2015-10-28,Andrew Chadwick,3.0,2.0,"1 Department of Politics and International Relations, Royal Holloway, University of London, Surrey, TW20 0EX, UK",Andrew,Chadwick,male,0.99,60301,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Andrew+Chadwick
10.1093/jcmc/zmz024,https://academic.oup.com/jcmc/article/25/1/44/5709591,Computer-Mediated Communication in the Age of Communication Visibility,Journal of Computer-Mediated Communication,2020-01-19,Paul M Leonardi,3.0,2.0,"Technology Management Program, University of California , Santa Barbara, Phelps Hall, Santa Barbara, CA 93106–5129,  USA",Paul,Leonardi,male,0.99,148099,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Paul+Leonardi
10.1093/joc/jqy002,https://academic.oup.com/joc/article/68/2/318/4958971,"Mediating Neoliberal Capitalism: Affect, Subjectivity and Inequality",Journal of Communication,2018-04-02,Akane Kanai,2.0,2.0,"School of Media, Film and Journalism, Monash University, Victoria, Australia",Akane,Kanai,female,0.94,611,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Akane+Kanai
10.1093/jcmc/zmy020,https://academic.oup.com/jcmc/article/23/6/370/5140170,"Understanding the Effects of Personalization as a Privacy Calculus: Analyzing Self-Disclosure Across Health, News, and Commerce Contexts†",Journal of Computer-Mediated Communication,2018-10-22,Nadine Bol,8.0,1.0,"Amsterdam School of Communication Research/ASCoR, University of Amsterdam, Amsterdam, Amsterdam, The Netherlands",Nadine,Bol,female,0.98,55786,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Nadine+Bol
10.1111/j.1468-2958.2005.tb00866.x,https://academic.oup.com/hcr/article/31/1/102/4336802,Communication and Understanding in Parent–Adolescent Relationships,Human Communication Research,2006-01-10,Mary Anne Fitzpatrick,3.0,3.0,3 University of Wisconsin,Mary,Fitzpatrick,female,0.99,142684,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=Mary+Fitzpatrick
10.1111/hcre.12032,https://academic.oup.com/hcr/article/40/4/442/4093736,Expertise in Deception Detection Involves Actively Prompting Diagnostic Information Rather than Passive Behavioral Observation,Human Communication Research,2014-10-01,J. Pete Blair,6.0,3.0,"3 School of Criminal Justice, Texas State University, San Marcos, TX, USA,",J.,Blair,,0,0,https://scholar.google.com/scholar?hl=en&as_sdt=0%252C50&q=J.+Blair
