authorIndex,doi,year,journal,authorPosition,countrypred,genderpred,racepred,afftypepred
100,lsocwrocgoihsyobnsqs,2012,Journal of Communication,2.0,US,F,White,Education
101,ntturnmyqxdiftqmzdzp,1983,Journal of Communication,1.0,US,M,White,Education
102,gdrlveyiudrxholyntaw,2006,Human Communication Research,2.0,US,F,White,Education
103,zbbkknqdaodugbssrbfe,2015,Journal of Computer-Mediated Communication,2.0,US,F,White,Education
104,ivxxtwhlnwbwkvvzffbd,1989,Journal of Communication,2.0,US,F,White,Education
105,cbzcoxphfgiugwttbgob,2021,Communication Theory,2.0,US,F,White,Education
106,zrxvcmawhuuzaspuyuaw,1987,Journal of Communication,1.0,US,M,White,Education
107,pttogaxqvshyjtkhubyq,1996,Communication Theory,4.0,US,M,White,Education
108,lrlrbejrxqlqnhludfsd,1986,Human Communication Research,1.0,US,M,White,Education
109,vbleobzzivkxueqdkyol,2011,Journal of Communication,1.0,US,F,White,Education
110,ckxgcrtjugmytkicolcg,1976,Journal of Communication,2.0,US,M,White,Education
111,jcqkcahswxlqkugoxatt,2021,"Communication, Culture and Critique",1.0,US,F,Asian,Education
112,opvlkazfikzznwgcdyck,1980,Human Communication Research,1.0,US,M,White,Education
113,cmsobdpzzgbnqvajvljw,2022,Human Communication Research,1.0,NL,F,White,Education
114,osvpoowsrqryativpjak,2008,Journal of Computer-Mediated Communication,3.0,US,F,White,Education
115,qebfonvkdttfnzhqhfkz,2018,Communication Theory,4.0,US,M,White,Education
116,mmljabuebpolnnjbaeuh,2014,Communication Theory,1.0,DE,M,White,Education
117,fonosuzrbdvmsltzupcw,1979,Journal of Communication,1.0,US,M,White,Education
118,lhztvysvzzozqalspnvh,1990,Journal of Communication,2.0,US,M,White,Education
119,hmtjsogfhowlyfgqvjjv,1978,Journal of Communication,1.0,US,F,White,Education
120,mpnhlwhdwvhsxgrxtlqi,1980,Human Communication Research,2.0,US,M,White,Education
121,ujlvkufwbpbfyevzjpcn,2011,Human Communication Research,1.0,US,M,White,Education
122,xccazejwnqsfqvdcistg,2014,Journal of Communication,1.0,US,M,White,Education
123,dmenfhezdarsygsbkbxw,2012,Human Communication Research,3.0,US,F,White,Education
124,ioowdlctsnpjuehvldop,2017,Journal of Communication,1.0,IL,M,White,Education
125,tppenwferpvlzmcmtzsw,1989,Human Communication Research,1.0,PH,M,White,Education
126,xprmetvycqchmyyadtwc,2000,Human Communication Research,1.0,NL,M,White,Education
127,wswuhueohzkqbccvwkfl,1999,Journal of Computer-Mediated Communication,1.0,US,F,White,Education
128,cqjlkiqydqycgixlrlcc,2017,"Communication, Culture and Critique",2.0,IL,F,White,Education
129,racsxyqgiqwgwabsxton,2010,Human Communication Research,1.0,US,M,White,Education
130,zleihzsezhjxtipjszwc,1975,Human Communication Research,1.0,US,F,White,Education
131,ywxbmpfmqxcfmeldoebj,1982,Journal of Communication,1.0,US,M,White,Education
132,mgpbxfjgdwtfdxwdtiya,2013,Journal of Communication,2.0,US,F,Asian,Non Education
133,agsrugcebfkvuaxyspws,2009,Journal of Computer-Mediated Communication,1.0,BE,M,White,Education
134,qeswrtsfzdbtjnlpjzgn,2020,Journal of Communication,7.0,US,M,White,Education
135,vunwtkkkihtkqdjxlkei,1978,Human Communication Research,1.0,US,M,White,Education
136,btclefokixtuaeyqjxij,2002,Journal of Computer-Mediated Communication,3.0,SI,M,White,Education
137,gvsitmmgtzczlyeoqvag,2019,Journal of Communication,3.0,AT,F,White,Education
138,tjwadwrjvcuagtbiipar,2014,Journal of Computer-Mediated Communication,1.0,US,M,White,Education
139,redrnxwexlqkopiiinpw,2009,Journal of Communication,2.0,IL,M,White,Education
140,vmcjyksthcpopxpmlgat,2009,Journal of Computer-Mediated Communication,2.0,US,M,White,Education
141,gvlrmiykjsrvhhcmsdih,1984,Human Communication Research,2.0,US,F,White,Non Education
142,ibphfrsxqtfabkzdkygi,2011,Journal of Communication,2.0,SG,F,Asian,Education
143,zlyqxipdefrbiigdftiw,2008,Human Communication Research,2.0,AU,F,White,Education
144,tmgvghxnzonuuaacgumz,1991,Journal of Communication,1.0,US,M,White,Education
145,uxlvcotoakowsmvzrjzf,1993,Human Communication Research,1.0,US,M,White,Education
146,mdegnsbnjfsfyonuunlt,2013,Human Communication Research,1.0,US,M,White,Education
147,kmrvvbwolafsbwexgbkt,1982,Journal of Communication,1.0,US,M,Hispanic,Education
148,kzpyldikocntphzkfqvx,2018,Journal of Communication,2.0,SE,F,White,Education
149,jjzlhdiwiwjbkiljaytp,1994,Journal of Communication,1.0,US,M,White,Education
150,mspqutydorrvusvellwe,2012,Journal of Computer-Mediated Communication,2.0,GB,M,White,Education
151,kwvpeoxrksgdlbzckhso,2009,Journal of Computer-Mediated Communication,3.0,CA,F,White,Education
152,tloqqdmwgbwvkwgtaapd,2021,"Communication, Culture and Critique",2.0,US,F,White,Education
153,jdrqylurgolbbxwlbxdt,2020,Journal of Communication,2.0,FI,F,White,Education
154,wbubcsixlcsvktdlsbob,1977,Human Communication Research,2.0,US,M,White,Education
155,pjvhbsdzlfloeczguxbm,2002,Communication Theory,1.0,US,F,Asian,Education
156,jvcgocipcazpyfrjqtsr,2013,Journal of Communication,3.0,US,F,White,Education
157,lnvsaqglkvlvbtbkxnsy,2005,Journal of Communication,2.0,US,F,White,Education
158,yxrswdjkcjskdpdwazum,2007,Communication Theory,1.0,US,M,Asian,Education
159,eoxvgipwryqjeutnibhm,2011,Journal of Communication,1.0,US,F,Asian,Education
160,etedhhlqrrveowvnygnb,2009,Journal of Communication,4.0,US,F,White,Education
161,eopwmfdcmeyxegrsfzea,2007,Journal of Computer-Mediated Communication,1.0,GB,F,White,Education
162,swiojegdzcyfhtsmsxlc,1951,Journal of Communication,2.0,US,M,White,Education
163,csvyjpcdyekauprrdoid,2000,Journal of Computer-Mediated Communication,3.0,US,M,White,Education
164,hnzpjnutbgoblqskxvbq,1977,Human Communication Research,1.0,US,M,White,Education
165,cgoamlksrvzvgupwfjqd,2009,Journal of Computer-Mediated Communication,2.0,FI,F,White,Education
166,xelfiaxulzntvnqgpdzh,2014,Journal of Computer-Mediated Communication,4.0,CA,M,Middle Eastern,Education
167,nzqlkqrgewfszwzbrdhe,2008,Human Communication Research,2.0,US,F,White,Education
168,feliirufjewxgyvjntiv,2003,Journal of Computer-Mediated Communication,1.0,US,F,Asian,Education
169,zhaokbicnkcxjakdjvzj,1998,Human Communication Research,4.0,US,M,White,Education
170,xdhnemlxyaxrbswptzuk,2010,Journal of Computer-Mediated Communication,2.0,US,F,White,Education
171,ihbshqhitapmmlhyldpx,2014,Human Communication Research,2.0,US,M,White,Education
172,vdpvcfchrnewnqjjkkrt,2005,Journal of Communication,1.0,US,M,White,Education
173,jolmtxuqdjttoppvkbjq,1998,Journal of Communication,1.0,US,M,White,Education
174,wyclzjzsqhheqwbvptro,1983,Journal of Communication,2.0,US,M,White,Education
175,elaafohynbqopqrdjlff,2018,Journal of Communication,1.0,NL,M,White,Education
176,khdwcyjxyyslxnfamsbl,1998,Communication Theory,3.0,US,M,White,Education
177,wpqahcxkcijfacwmfybt,1993,Journal of Communication,4.0,US,M,Asian,Education
178,xyuvsdkpatmyqstsubnk,1977,Journal of Communication,1.0,CA,M,White,Education
179,pxpijzecjczcirbgyefv,1996,Journal of Computer-Mediated Communication,3.0,PH,M,White,Education
180,npyhysvxxqbnzgigdhpl,1959,Journal of Communication,1.0,US,M,White,Education
181,qjjkzdyobriaciikaqgr,2004,Journal of Communication,5.0,US,M,White,Education
182,jlnyfloufpshkcuxjelx,2007,Journal of Computer-Mediated Communication,1.0,GB,F,White,Education
183,jnyenjbzrhhfkfckymsy,2017,Human Communication Research,1.0,US,F,White,Education
184,jyadxlaedlszewzzoljr,1995,Journal of Computer-Mediated Communication,2.0,IL,M,White,Education
185,vjbsohaqturkqixjiqyz,2009,Journal of Computer-Mediated Communication,4.0,EE,F,White,Education
186,nkhenyiovsglwbqpxbpi,2005,Journal of Communication,1.0,US,M,Asian,Education
187,dnhrnjcnsnkqzdzfnmsi,2021,Journal of Communication,4.0,US,F,Asian,Education
188,kihzqoowuuxuzxdncwub,1979,Human Communication Research,1.0,US,M,White,Education
189,ytxvwxmylxtemrlvqtyh,2013,Journal of Communication,1.0,DE,M,White,Education
190,veyuhiilqxxxvaqahcuk,2013,"Communication, Culture and Critique",1.0,US,F,White,Education
191,fsxuyrzorzzugolomcvo,2008,Journal of Communication,1.0,US,F,White,Education
192,uomjfbronbnzyrwehszb,1984,Journal of Communication,1.0,NO,M,White,Non Education
193,bpojthbfboogwmeqyeld,1988,Journal of Communication,1.0,FR,M,White,Education
194,ytcvdyjnpqkghkvtghel,2012,"Communication, Culture and Critique",1.0,US,F,White,Education
195,nagmvpzbvofiyrhfvoox,1985,Journal of Communication,1.0,US,F,White,Education
196,scgfzbkazejwgjijckei,2020,Human Communication Research,2.0,US,M,White,Education
197,ivalbpuoupsidfxpodeh,2007,Journal of Communication,1.0,US,F,White,Education
198,yjrusfxgiwuwcavlpcje,2001,Journal of Communication,2.0,US,F,White,Education
199,qpiyfcztofxxdhfrtsfs,1979,Journal of Communication,4.0,US,M,White,Education
200,vxbcyimcxxsldpqodjxo,1990,Journal of Communication,1.0,US,F,White,Education
201,qwaxvaoyodrqhhxgzafq,2000,Communication Theory,1.0,US,M,White,Education
202,tdesywkdkpckapmalkny,2015,Journal of Computer-Mediated Communication,3.0,BE,M,White,Education
203,sydezraqimnzfhmhupqd,2009,Human Communication Research,1.0,US,M,White,Education
204,tgaidzyuktpcjjmvpkte,2021,Human Communication Research,1.0,PH,M,Asian,Education
205,lergwmoctqgvhvtrczxq,2018,Journal of Computer-Mediated Communication,2.0,NL,M,White,Education
206,iuyikjebbsfeksdzcdkh,1981,Human Communication Research,4.0,US,M,White,Education
207,xarcbpwczsvgpgslmqmh,1982,Journal of Communication,1.0,US,M,White,Non Education
208,sfriknxchrgtbhhydrfe,2022,Journal of Computer-Mediated Communication,1.0,US,M,Black,Education
209,oeawywtparigzqbwylum,2008,Journal of Computer-Mediated Communication,3.0,US,F,White,Education
210,xexmkformyqoxgryjzvk,2001,Journal of Computer-Mediated Communication,1.0,US,M,White,Education
211,cghqdxcatmiehpqniumq,2018,Journal of Computer-Mediated Communication,6.0,GB,M,White,Education
212,cvxjvikuxfnydvadagvj,1990,Human Communication Research,1.0,US,F,White,Education
213,sjfgokczyjwetnhnpmfb,1978,Journal of Communication,1.0,SE,M,White,Non Education
214,konsgovqospcanevayvu,1980,Human Communication Research,1.0,CA,M,Asian,Education
215,htczwolcakwntnptoegm,1996,Journal of Computer-Mediated Communication,1.0,GB,M,Asian,Education
216,aomywqxoierfwutnrsfz,2011,Communication Theory,1.0,US,M,White,Education
217,fjnhkzyyubjecxgkptnf,2015,"Communication, Culture and Critique",2.0,SG,F,Asian,Education
218,hrftdyoajryfqyixfyqm,1997,Journal of Communication,6.0,US,F,White,Education
219,raczjpvzoshbeujsoikp,2014,Journal of Computer-Mediated Communication,2.0,US,M,White,Education
220,hmeffgqekpfndpgnvkik,1986,Journal of Communication,1.0,US,M,White,Education
221,qmojzopeouoqxjzrrjvb,1997,Journal of Computer-Mediated Communication,2.0,AU,F,White,Education
222,bangxrcvgfgbitssptqu,2022,Journal of Communication,10.0,US,F,Asian,Education
223,sifdyvaubneqdtggwade,2018,Journal of Computer-Mediated Communication,2.0,US,F,Hispanic,Education
224,nsuzjonzonfsmlxzoumf,2005,Human Communication Research,1.0,US,M,White,Education
225,hdnyuexgllgkiiztmzvj,1968,Journal of Communication,1.0,US,M,White,Non Education
226,nuwfqczetqlinijagedx,2009,Journal of Communication,2.0,US,F,White,Education
227,hsvyjdsjlnqctbphysft,1980,Journal of Communication,3.0,US,F,White,Non Education
228,ccncrnjcgwhhiszhfmcw,2009,Journal of Communication,1.0,GB,M,White,Education
229,stulhxisisbbdzttetjn,1996,Journal of Computer-Mediated Communication,2.0,NZ,M,White,Education
230,vniwhxwdycqbcnvagrnh,2014,Journal of Computer-Mediated Communication,4.0,US,M,White,Education
231,ijwvccgyfslhkaosbqqy,2000,Communication Theory,1.0,PH,M,White,Education
232,kqkkkfbmbminvyqubdmx,2020,Journal of Computer-Mediated Communication,3.0,NL,M,White,Education
233,ebmqfctwmtvauiulfiyq,2005,Journal of Communication,3.0,US,M,Asian,Education
234,fwdwsligxhhelqoziwlc,2022,Journal of Communication,3.0,SG,M,White,Education
235,qeawcfqmexhsapmevxyh,2006,Journal of Computer-Mediated Communication,1.0,US,M,White,Education
236,fzfbifdntqrjbtfdpdcz,2002,Journal of Communication,3.0,US,F,White,Education
237,gltaaofddnyrelpdkcew,1974,Journal of Communication,2.0,US,F,Asian,Non Education
238,oiwitpgvnwlmonbziszg,1982,Journal of Communication,2.0,US,M,White,Education
239,nhhlmoreydlcjoiccdjs,1985,Journal of Communication,1.0,US,M,White,Education
240,yrobjuwvjjievctwnvtx,2003,Journal of Communication,1.0,US,M,White,Education
241,snfhnkdsrigzxvbmqttp,2021,Journal of Communication,1.0,US,F,Black,Education
242,qdevjznmbcyxbrcrcpyv,1995,Human Communication Research,1.0,US,M,White,Education
243,zvdqibfhjkdrymlmvwax,1975,Journal of Communication,1.0,US,M,White,Education
244,jknbeqxclyqypahwolqo,2004,Communication Theory,1.0,US,M,White,Education
245,kcadyulplztptspplxvw,1987,Human Communication Research,1.0,US,F,White,Education
246,yjjovclzygtxgluhnywl,2018,Human Communication Research,2.0,US,F,White,Education
247,oxmqpjwfszweofeufwdk,1990,Journal of Communication,1.0,US,M,White,Education
248,jdfapicozndmtywlhgzc,2015,Communication Theory,1.0,DE,M,White,Education
249,bepkvejjsmfpmgripuwn,2015,Journal of Communication,1.0,US,M,White,Education
250,utoicxdjzgjurgtibndq,2021,Communication Theory,4.0,US,F,White,Education
251,acksimcbyzsmipsgtzjh,2010,Journal of Computer-Mediated Communication,3.0,US,M,White,Education
252,gjlpykoaisipcsgedurw,1994,Journal of Communication,3.0,US,F,White,Education
253,rcnlopcsfraladutbjma,1993,Journal of Communication,2.0,US,F,White,Education
254,hgnznwhfnuskrohtrwnh,2019,Journal of Communication,1.0,PH,M,White,Education
255,mvgamcmoudpzrkszazwr,1999,Journal of Computer-Mediated Communication,1.0,NL,M,White,Education
256,pwwwhymlzxmorklralmp,2020,Journal of Communication,1.0,NL,F,White,Education
257,mhchmyhghahucdqhqxru,2017,Journal of Communication,8.0,PH,F,White,Education
258,kbmkvqvcuwhubgupstoi,2022,Human Communication Research,1.0,US,M,White,Education
259,vedwxhzvwnctxadwomcz,1997,Journal of Communication,2.0,SK,F,White,Non Education
260,fwfafuebtgiwiwqhkedp,1975,Journal of Communication,1.0,US,F,White,Education
261,owhdsmmjefchnahcylpl,2010,Journal of Communication,1.0,CN,M,Asian,Education
262,muvqodpmrkdjkjjxfzzj,2007,Journal of Communication,1.0,US,F,White,Education
263,kikejrabsmuhlbvqthap,2008,Journal of Communication,3.0,US,F,White,Education
264,caoepmpwinurfxyotvmh,2020,Journal of Communication,1.0,US,F,White,Education
265,zoymtztsmykqtgspryjg,2020,Journal of Computer-Mediated Communication,4.0,KR,F,Asian,Education
266,hjuohtdwwpccizssmkwc,2004,Journal of Communication,1.0,US,F,White,Education
267,yupixkgzrvobgoofhgwn,1985,Journal of Communication,1.0,CA,M,White,Education
268,qejqdcgdfgxdqdvtwcsz,1993,Human Communication Research,2.0,NL,M,White,Education
269,psrmzvxkeaptulizxbvi,2016,Human Communication Research,1.0,US,M,White,Education
270,jwyvmsuawmssfwhojzus,1993,Journal of Communication,1.0,US,F,White,Education
271,poiysxtstflcsrsbwgco,1996,Journal of Computer-Mediated Communication,1.0,US,M,White,Non Education
272,iikkluhuokuqogsbihsg,1979,Journal of Communication,1.0,US,M,White,Education
273,hhtkasuxnvaudlrojuzy,2004,Journal of Computer-Mediated Communication,2.0,US,F,White,Education
274,yffmeftnnxpewyzceosb,2015,Communication Theory,1.0,US,M,White,Education
275,xviipgpcjugzbpokjndy,1984,Human Communication Research,1.0,US,F,White,Education
276,mwhjmxyvuzqmjhevmjpm,1960,Journal of Communication,1.0,US,M,White,Education
277,odnnumvotuvgekdpwyfe,2015,Journal of Communication,5.0,US,F,White,Education
278,zywzpocynrrjkgbjrfcb,2004,Journal of Communication,2.0,US,M,White,Education
279,tcmcalqcnzrlzocgzgmd,2009,"Communication, Culture and Critique",1.0,US,F,Asian,Education
280,kgmvrzqcsolxrdtchlgi,2015,Journal of Communication,1.0,DE,M,White,Education
281,yxhwjmpzwsiqvletdrzn,2011,Communication Theory,1.0,US,F,Asian,Education
282,vvaoarvwjrjlnxkrquqy,2005,Human Communication Research,4.0,US,F,White,Education
283,svatkiytswtgpozttnjg,1993,Human Communication Research,1.0,US,M,White,Education
284,vdwcffivpmgdwhtmplzn,2005,Communication Theory,1.0,US,M,White,Education
285,wcxstnkniijwotnkxedy,2014,Communication Theory,1.0,IT,F,White,Education
286,ivyfxwxqmdlyzswmwqxy,1982,Journal of Communication,1.0,US,M,White,Education
287,eebtezhoezffvxxrbeyj,1996,Journal of Computer-Mediated Communication,1.0,HK,F,White,Non Education
288,hgofmpgvmgnregghmhkt,1951,Journal of Communication,2.0,US,M,White,Non Education
289,xrcywruhetvvktxplgzq,2011,Journal of Communication,1.0,US,M,White,Education
290,turuvetydzxybpgpwotv,1991,Communication Theory,1.0,US,M,White,Education
291,cczcsmqyalkhqopcmlyq,2019,Journal of Communication,3.0,US,M,White,Education
292,sbvqaevltdnzshvyzqaz,2021,"Communication, Culture and Critique",1.0,US,F,White,Education
293,ugmjsdzxgxkqgpvogecq,1981,Human Communication Research,1.0,US,M,White,Education
294,ckkqkkwjejgjgvtqwmsj,2004,Journal of Communication,1.0,US,F,White,Education
295,cctgqyyyekkldphpbsrz,2015,Journal of Computer-Mediated Communication,3.0,US,M,White,Education
296,tntycuqjcnjxlovgkjnh,2008,"Communication, Culture and Critique",1.0,GB,M,White,Education
297,congdcfrqpiyozkduhml,2000,Journal of Computer-Mediated Communication,4.0,US,F,White,Education
298,eyvszrzlkwtzdmkrdokd,2011,Communication Theory,2.0,DE,M,White,Education
299,tkbeobuettsucbkvjkns,1981,Journal of Communication,1.0,US,M,White,Education
300,xozocefiuqimiphrvhlv,2001,Journal of Communication,1.0,US,M,White,Non Education
301,touwvxxxiftkwxmegfhw,2021,Journal of Computer-Mediated Communication,2.0,US,F,Hispanic,Education
302,pngczuxtrhteswypdxfe,1979,Human Communication Research,2.0,US,M,White,Education
303,wvppjehvcjcrxoecaawi,2003,Journal of Communication,1.0,US,F,White,Education
304,azjjwzssuyeajhoullvg,2008,Human Communication Research,1.0,US,M,White,Education
